record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,cost_anomaly
gcp-cost-081-00001,2026-01-01,project-12,vertex-ai,us-east1,prod,platform,quality,64.176,10.389,0.326,88.173,70.971,0
gcp-cost-081-00002,2026-01-02,project-16,pubsub,us-central1,prod,backend,latency,78.585,21.077,0.605,108.099,100,1
gcp-cost-081-00003,2026-01-03,project-19,vertex-ai,us-east1,prod,backend,security,73.281,5.723,0.641,158.734,84.586,1
gcp-cost-081-00004,2026-01-04,project-02,gke,global,dev,mlops,reliability,30.634,9.1,0.769,169.171,83.541,1
gcp-cost-081-00005,2026-01-05,project-24,bigquery,us-central1,staging,data,latency,36.009,7.871,0.401,78.392,56.436,0
gcp-cost-081-00006,2026-01-06,project-05,cloud-run,us-east1,prod,mlops,quality,45.589,9.095,0.482,155.238,76.687,1
gcp-cost-081-00007,2026-01-07,project-09,compute,global,prod,finops,quality,72.012,16.626,0.485,118.834,98.303,1
gcp-cost-081-00008,2026-01-08,project-01,cloud-sql,global,dev,platform,reliability,41.708,6.978,0.575,127.683,69.625,1
gcp-cost-081-00009,2026-01-09,project-12,vertex-ai,us-east1,dev,security,quality,44.099,18.273,0.598,163.499,100,1
gcp-cost-081-00010,2026-01-10,project-17,cloud-sql,us-central1,staging,security,cost,34.452,13.238,0.452,133.001,78.163,1
gcp-cost-081-00011,2026-01-11,project-12,pubsub,europe-west1,prod,security,security,80.665,13.32,0.816,78.672,99.346,1
gcp-cost-081-00012,2026-01-12,project-08,cloud-run,us-east1,prod,mlops,latency,48.45,3.261,0.297,53.289,42.733,0
gcp-cost-081-00013,2026-01-13,project-12,cloud-sql,us-central1,prod,mlops,security,40.723,7.472,0.605,77.682,64.191,1
gcp-cost-081-00014,2026-01-14,project-02,cloud-run,us-east1,sandbox,mlops,security,45.491,15.581,0.275,79.072,73.434,1
gcp-cost-081-00015,2026-01-15,project-21,gke,us-central1,staging,finops,security,63.815,7.386,0.736,29.949,69.697,1
gcp-cost-081-00016,2026-01-16,project-19,vertex-ai,us-east1,sandbox,platform,reliability,45.962,7.331,0.547,253.584,89.318,1
gcp-cost-081-00017,2026-01-17,project-19,gke,global,sandbox,data,quality,51.5,4.751,0.413,178.781,69.638,1
