record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,critical_alert
aiops-alerts-004-00001,2026-01-01,project-13,pubsub,asia-south1,dev,security,latency,33.57,12.931,0.546,58.892,69.62,0
aiops-alerts-004-00002,2026-01-02,project-11,gke,us-central1,staging,platform,quality,41.47,10.456,0.708,104.195,78.887,1
aiops-alerts-004-00003,2026-01-03,project-14,gke,europe-west1,prod,mlops,security,69.32,20.584,0.646,115.213,100,1
aiops-alerts-004-00004,2026-01-04,project-24,compute,us-east1,dev,platform,cost,67.986,13.789,0.725,26.135,85.156,1
aiops-alerts-004-00005,2026-01-05,project-13,gke,global,prod,mlops,quality,68.564,8.198,0.655,196.664,94.731,1
aiops-alerts-004-00006,2026-01-06,project-22,bigquery,us-east1,dev,mlops,security,45.872,7.416,0.382,177.591,72.628,1
aiops-alerts-004-00007,2026-01-07,project-16,cloud-run,us-central1,prod,security,latency,93.654,17.29,0.677,58.891,100,1
aiops-alerts-004-00008,2026-01-08,project-09,cloud-sql,europe-west1,dev,finops,latency,40.99,12.716,0.498,145.474,82.662,1
aiops-alerts-004-00009,2026-01-09,project-22,cloud-run,us-central1,prod,backend,latency,64.317,11.617,0.545,101.174,83.447,1
aiops-alerts-004-00010,2026-01-10,project-03,gke,europe-west1,dev,finops,reliability,41.89,8.488,0.223,125.418,60.562,1
aiops-alerts-004-00011,2026-01-11,project-11,gke,europe-west1,staging,data,latency,44.723,14.83,0.55,118.335,86.764,1
aiops-alerts-004-00012,2026-01-12,project-11,vertex-ai,asia-south1,staging,security,cost,0.0,12.926,0.365,139.471,63.275,1
aiops-alerts-004-00013,2026-01-13,project-04,cloud-run,asia-south1,prod,platform,quality,70.759,13.535,0.46,248.182,100,1
aiops-alerts-004-00014,2026-01-14,project-13,gke,europe-west1,prod,mlops,quality,59.364,12.249,0.882,191.628,100,1
aiops-alerts-004-00015,2026-01-15,project-01,vertex-ai,europe-west1,dev,finops,latency,68.94,9.002,0.667,113.126,84.976,1
aiops-alerts-004-00016,2026-01-16,project-06,compute,us-east1,sandbox,backend,cost,70.001,9.822,0.503,89.686,78.103,1
aiops-alerts-004-00017,2026-01-17,project-18,cloud-sql,global,dev,mlops,reliability,38.884,3.213,0.568,123.33,58.972,0
aiops-alerts-004-00018,2026-01-18,project-04,compute,global,prod,security,cost,66.085,9.332,0.865,214.92,100,1
aiops-alerts-004-00019,2026-01-19,project-09,cloud-run,asia-south1,dev,security,security,51.485,9.134,0.392,75.992,64.135,1
aiops-alerts-004-00020,2026-01-20,project-03,cloud-run,europe-west1,sandbox,data,latency,70.961,22.774,0.767,95.719,100,1
aiops-alerts-004-00021,2026-01-21,project-20,pubsub,europe-west1,prod,mlops,reliability,60.704,39.784,0.744,152.627,100,1
aiops-alerts-004-00022,2026-01-22,project-14,cloud-sql,europe-west1,prod,data,quality,87.079,7.508,0.527,91.734,79.819,1
aiops-alerts-004-00023,2026-01-23,project-21,cloud-run,europe-west1,sandbox,platform,quality,64.393,17.786,0.714,151.944,100,1
aiops-alerts-004-00024,2026-01-24,project-23,gke,us-central1,prod,platform,reliability,57.749,8.856,0.363,96.716,67.686,1
aiops-alerts-004-00025,2026-01-25,project-23,cloud-sql,asia-south1,prod,backend,cost,48.075,11.468,0.761,93.425,83.844,1
aiops-alerts-004-00026,2026-01-26,project-09,pubsub,global,prod,mlops,latency,76.073,15.814,0.553,81.148,94.714,1
aiops-alerts-004-00027,2026-01-27,project-01,compute,europe-west1,prod,finops,quality,38.591,9.572,0.717,184.118,87.787,1
aiops-alerts-004-00028,2026-01-28,project-20,cloud-sql,us-east1,prod,finops,quality,60.389,13.008,0.487,120.493,86.105,1
aiops-alerts-004-00029,2026-01-29,project-03,cloud-run,global,prod,backend,reliability,37.768,14.217,0.964,164.641,100,1
aiops-alerts-004-00030,2026-01-30,project-07,bigquery,europe-west1,prod,platform,quality,60.484,6.701,0.471,65.27,62.809,1
aiops-alerts-004-00031,2026-01-31,project-19,cloud-run,asia-south1,dev,finops,security,28.901,5.357,0.571,151.212,64.652,0
aiops-alerts-004-00032,2026-02-01,project-16,cloud-sql,global,sandbox,backend,reliability,10.212,10.385,0.901,147.202,80.808,1
aiops-alerts-004-00033,2026-02-02,project-04,bigquery,europe-west1,prod,platform,security,88.323,8.075,0.661,94.838,86.72,1
aiops-alerts-004-00034,2026-02-03,project-06,cloud-run,europe-west1,prod,backend,latency,80.23,8.706,0.0,178.529,74.43,1
aiops-alerts-004-00035,2026-02-04,project-05,cloud-sql,asia-south1,prod,platform,quality,29.487,6.72,0.601,177.073,72.859,0
aiops-alerts-004-00036,2026-02-05,project-22,pubsub,europe-west1,dev,finops,cost,42.494,4.99,0.444,71.567,52.493,0
aiops-alerts-004-00037,2026-02-06,project-08,gke,europe-west1,prod,security,latency,90.481,13.422,0.788,205.219,100,1
aiops-alerts-004-00038,2026-02-07,project-14,vertex-ai,asia-south1,staging,mlops,cost,19.851,10.563,0.63,174.85,79.144,1
aiops-alerts-004-00039,2026-02-08,project-16,cloud-run,asia-south1,prod,mlops,reliability,86.884,9.294,0.845,149.96,100,1
aiops-alerts-004-00040,2026-02-09,project-10,compute,us-central1,staging,mlops,latency,39.042,3.983,0.678,10.954,48.286,0
aiops-alerts-004-00041,2026-02-10,project-05,bigquery,europe-west1,staging,security,security,41.413,11.026,0.437,94.134,69.245,1
aiops-alerts-004-00042,2026-02-11,project-03,vertex-ai,us-east1,dev,backend,quality,52.596,22.791,0.311,77.958,93.841,1
aiops-alerts-004-00043,2026-02-12,project-17,vertex-ai,europe-west1,sandbox,platform,security,49.06,8.176,0.126,111.487,56.917,0
aiops-alerts-004-00044,2026-02-13,project-14,vertex-ai,us-central1,dev,finops,quality,56.473,4.755,0.488,135.463,67.696,1
aiops-alerts-004-00045,2026-02-14,project-18,cloud-run,europe-west1,prod,finops,reliability,84.786,5.233,0.372,135.601,74.681,1
aiops-alerts-004-00046,2026-02-15,project-06,compute,us-central1,staging,data,latency,51.781,9.728,0.412,130.983,74.344,1
aiops-alerts-004-00047,2026-02-16,project-07,bigquery,asia-south1,prod,mlops,quality,72.724,11.755,0.491,128.753,88.843,1
aiops-alerts-004-00048,2026-02-17,project-07,cloud-run,us-east1,dev,data,reliability,39.625,12.836,0.58,88.276,76.993,1
aiops-alerts-004-00049,2026-02-18,project-23,cloud-run,asia-south1,dev,platform,reliability,24.316,6.921,0.415,184.393,66.075,0
aiops-alerts-004-00050,2026-02-19,project-17,bigquery,us-east1,prod,platform,quality,53.386,5.58,0.52,153.805,72.335,1
aiops-alerts-004-00051,2026-02-20,project-08,pubsub,us-east1,sandbox,finops,latency,56.936,10.939,0.824,126.295,92.71,1
aiops-alerts-004-00052,2026-02-21,project-16,compute,asia-south1,sandbox,finops,cost,41.712,16.805,0.778,121.121,98.704,1
aiops-alerts-004-00053,2026-02-22,project-10,compute,us-east1,sandbox,platform,security,34.846,8.205,0.707,72.833,66.708,0
aiops-alerts-004-00054,2026-02-23,project-13,gke,us-east1,prod,data,cost,31.528,6.601,0.485,162.404,67.096,1
aiops-alerts-004-00055,2026-02-24,project-14,gke,europe-west1,prod,platform,cost,84.624,16.428,0.366,170.436,100,1
aiops-alerts-004-00056,2026-02-25,project-17,vertex-ai,us-east1,staging,finops,reliability,43.967,9.804,0.347,171.176,75.373,1
aiops-alerts-004-00057,2026-02-26,project-10,vertex-ai,global,dev,data,security,37.576,6.499,0.278,10.687,39.604,0
aiops-alerts-004-00058,2026-02-27,project-11,pubsub,europe-west1,dev,data,quality,50.835,9.101,0.439,135.114,74.097,1
aiops-alerts-004-00059,2026-02-28,project-02,compute,us-east1,staging,platform,cost,12.201,9.096,0.687,167.664,73.99,1
aiops-alerts-004-00060,2026-03-01,project-19,cloud-run,us-east1,prod,platform,security,70.261,8.951,0.327,89.56,69.983,0
aiops-alerts-004-00061,2026-03-02,project-12,cloud-sql,us-central1,dev,platform,cost,53.323,15.299,0.56,103.658,89.078,1
aiops-alerts-004-00062,2026-03-03,project-24,compute,us-east1,prod,finops,reliability,50.263,15.649,0.827,134.205,100,1
