record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,risk_detected
cloud-security-077-00001,2026-01-01,project-13,cloud-sql,us-central1,prod,security,latency,59.326,16.063,0.398,201.912,100,1
cloud-security-077-00002,2026-01-02,project-22,cloud-sql,us-central1,sandbox,mlops,reliability,82.106,5.907,0.272,17.614,54.609,0
cloud-security-077-00003,2026-01-03,project-23,compute,europe-west1,prod,security,security,74.814,10.505,0.593,200.387,100,1
cloud-security-077-00004,2026-01-04,project-09,cloud-run,us-east1,dev,mlops,cost,74.142,4.653,0.189,124.878,61.633,0
cloud-security-077-00005,2026-01-05,project-19,bigquery,global,prod,security,security,62.824,9.843,0.804,173.757,98.435,1
cloud-security-077-00006,2026-01-06,project-15,bigquery,us-central1,dev,finops,reliability,53.868,5.341,0.767,23.13,61.534,1
cloud-security-077-00007,2026-01-07,project-10,vertex-ai,us-central1,dev,platform,latency,40.37,11.246,0.622,159.252,85.364,1
cloud-security-077-00008,2026-01-08,project-06,bigquery,us-east1,sandbox,mlops,cost,95.117,20.229,0.283,75.969,100,1
cloud-security-077-00009,2026-01-09,project-18,cloud-sql,us-central1,sandbox,data,reliability,47.354,5.647,0.397,155.097,66.264,1
cloud-security-077-00010,2026-01-10,project-16,cloud-sql,us-east1,staging,backend,reliability,75.637,8.847,0.578,79.432,78.93,1
cloud-security-077-00011,2026-01-11,project-13,compute,us-central1,prod,mlops,security,79.978,9.728,0.627,59.427,81.302,1
cloud-security-077-00012,2026-01-12,project-08,cloud-sql,us-east1,dev,finops,cost,59.524,5.61,0.557,200.718,82.69,1
cloud-security-077-00013,2026-01-13,project-23,gke,global,dev,security,quality,18.637,10.96,0.378,81.204,57.169,0
cloud-security-077-00014,2026-01-14,project-01,cloud-sql,europe-west1,prod,mlops,reliability,82.445,18.718,0.281,17.361,84.898,1
cloud-security-077-00015,2026-01-15,project-08,gke,europe-west1,dev,finops,quality,8.666,8.283,0.458,105.248,53.739,0
cloud-security-077-00016,2026-01-16,project-03,cloud-run,us-central1,dev,mlops,reliability,11.939,6.582,0.582,154.893,62.495,0
