record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,cost_anomaly
gcp-cost-091-00001,2026-01-01,project-09,gke,europe-west1,dev,mlops,cost,60.994,5.168,0.447,104.605,64.306,1
gcp-cost-091-00002,2026-01-02,project-21,gke,europe-west1,prod,finops,security,61.435,9.154,0.282,55.761,60.863,0
gcp-cost-091-00003,2026-01-03,project-15,compute,us-east1,prod,mlops,security,36.839,6.339,0.622,247.664,85.572,1
gcp-cost-091-00004,2026-01-04,project-09,cloud-run,europe-west1,dev,security,security,60.9,9.241,0.578,79.127,74.647,1
gcp-cost-091-00005,2026-01-05,project-08,vertex-ai,us-central1,prod,security,security,68.114,12.544,0.59,59.117,82.38,1
gcp-cost-091-00006,2026-01-06,project-09,bigquery,us-east1,staging,security,reliability,34.082,9.804,0.466,155.59,73.805,1
gcp-cost-091-00007,2026-01-07,project-13,gke,europe-west1,prod,mlops,latency,32.833,19.89,0.404,162.84,95.789,1
gcp-cost-091-00008,2026-01-08,project-19,cloud-sql,us-east1,dev,mlops,cost,34.039,9.377,0.793,96.826,75.669,1
gcp-cost-091-00009,2026-01-09,project-10,bigquery,us-east1,staging,mlops,latency,14.629,11.714,0.272,110.647,58.109,0
gcp-cost-091-00010,2026-01-10,project-12,compute,us-east1,dev,data,latency,31.577,7.247,0.693,23.482,55.641,0
gcp-cost-091-00011,2026-01-11,project-16,cloud-run,us-east1,prod,backend,cost,84.749,7.196,0.637,33.434,73.624,1
gcp-cost-091-00012,2026-01-12,project-15,cloud-sql,global,dev,backend,quality,55.032,10.78,0.936,57.698,85.589,1
gcp-cost-091-00013,2026-01-13,project-23,vertex-ai,europe-west1,sandbox,data,reliability,67.808,10.007,0.4,163.126,84.872,1
gcp-cost-091-00014,2026-01-14,project-21,gke,us-central1,staging,mlops,security,40.711,5.821,0.768,115.038,71.488,1
gcp-cost-091-00015,2026-01-15,project-24,cloud-sql,asia-south1,prod,platform,reliability,70.626,6.257,0.438,168.351,79.2,1
gcp-cost-091-00016,2026-01-16,project-16,cloud-sql,us-east1,dev,mlops,cost,37.418,4.173,0.674,115.577,63.278,0
gcp-cost-091-00017,2026-01-17,project-18,vertex-ai,us-central1,prod,data,cost,41.289,15.64,0.49,148.862,89.804,1
gcp-cost-091-00018,2026-01-18,project-19,compute,europe-west1,dev,backend,latency,46.993,11.519,0.112,111.803,63.55,0
gcp-cost-091-00019,2026-01-19,project-07,gke,asia-south1,prod,mlops,quality,83.436,8.367,0.594,44.674,76.031,0
gcp-cost-091-00020,2026-01-20,project-16,gke,global,prod,security,security,59.687,15.134,0.477,52.777,80.595,1
gcp-cost-091-00021,2026-01-21,project-13,bigquery,global,prod,data,latency,0.0,5.841,0.565,164.731,57.427,0
gcp-cost-091-00022,2026-01-22,project-02,cloud-sql,global,dev,data,latency,34.328,5.721,0.477,134.296,61.644,1
gcp-cost-091-00023,2026-01-23,project-19,gke,asia-south1,staging,finops,latency,62.872,7.106,0.678,101.149,77.067,1
gcp-cost-091-00024,2026-01-24,project-19,gke,us-east1,dev,finops,latency,46.684,8.262,0.387,97.162,63.332,0
gcp-cost-091-00025,2026-01-25,project-12,compute,asia-south1,prod,backend,cost,57.341,14.676,0.493,167.71,96.026,1
gcp-cost-091-00026,2026-01-26,project-06,cloud-sql,global,sandbox,finops,reliability,57.161,14.928,0.29,84.538,77.317,1
gcp-cost-091-00027,2026-01-27,project-17,cloud-sql,asia-south1,prod,mlops,cost,78.79,4.376,0.846,201.794,96.825,1
gcp-cost-091-00028,2026-01-28,project-22,gke,us-east1,prod,security,latency,57.123,8.477,0.987,163.853,98.213,1
gcp-cost-091-00029,2026-01-29,project-02,gke,us-central1,dev,security,security,24.096,4.164,0.692,153.968,64.823,0
