record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,budget_breach
finops-budget-039-00001,2026-01-01,project-07,pubsub,us-east1,prod,finops,cost,74.435,11.058,0.277,68.22,71.498,0
finops-budget-039-00002,2026-01-02,project-01,pubsub,us-central1,dev,backend,reliability,48.148,4.461,0.954,83.495,72.827,1
finops-budget-039-00003,2026-01-03,project-15,pubsub,europe-west1,prod,mlops,quality,39.85,7.84,0.503,173.415,75.136,1
finops-budget-039-00004,2026-01-04,project-12,compute,us-east1,prod,mlops,quality,91.421,4.675,0.579,135.682,82.958,1
finops-budget-039-00005,2026-01-05,project-18,compute,europe-west1,staging,security,latency,35.424,5.324,0.859,55.371,62.961,0
finops-budget-039-00006,2026-01-06,project-18,cloud-sql,us-east1,sandbox,data,quality,49.376,7.949,0.504,236.116,87.903,1
finops-budget-039-00007,2026-01-07,project-11,vertex-ai,asia-south1,prod,finops,cost,71.327,5.689,0.788,0.0,65.819,0
finops-budget-039-00008,2026-01-08,project-20,cloud-sql,us-east1,prod,platform,latency,73.55,8.731,0.666,86.759,82.077,1
finops-budget-039-00009,2026-01-09,project-11,gke,us-central1,prod,platform,security,79.37,5.286,0.448,95.645,69.742,1
finops-budget-039-00010,2026-01-10,project-02,pubsub,us-central1,staging,mlops,quality,42.881,9.056,0.493,198.342,82.319,1
finops-budget-039-00011,2026-01-11,project-24,pubsub,europe-west1,sandbox,platform,latency,73.215,10.118,0.664,188.591,99.977,1
finops-budget-039-00012,2026-01-12,project-03,pubsub,europe-west1,sandbox,platform,cost,55.589,17.849,0.664,123.295,100,1
finops-budget-039-00013,2026-01-13,project-13,vertex-ai,global,prod,finops,quality,81.473,12.337,0.502,153.258,97.222,1
finops-budget-039-00014,2026-01-14,project-19,cloud-sql,europe-west1,staging,mlops,quality,48.647,4.423,0.664,112.908,67.053,0
finops-budget-039-00015,2026-01-15,project-16,vertex-ai,asia-south1,dev,security,quality,52.999,6.764,0.754,81.943,72.672,1
finops-budget-039-00016,2026-01-16,project-03,bigquery,europe-west1,prod,platform,quality,53.815,7.522,0.466,206.206,82.768,1
finops-budget-039-00017,2026-01-17,project-18,compute,europe-west1,dev,backend,security,43.297,10.878,0.419,92.601,68.705,1
finops-budget-039-00018,2026-01-18,project-21,cloud-run,global,prod,data,cost,59.559,23.555,0.498,165.131,100,1
finops-budget-039-00019,2026-01-19,project-14,bigquery,europe-west1,prod,data,security,63.326,16.174,0.457,250.352,100,1
finops-budget-039-00020,2026-01-20,project-12,vertex-ai,asia-south1,prod,finops,reliability,85.447,11.151,0.181,96.548,76.34,1
finops-budget-039-00021,2026-01-21,project-15,cloud-run,global,prod,platform,quality,51.159,11.784,0.787,96.352,86.998,1
finops-budget-039-00022,2026-01-22,project-05,pubsub,asia-south1,staging,security,security,60.334,6.197,0.625,63.245,66.675,0
finops-budget-039-00023,2026-01-23,project-22,pubsub,us-east1,dev,backend,security,63.56,8.487,0.579,164.483,86.301,1
finops-budget-039-00024,2026-01-24,project-06,compute,us-east1,sandbox,data,latency,7.148,6.241,0.35,94.616,43.112,0
finops-budget-039-00025,2026-01-25,project-07,gke,europe-west1,staging,mlops,reliability,18.553,13.046,0.379,167.01,74.555,0
finops-budget-039-00026,2026-01-26,project-18,cloud-sql,europe-west1,prod,security,cost,55.153,9.024,0.406,113.045,71.055,0
finops-budget-039-00027,2026-01-27,project-08,pubsub,global,prod,data,cost,114.852,8.392,0.818,95.71,100,1
finops-budget-039-00028,2026-01-28,project-08,bigquery,asia-south1,staging,platform,latency,59.001,18.539,0.725,213.424,100,1
finops-budget-039-00029,2026-01-29,project-22,cloud-sql,europe-west1,prod,backend,quality,77.504,15.55,0.581,35.122,88.867,1
finops-budget-039-00030,2026-01-30,project-07,gke,us-central1,prod,finops,cost,71.698,12.635,0.391,101.957,83.13,1
finops-budget-039-00031,2026-01-31,project-24,gke,us-east1,prod,backend,reliability,90.153,11.847,0.626,117.055,98.177,1
finops-budget-039-00032,2026-02-01,project-22,bigquery,us-east1,dev,platform,reliability,44.873,7.996,0.604,222.337,87.927,1
finops-budget-039-00033,2026-02-02,project-23,compute,us-east1,prod,data,quality,62.232,11.27,0.977,38.443,87.879,1
finops-budget-039-00034,2026-02-03,project-01,cloud-sql,asia-south1,prod,platform,cost,81.441,8.735,0.548,102.006,82.942,1
finops-budget-039-00035,2026-02-04,project-06,cloud-sql,us-central1,prod,mlops,latency,80.204,16.309,0.468,199.437,100,1
finops-budget-039-00036,2026-02-05,project-10,vertex-ai,europe-west1,dev,data,latency,48.917,8.344,0.705,113.469,77.813,1
finops-budget-039-00037,2026-02-06,project-24,pubsub,asia-south1,dev,finops,cost,50.87,3.967,0.731,13.305,54.586,0
finops-budget-039-00038,2026-02-07,project-08,cloud-sql,asia-south1,prod,finops,cost,87.152,7.937,0.486,204.572,95.866,1
finops-budget-039-00039,2026-02-08,project-23,vertex-ai,us-central1,prod,platform,quality,58.299,5.276,0.36,129.116,64.145,1
finops-budget-039-00040,2026-02-09,project-13,cloud-sql,us-central1,prod,backend,security,61.92,15.724,0.563,159.587,100,1
finops-budget-039-00041,2026-02-10,project-23,cloud-sql,us-central1,dev,platform,security,36.683,9.75,0.605,157.993,79.805,1
finops-budget-039-00042,2026-02-11,project-07,bigquery,asia-south1,sandbox,security,quality,6.282,5.52,0.73,260.223,78.578,1
finops-budget-039-00043,2026-02-12,project-11,pubsub,global,staging,backend,cost,62.341,4.027,0.321,159.936,65.775,0
finops-budget-039-00044,2026-02-13,project-14,gke,asia-south1,prod,security,quality,64.273,13.757,0.399,139.48,88.901,1
finops-budget-039-00045,2026-02-14,project-11,compute,us-central1,prod,mlops,security,45.046,14.449,0.737,93.699,88.94,1
finops-budget-039-00046,2026-02-15,project-04,vertex-ai,asia-south1,prod,mlops,security,50.939,6.72,0.374,178.813,72.676,1
finops-budget-039-00047,2026-02-16,project-18,gke,asia-south1,dev,finops,cost,44.211,5.293,0.488,169.075,69.561,0
finops-budget-039-00048,2026-02-17,project-24,compute,europe-west1,sandbox,security,quality,34.921,9.372,0.577,65.291,63.807,1
finops-budget-039-00049,2026-02-18,project-18,cloud-sql,europe-west1,sandbox,backend,cost,44.062,30.35,0.487,83.254,100,1
finops-budget-039-00050,2026-02-19,project-05,gke,europe-west1,prod,finops,security,53.862,10.4,0.944,37.862,81.68,1
finops-budget-039-00051,2026-02-20,project-21,cloud-sql,europe-west1,dev,security,latency,11.776,9.244,0.677,169.917,74.165,1
finops-budget-039-00052,2026-02-21,project-05,gke,global,prod,mlops,security,74.849,13.173,0.686,208.477,100,1
finops-budget-039-00053,2026-02-22,project-11,compute,global,sandbox,data,security,60.402,5.297,0.363,88.481,59.109,0
finops-budget-039-00054,2026-02-23,project-06,gke,global,prod,data,latency,67.38,11.296,0.754,66.124,85.973,1
finops-budget-039-00055,2026-02-24,project-23,pubsub,us-east1,dev,data,reliability,68.793,8.694,0.405,113.874,75.145,1
finops-budget-039-00056,2026-02-25,project-10,bigquery,europe-west1,prod,platform,latency,79.865,6.309,0.07,52.873,52.834,0
finops-budget-039-00057,2026-02-26,project-12,cloud-run,asia-south1,prod,data,security,87.492,17.323,0.658,162.358,100,1
finops-budget-039-00058,2026-02-27,project-18,gke,global,prod,finops,quality,43.926,7.205,0.473,117.098,65.818,0
finops-budget-039-00059,2026-02-28,project-16,compute,global,prod,backend,quality,64.136,8.477,0.633,161.969,88.003,1
