record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,quality_issue
data-quality-088-00001,2026-01-01,project-23,vertex-ai,europe-west1,prod,security,cost,79.345,15.654,0.717,108.356,100,1
data-quality-088-00002,2026-01-02,project-05,cloud-sql,global,prod,security,latency,65.923,3.045,0.687,193.115,82.386,1
data-quality-088-00003,2026-01-03,project-20,compute,us-east1,prod,platform,security,63.32,8.357,0.743,38.662,73.305,0
data-quality-088-00004,2026-01-04,project-20,pubsub,us-east1,dev,platform,latency,4.93,9.457,0.534,198.334,71.406,1
data-quality-088-00005,2026-01-05,project-12,vertex-ai,us-east1,prod,mlops,latency,48.077,15.687,0.467,251.963,100,1
data-quality-088-00006,2026-01-06,project-09,compute,us-east1,sandbox,data,quality,7.929,10.137,0.808,117.68,71.87,0
data-quality-088-00007,2026-01-07,project-13,bigquery,us-central1,prod,finops,latency,83.689,12.734,0.657,69.875,92.189,1
data-quality-088-00008,2026-01-08,project-20,gke,europe-west1,prod,platform,cost,52.489,13.122,0.753,67.287,85.157,1
data-quality-088-00009,2026-01-09,project-03,pubsub,asia-south1,dev,finops,cost,74.908,13.432,0.643,212.712,100,1
data-quality-088-00010,2026-01-10,project-05,pubsub,us-central1,prod,data,latency,41.124,6.549,0.51,137.291,67.546,1
data-quality-088-00011,2026-01-11,project-19,bigquery,us-east1,dev,data,quality,54.891,13.835,0.545,153.293,92.924,1
data-quality-088-00012,2026-01-12,project-08,vertex-ai,global,dev,finops,latency,39.233,5.35,0.343,47.266,45.113,0
data-quality-088-00013,2026-01-13,project-09,vertex-ai,global,dev,data,security,33.121,4.068,0.791,159.716,72.061,1
data-quality-088-00014,2026-01-14,project-07,vertex-ai,europe-west1,dev,backend,reliability,35.744,17.387,0.35,271.642,100,1
data-quality-088-00015,2026-01-15,project-19,vertex-ai,global,prod,security,latency,51.647,7.019,0.619,138.782,76.358,1
data-quality-088-00016,2026-01-16,project-23,pubsub,us-east1,prod,security,latency,60.769,9.6,0.342,228.264,88.928,1
data-quality-088-00017,2026-01-17,project-18,cloud-sql,asia-south1,staging,platform,cost,21.465,10.24,0.741,95.772,71.308,1
data-quality-088-00018,2026-01-18,project-01,cloud-sql,us-central1,prod,finops,security,20.152,9.488,0.773,143.798,77.217,1
data-quality-088-00019,2026-01-19,project-12,vertex-ai,europe-west1,dev,mlops,security,51.006,12.031,0.577,80.819,77.906,1
data-quality-088-00020,2026-01-20,project-03,compute,global,prod,security,latency,55.229,8.299,0.658,46.184,68.46,0
data-quality-088-00021,2026-01-21,project-12,pubsub,us-central1,prod,finops,latency,56.929,7.325,0.764,28.379,67.895,1
data-quality-088-00022,2026-01-22,project-24,cloud-sql,us-central1,prod,backend,reliability,90.158,9.518,0.347,0.0,65.909,1
data-quality-088-00023,2026-01-23,project-15,gke,global,staging,backend,reliability,52.37,7.46,0.482,171.988,77.688,1
data-quality-088-00024,2026-01-24,project-21,gke,global,dev,mlops,security,66.587,9.192,0.624,151.964,88.755,1
data-quality-088-00025,2026-01-25,project-07,vertex-ai,asia-south1,dev,finops,quality,57.574,7.287,0.896,50.249,75.842,1
data-quality-088-00026,2026-01-26,project-12,cloud-sql,us-central1,sandbox,data,security,39.391,7.885,0.306,211.692,73.767,1
data-quality-088-00027,2026-01-27,project-11,cloud-sql,asia-south1,prod,data,cost,77.257,9.226,0.424,65.174,72.912,1
data-quality-088-00028,2026-01-28,project-18,cloud-run,us-east1,sandbox,mlops,quality,39.45,11.119,0.633,113.835,78.508,1
data-quality-088-00029,2026-01-29,project-22,gke,global,prod,platform,reliability,63.907,5.104,0.812,56.583,70.948,1
data-quality-088-00030,2026-01-30,project-13,bigquery,global,sandbox,mlops,quality,22.957,6.032,0.506,165.543,63.961,0
data-quality-088-00031,2026-01-31,project-23,cloud-sql,asia-south1,prod,finops,reliability,55.229,7.962,0.48,90.623,67.924,1
data-quality-088-00032,2026-02-01,project-24,cloud-sql,us-east1,dev,finops,reliability,23.253,5.399,0.614,126.744,60.71,1
data-quality-088-00033,2026-02-02,project-18,vertex-ai,asia-south1,prod,security,cost,56.99,7.525,0.731,140.776,83.62,1
data-quality-088-00034,2026-02-03,project-10,cloud-sql,asia-south1,sandbox,backend,security,53.165,7.525,0.472,99.785,67.238,1
data-quality-088-00035,2026-02-04,project-20,gke,global,dev,backend,quality,71.292,6.996,0.434,93.362,70.081,1
data-quality-088-00036,2026-02-05,project-18,compute,us-central1,dev,mlops,reliability,38.349,10.847,0.456,84.277,66.982,1
data-quality-088-00037,2026-02-06,project-17,compute,us-central1,staging,platform,quality,0.0,8.883,0.389,112.487,50.746,0
data-quality-088-00038,2026-02-07,project-14,pubsub,global,dev,backend,quality,21.244,4.261,0.632,65.854,49.101,0
data-quality-088-00039,2026-02-08,project-04,compute,asia-south1,prod,data,latency,54.147,7.735,0.343,65.425,58.546,0
data-quality-088-00040,2026-02-09,project-17,gke,asia-south1,dev,mlops,cost,65.789,6.878,0.377,112.179,68.629,1
data-quality-088-00041,2026-02-10,project-01,bigquery,us-central1,dev,finops,reliability,59.317,6.225,0.714,102.635,75.244,1
data-quality-088-00042,2026-02-11,project-01,vertex-ai,asia-south1,prod,backend,reliability,79.031,6.888,0.513,158.339,84.779,1
data-quality-088-00043,2026-02-12,project-08,bigquery,us-central1,sandbox,data,quality,0.0,8.721,0.416,122.311,52.746,0
data-quality-088-00044,2026-02-13,project-04,cloud-sql,us-central1,staging,mlops,reliability,31.277,9.253,0.507,55.977,58.446,0
data-quality-088-00045,2026-02-14,project-02,vertex-ai,asia-south1,prod,security,security,85.615,11.581,0.683,85.254,93.325,1
data-quality-088-00046,2026-02-15,project-24,pubsub,us-east1,prod,finops,security,51.613,5.244,0.499,60.353,56.567,0
data-quality-088-00047,2026-02-16,project-16,bigquery,us-east1,staging,platform,quality,43.93,13.31,0.5,102.002,78.807,1
data-quality-088-00048,2026-02-17,project-11,cloud-sql,europe-west1,prod,finops,quality,101.39,4.52,0.71,92.093,84.313,1
data-quality-088-00049,2026-02-18,project-08,cloud-sql,europe-west1,dev,mlops,quality,49.704,12.464,0.505,129.399,83.025,1
data-quality-088-00050,2026-02-19,project-21,vertex-ai,global,sandbox,finops,reliability,24.26,14.612,1.004,85.417,90.182,1
data-quality-088-00051,2026-02-20,project-15,vertex-ai,europe-west1,sandbox,mlops,quality,29.011,5.21,0.593,141.009,63.629,1
data-quality-088-00052,2026-02-21,project-04,pubsub,europe-west1,dev,security,security,58.849,7.403,0.572,214.241,89.134,1
data-quality-088-00053,2026-02-22,project-15,cloud-run,us-central1,dev,backend,quality,45.968,5.351,0.335,143.381,61.209,0
data-quality-088-00054,2026-02-23,project-15,pubsub,asia-south1,prod,security,security,64.984,8.37,0.43,151.739,79.453,1
data-quality-088-00055,2026-02-24,project-12,cloud-run,global,dev,mlops,latency,44.021,11.917,0.43,85.319,70.706,1
data-quality-088-00056,2026-02-25,project-06,cloud-run,europe-west1,prod,finops,latency,37.745,6.917,0.511,203.072,76.85,1
data-quality-088-00057,2026-02-26,project-19,cloud-sql,us-central1,dev,backend,cost,41.863,9.344,0.241,216.059,76.398,1
data-quality-088-00058,2026-02-27,project-22,pubsub,europe-west1,prod,finops,cost,70.077,8.799,0.589,119.521,83.103,1
data-quality-088-00059,2026-02-28,project-19,cloud-sql,europe-west1,prod,security,quality,89.155,9.506,0.447,46.181,75.765,1
