record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,evaluation_passed
genai-rag-095-00001,2026-01-01,project-24,pubsub,asia-south1,prod,security,latency,33.693,8.494,0.436,166.351,71.131,1
genai-rag-095-00002,2026-01-02,project-21,bigquery,europe-west1,prod,mlops,cost,55.93,9.581,0.595,193.909,91.035,1
genai-rag-095-00003,2026-01-03,project-12,cloud-run,asia-south1,dev,data,reliability,59.188,6.506,0.391,171.578,74.603,1
genai-rag-095-00004,2026-01-04,project-04,gke,us-central1,dev,platform,cost,29.511,8.825,0.6,95.081,65.786,0
genai-rag-095-00005,2026-01-05,project-24,cloud-run,asia-south1,sandbox,backend,latency,17.145,13.849,0.321,212.163,80.491,1
genai-rag-095-00006,2026-01-06,project-18,pubsub,us-east1,prod,data,cost,70.849,7.928,0.524,154.442,84.159,1
genai-rag-095-00007,2026-01-07,project-02,compute,us-central1,sandbox,platform,quality,11.915,6.772,0.704,115.151,61.404,0
genai-rag-095-00008,2026-01-08,project-01,pubsub,us-east1,staging,mlops,security,31.355,8.206,0.923,31.469,67.016,1
genai-rag-095-00009,2026-01-09,project-22,bigquery,us-central1,prod,mlops,cost,63.429,9.497,0.537,94.656,76.959,1
genai-rag-095-00010,2026-01-10,project-01,cloud-sql,global,dev,data,latency,91.603,8.226,0.669,219.671,100,1
genai-rag-095-00011,2026-01-11,project-24,gke,us-central1,dev,platform,quality,59.888,7.821,0.855,172.363,94.271,1
genai-rag-095-00012,2026-01-12,project-14,pubsub,us-central1,prod,backend,quality,78.25,5.482,0.123,33.126,49.315,0
genai-rag-095-00013,2026-01-13,project-18,bigquery,us-east1,prod,finops,cost,60.037,5.65,0.503,106.025,67.263,0
genai-rag-095-00014,2026-01-14,project-13,cloud-run,global,dev,data,latency,41.206,5.867,0.515,81.268,57.988,0
genai-rag-095-00015,2026-01-15,project-16,vertex-ai,global,staging,security,quality,62.546,9.379,1.022,147.514,100,1
genai-rag-095-00016,2026-01-16,project-11,cloud-sql,asia-south1,dev,finops,cost,55.436,14.532,0.548,34.716,77.553,1
genai-rag-095-00017,2026-01-17,project-20,cloud-run,us-central1,sandbox,data,latency,55.942,6.314,0.684,186.061,85.386,1
genai-rag-095-00018,2026-01-18,project-19,bigquery,us-central1,staging,finops,security,32.045,11.722,0.796,172.95,91.649,1
genai-rag-095-00019,2026-01-19,project-22,vertex-ai,global,sandbox,backend,latency,79.29,4.748,0.27,195.653,76.813,1
genai-rag-095-00020,2026-01-20,project-12,pubsub,europe-west1,prod,data,cost,54.945,8.213,0.342,215.332,81.767,1
genai-rag-095-00021,2026-01-21,project-06,vertex-ai,global,dev,security,reliability,36.603,8.441,0.617,122.674,71.992,1
genai-rag-095-00022,2026-01-22,project-06,cloud-run,europe-west1,sandbox,data,latency,13.763,8.614,0.541,204.958,73.741,1
