record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,evaluation_passed
genai-rag-035-00001,2026-01-01,project-07,bigquery,us-central1,prod,backend,quality,53.765,9.421,0.506,167.524,82.941,1
genai-rag-035-00002,2026-01-02,project-23,cloud-sql,global,dev,mlops,latency,47.381,4.353,0.436,134.816,61.661,1
genai-rag-035-00003,2026-01-03,project-24,gke,asia-south1,prod,security,reliability,61.823,5.612,0.765,143.238,82.397,1
genai-rag-035-00004,2026-01-04,project-11,gke,us-central1,prod,mlops,security,94.957,10.087,0.637,141.073,99.639,1
genai-rag-035-00005,2026-01-05,project-22,gke,europe-west1,prod,mlops,quality,77.759,16.477,0.631,65.343,97.276,1
genai-rag-035-00006,2026-01-06,project-18,pubsub,asia-south1,sandbox,finops,cost,65.93,3.21,0.734,86.119,68.815,1
genai-rag-035-00007,2026-01-07,project-24,cloud-sql,asia-south1,dev,finops,cost,67.337,6.298,0.846,78.62,79.339,1
genai-rag-035-00008,2026-01-08,project-21,cloud-sql,us-central1,prod,backend,cost,43.051,5.323,0.521,224.506,78.464,1
genai-rag-035-00009,2026-01-09,project-12,bigquery,us-central1,sandbox,platform,latency,63.17,12.073,0.584,97.816,84.985,1
genai-rag-035-00010,2026-01-10,project-06,pubsub,global,prod,security,security,70.904,4.866,0.724,243.471,97.017,1
genai-rag-035-00011,2026-01-11,project-17,cloud-run,us-central1,prod,mlops,cost,94.237,14.072,0.524,121.998,100,1
genai-rag-035-00012,2026-01-12,project-09,cloud-run,us-east1,prod,backend,security,7.19,11.713,0.625,108.169,67.496,1
genai-rag-035-00013,2026-01-13,project-15,compute,us-central1,dev,security,security,15.872,5.24,0.646,231.709,74.183,1
genai-rag-035-00014,2026-01-14,project-12,vertex-ai,us-central1,sandbox,backend,reliability,43.152,9.317,0.677,50.708,67.933,0
genai-rag-035-00015,2026-01-15,project-21,cloud-sql,us-central1,sandbox,security,cost,34.696,13.616,0.796,130.356,90.785,1
genai-rag-035-00016,2026-01-16,project-20,cloud-sql,asia-south1,prod,mlops,latency,72.703,8.218,0.647,82.396,79.282,1
genai-rag-035-00017,2026-01-17,project-12,compute,europe-west1,dev,security,cost,68.815,14.836,0.814,110.525,100,1
genai-rag-035-00018,2026-01-18,project-13,vertex-ai,us-central1,dev,platform,latency,73.899,7.355,0.563,174.775,88.219,1
genai-rag-035-00019,2026-01-19,project-07,gke,us-central1,prod,security,security,21.41,7.568,0.696,45.278,56.115,0
genai-rag-035-00020,2026-01-20,project-01,cloud-sql,us-central1,prod,backend,cost,53.061,5.978,0.452,86.479,60.952,0
genai-rag-035-00021,2026-01-21,project-07,cloud-run,global,prod,backend,cost,69.621,17.318,0.645,110.367,100,1
genai-rag-035-00022,2026-01-22,project-17,compute,us-central1,prod,data,security,93.586,6.45,0.651,13.041,72.492,1
genai-rag-035-00023,2026-01-23,project-12,pubsub,asia-south1,prod,backend,security,77.474,9.943,0.319,80.923,73.283,1
