record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,critical_alert
aiops-alerts-064-00001,2026-01-01,project-10,cloud-run,asia-south1,dev,data,quality,52.691,17.739,0.523,155.856,100,1
aiops-alerts-064-00002,2026-01-02,project-14,cloud-run,us-central1,prod,security,quality,80.261,8.166,0.365,179.889,86.154,1
aiops-alerts-064-00003,2026-01-03,project-20,vertex-ai,us-east1,dev,finops,cost,29.579,4.626,0.418,72.892,46.407,0
aiops-alerts-064-00004,2026-01-04,project-16,cloud-run,europe-west1,prod,finops,cost,87.263,11.06,0.292,106.135,82.047,1
aiops-alerts-064-00005,2026-01-05,project-10,bigquery,us-central1,prod,mlops,quality,34.411,5.153,0.613,60.173,54.298,0
aiops-alerts-064-00006,2026-01-06,project-14,cloud-sql,global,staging,mlops,quality,54.394,8.587,0.312,127.487,68.586,1
aiops-alerts-064-00007,2026-01-07,project-23,bigquery,asia-south1,prod,platform,cost,62.147,17.322,0.809,45.6,97.134,1
aiops-alerts-064-00008,2026-01-08,project-23,cloud-sql,us-central1,prod,data,latency,74.172,5.233,0.43,146.368,74.566,1
aiops-alerts-064-00009,2026-01-09,project-02,bigquery,europe-west1,staging,mlops,quality,26.19,13.167,0.689,220.624,96.179,1
aiops-alerts-064-00010,2026-01-10,project-19,vertex-ai,us-east1,prod,mlops,quality,57.942,8.874,0.468,40.677,63.298,0
aiops-alerts-064-00011,2026-01-11,project-12,vertex-ai,global,prod,data,latency,82.69,11.905,0.71,65.138,91.069,1
aiops-alerts-064-00012,2026-01-12,project-12,compute,asia-south1,prod,data,cost,89.555,8.566,0.867,106.184,97.162,1
aiops-alerts-064-00013,2026-01-13,project-09,vertex-ai,europe-west1,staging,mlops,security,37.17,6.636,0.614,84.99,62.378,0
aiops-alerts-064-00014,2026-01-14,project-06,vertex-ai,us-central1,prod,platform,reliability,66.638,4.143,0.386,116.359,63.469,0
aiops-alerts-064-00015,2026-01-15,project-12,compute,global,dev,platform,cost,58.831,8.308,0.278,36.339,55.006,0
aiops-alerts-064-00016,2026-01-16,project-05,vertex-ai,us-central1,staging,mlops,reliability,28.816,5.743,0.366,156.685,59.146,0
aiops-alerts-064-00017,2026-01-17,project-19,compute,europe-west1,staging,platform,quality,57.995,12.955,0.646,58.235,81.629,1
aiops-alerts-064-00018,2026-01-18,project-04,cloud-sql,us-central1,sandbox,backend,latency,54.093,10.256,0.425,183.388,84.482,1
aiops-alerts-064-00019,2026-01-19,project-11,cloud-run,us-east1,dev,finops,security,38.511,10.496,0.476,224.217,87.328,1
aiops-alerts-064-00020,2026-01-20,project-14,vertex-ai,asia-south1,prod,security,latency,73.654,14.59,0.363,129.398,91.398,1
aiops-alerts-064-00021,2026-01-21,project-24,pubsub,asia-south1,sandbox,data,quality,25.89,9.395,0.54,69.86,60.071,0
aiops-alerts-064-00022,2026-01-22,project-12,cloud-sql,global,prod,platform,reliability,99.682,15.409,0.856,95.671,100,1
aiops-alerts-064-00023,2026-01-23,project-24,pubsub,us-central1,prod,platform,reliability,76.623,12.584,0.586,161.299,100,1
aiops-alerts-064-00024,2026-01-24,project-14,compute,global,dev,finops,cost,22.81,4.111,0.785,61.961,54.087,0
aiops-alerts-064-00025,2026-01-25,project-03,pubsub,global,prod,platform,cost,86.037,9.017,0.53,82.298,81.704,1
aiops-alerts-064-00026,2026-01-26,project-05,bigquery,us-central1,prod,data,cost,57.903,11.822,0.738,39.225,79.401,1
aiops-alerts-064-00027,2026-01-27,project-10,compute,global,staging,backend,security,47.693,16.171,0.504,127.484,90.656,1
aiops-alerts-064-00028,2026-01-28,project-14,vertex-ai,europe-west1,sandbox,finops,quality,57.027,8.587,0.283,186.476,77.095,0
aiops-alerts-064-00029,2026-01-29,project-15,compute,global,staging,mlops,latency,64.277,7.201,0.478,9.042,57.348,0
aiops-alerts-064-00030,2026-01-30,project-16,cloud-run,us-east1,prod,platform,security,52.709,13.343,0.292,266.626,98.685,1
aiops-alerts-064-00031,2026-01-31,project-09,bigquery,us-central1,sandbox,finops,security,42.169,5.074,0.436,73.91,52.637,0
aiops-alerts-064-00032,2026-02-01,project-18,cloud-run,us-east1,prod,platform,latency,78.665,13.414,0.645,178.176,100,1
aiops-alerts-064-00033,2026-02-02,project-09,gke,us-central1,prod,backend,latency,77.207,11.187,0.735,44.167,85.291,1
aiops-alerts-064-00034,2026-02-03,project-01,cloud-run,us-east1,prod,platform,reliability,31.177,9.839,0.765,136.534,80.556,1
aiops-alerts-064-00035,2026-02-04,project-07,gke,global,dev,finops,quality,57.621,7.319,0.56,45.888,63.537,0
aiops-alerts-064-00036,2026-02-05,project-20,vertex-ai,asia-south1,dev,mlops,quality,47.268,8.938,0.621,97.06,73.289,1
aiops-alerts-064-00037,2026-02-06,project-03,compute,us-central1,dev,security,cost,64.075,9.034,0.651,82.648,78.343,1
aiops-alerts-064-00038,2026-02-07,project-05,vertex-ai,us-east1,staging,finops,security,47.455,8.255,0.504,81.962,65.464,0
