record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,evaluation_passed
genai-rag-025-00001,2026-01-01,project-07,cloud-sql,global,prod,security,quality,64.645,4.457,0.598,31.255,58.513,0
genai-rag-025-00002,2026-01-02,project-08,vertex-ai,europe-west1,prod,backend,cost,69.487,7.228,0.217,57.54,57.172,1
genai-rag-025-00003,2026-01-03,project-16,cloud-run,us-central1,dev,mlops,reliability,51.288,4.175,0.584,76.164,59.24,0
genai-rag-025-00004,2026-01-04,project-05,cloud-run,europe-west1,dev,mlops,latency,59.234,6.653,0.525,118.126,71.857,1
genai-rag-025-00005,2026-01-05,project-18,cloud-sql,europe-west1,dev,mlops,quality,11.771,12.415,0.534,128.061,70.454,1
genai-rag-025-00006,2026-01-06,project-10,vertex-ai,europe-west1,prod,data,cost,75.947,6.0,0.281,126.457,68.858,0
genai-rag-025-00007,2026-01-07,project-24,cloud-run,asia-south1,prod,finops,security,50.028,14.692,0.874,159.786,100,1
genai-rag-025-00008,2026-01-08,project-21,cloud-run,global,sandbox,data,quality,43.757,8.091,0.666,63.23,66.725,1
genai-rag-025-00009,2026-01-09,project-20,vertex-ai,us-east1,prod,security,cost,50.583,11.416,0.355,92.924,70.318,1
genai-rag-025-00010,2026-01-10,project-21,compute,us-central1,dev,data,security,55.052,8.679,0.229,93.274,61.137,0
genai-rag-025-00011,2026-01-11,project-21,gke,asia-south1,dev,security,security,90.048,7.891,0.359,0.0,62.494,0
genai-rag-025-00012,2026-01-12,project-04,cloud-run,global,sandbox,data,cost,25.782,11.64,0.628,169.011,82.811,1
genai-rag-025-00013,2026-01-13,project-06,compute,global,staging,platform,quality,53.684,7.347,0.723,109.46,77.2,1
genai-rag-025-00014,2026-01-14,project-08,vertex-ai,us-central1,prod,platform,quality,53.051,10.932,0.483,220.689,93.165,1
genai-rag-025-00015,2026-01-15,project-13,vertex-ai,europe-west1,prod,mlops,security,36.767,7.304,0.645,112.126,68.838,1
genai-rag-025-00016,2026-01-16,project-13,bigquery,global,prod,finops,quality,52.465,6.414,0.64,123.229,73.7,1
genai-rag-025-00017,2026-01-17,project-02,vertex-ai,us-central1,prod,data,quality,68.378,14.336,0.678,101.497,95.915,1
genai-rag-025-00018,2026-01-18,project-22,pubsub,global,prod,mlops,cost,36.786,12.914,0.505,59.928,69.422,0
genai-rag-025-00019,2026-01-19,project-23,pubsub,asia-south1,dev,mlops,cost,37.746,24.724,0.692,103.985,100,1
genai-rag-025-00020,2026-01-20,project-19,gke,asia-south1,dev,platform,reliability,78.785,16.901,0.636,176.072,100,1
genai-rag-025-00021,2026-01-21,project-01,compute,global,prod,security,latency,90.245,17.889,0.432,179.54,100,1
genai-rag-025-00022,2026-01-22,project-17,vertex-ai,us-east1,sandbox,platform,latency,39.306,11.431,0.346,168.362,77.092,1
genai-rag-025-00023,2026-01-23,project-13,cloud-run,us-central1,sandbox,data,latency,42.787,16.696,0.369,108.687,82.698,1
genai-rag-025-00024,2026-01-24,project-07,cloud-run,europe-west1,sandbox,mlops,latency,34.092,11.5,0.651,115.354,78.373,1
genai-rag-025-00025,2026-01-25,project-05,compute,us-east1,staging,mlops,reliability,5.0,9.868,0.503,110.617,58.512,0
genai-rag-025-00026,2026-01-26,project-09,cloud-run,us-central1,sandbox,backend,reliability,54.791,5.264,0.708,78.907,67.747,1
genai-rag-025-00027,2026-01-27,project-19,vertex-ai,us-east1,staging,security,latency,38.277,5.046,0.408,189.068,67.023,0
genai-rag-025-00028,2026-01-28,project-13,vertex-ai,global,staging,mlops,cost,55.644,13.319,0.577,142.044,91.463,1
genai-rag-025-00029,2026-01-29,project-24,gke,us-east1,dev,finops,security,50.337,9.76,0.385,0.0,53.866,0
genai-rag-025-00030,2026-01-30,project-19,cloud-run,europe-west1,prod,backend,latency,79.151,24.453,0.843,58.453,100,1
genai-rag-025-00031,2026-01-31,project-20,gke,global,prod,platform,quality,70.302,17.171,0.721,88.977,100,1
genai-rag-025-00032,2026-02-01,project-22,gke,us-central1,dev,security,reliability,42.638,12.026,0.288,142.735,73.879,1
genai-rag-025-00033,2026-02-02,project-03,gke,us-central1,staging,data,latency,32.608,9.679,0.648,205.374,86.628,1
genai-rag-025-00034,2026-02-03,project-19,bigquery,us-east1,staging,finops,reliability,52.575,4.91,0.531,44.376,54.914,0
genai-rag-025-00035,2026-02-04,project-05,cloud-sql,asia-south1,staging,backend,security,50.214,14.23,0.53,149.672,91.155,1
genai-rag-025-00036,2026-02-05,project-03,compute,asia-south1,prod,security,quality,57.106,7.061,0.629,93.44,72.104,1
genai-rag-025-00037,2026-02-06,project-23,cloud-sql,global,sandbox,data,latency,81.607,7.709,0.759,110.146,89.178,1
genai-rag-025-00038,2026-02-07,project-24,cloud-run,europe-west1,dev,data,cost,99.142,13.58,0.398,168.507,100,1
genai-rag-025-00039,2026-02-08,project-23,bigquery,europe-west1,sandbox,backend,security,83.992,10.545,0.683,190.006,100,1
genai-rag-025-00040,2026-02-09,project-10,compute,us-east1,prod,finops,security,72.503,6.427,0.501,130.68,76.965,1
genai-rag-025-00041,2026-02-10,project-09,pubsub,global,sandbox,security,latency,44.185,4.019,0.272,19.169,37.158,0
genai-rag-025-00042,2026-02-11,project-14,bigquery,us-east1,dev,backend,reliability,63.546,14.948,0.794,0.0,84.91,1
genai-rag-025-00043,2026-02-12,project-08,bigquery,us-central1,staging,data,security,54.814,9.27,0.637,121.527,80.833,1
genai-rag-025-00044,2026-02-13,project-05,bigquery,us-east1,prod,data,cost,47.839,8.789,0.574,90.772,70.579,1
genai-rag-025-00045,2026-02-14,project-03,compute,asia-south1,prod,finops,cost,62.773,8.45,0.268,101.177,65.822,0
genai-rag-025-00046,2026-02-15,project-06,cloud-run,europe-west1,sandbox,backend,reliability,60.274,7.791,0.655,129.538,81.091,1
genai-rag-025-00047,2026-02-16,project-09,vertex-ai,us-central1,sandbox,finops,reliability,54.758,9.132,0.648,132.924,82.538,1
genai-rag-025-00048,2026-02-17,project-21,vertex-ai,us-east1,staging,mlops,reliability,37.981,9.917,0.938,63.24,78.486,1
genai-rag-025-00049,2026-02-18,project-19,compute,asia-south1,dev,mlops,security,44.855,11.511,0.443,92.569,71.563,0
genai-rag-025-00050,2026-02-19,project-22,bigquery,us-central1,dev,backend,quality,38.921,7.461,0.695,57.323,63.716,1
