record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,cost_anomaly
gcp-cost-041-00001,2026-01-01,project-01,vertex-ai,global,sandbox,mlops,security,52.713,7.422,0.218,153.363,65.763,0
gcp-cost-041-00002,2026-01-02,project-24,bigquery,us-central1,dev,backend,cost,67.86,9.188,0.363,216.469,89.463,1
gcp-cost-041-00003,2026-01-03,project-14,vertex-ai,asia-south1,dev,data,quality,30.31,8.024,0.479,109.756,62.102,1
gcp-cost-041-00004,2026-01-04,project-10,bigquery,us-east1,prod,data,cost,58.344,12.1,0.569,79.244,80.125,1
gcp-cost-041-00005,2026-01-05,project-17,vertex-ai,global,prod,data,latency,52.258,10.133,0.372,81.841,66.889,1
gcp-cost-041-00006,2026-01-06,project-01,pubsub,us-east1,prod,platform,quality,73.36,3.922,0.617,138.394,76.605,1
gcp-cost-041-00007,2026-01-07,project-21,compute,us-east1,prod,data,reliability,50.379,7.693,0.723,137.106,80.883,1
gcp-cost-041-00008,2026-01-08,project-12,bigquery,global,dev,security,reliability,42.674,5.955,0.405,100.29,57.632,0
gcp-cost-041-00009,2026-01-09,project-06,cloud-sql,us-central1,prod,data,reliability,78.406,5.996,0.37,172.008,79.467,1
gcp-cost-041-00010,2026-01-10,project-10,cloud-run,asia-south1,staging,platform,latency,46.018,9.476,0.825,149.686,88.921,1
gcp-cost-041-00011,2026-01-11,project-13,compute,europe-west1,sandbox,security,security,24.253,7.107,0.363,207.514,68.039,0
gcp-cost-041-00012,2026-01-12,project-23,cloud-sql,global,prod,security,reliability,64.188,14.97,0.336,127.059,87.685,1
gcp-cost-041-00013,2026-01-13,project-23,gke,europe-west1,prod,backend,security,74.69,4.258,0.536,150.589,76.798,1
gcp-cost-041-00014,2026-01-14,project-14,bigquery,asia-south1,sandbox,finops,latency,66.577,15.846,0.642,140.608,100,1
gcp-cost-041-00015,2026-01-15,project-13,cloud-sql,us-central1,prod,data,quality,31.973,11.78,0.429,102.644,68.661,1
gcp-cost-041-00016,2026-01-16,project-02,cloud-sql,us-central1,dev,backend,cost,86.946,6.349,0.664,101.197,83.243,1
gcp-cost-041-00017,2026-01-17,project-06,vertex-ai,asia-south1,sandbox,finops,cost,30.137,10.409,0.653,126.388,76.122,1
gcp-cost-041-00018,2026-01-18,project-23,cloud-sql,us-central1,prod,security,security,78.416,12.352,0.543,181.512,100,1
gcp-cost-041-00019,2026-01-19,project-17,pubsub,europe-west1,staging,finops,latency,23.905,9.558,0.515,114.8,65.435,0
gcp-cost-041-00020,2026-01-20,project-19,cloud-sql,asia-south1,sandbox,platform,quality,65.473,14.527,0.698,185.615,100,1
gcp-cost-041-00021,2026-01-21,project-06,bigquery,global,sandbox,finops,security,26.09,7.19,0.845,99.887,70.05,0
gcp-cost-041-00022,2026-01-22,project-02,gke,global,prod,mlops,latency,42.721,10.987,0.788,140.405,88.644,1
gcp-cost-041-00023,2026-01-23,project-23,gke,global,prod,data,reliability,60.165,5.187,0.645,165.253,79.835,1
gcp-cost-041-00024,2026-01-24,project-15,cloud-sql,asia-south1,staging,finops,security,41.291,9.694,0.428,152.109,74.234,0
gcp-cost-041-00025,2026-01-25,project-22,cloud-sql,europe-west1,staging,mlops,security,37.479,16.242,0.454,32.841,71.695,1
gcp-cost-041-00026,2026-01-26,project-01,pubsub,us-east1,dev,mlops,quality,35.918,9.547,0.573,103.438,69.987,0
gcp-cost-041-00027,2026-01-27,project-19,cloud-run,europe-west1,prod,platform,reliability,103.46,26.628,0.565,127.94,100,1
gcp-cost-041-00028,2026-01-28,project-17,pubsub,us-east1,prod,platform,reliability,65.088,7.033,0.654,87.531,74.846,0
gcp-cost-041-00029,2026-01-29,project-09,cloud-run,global,staging,finops,latency,50.194,11.212,0.36,198.165,85.228,1
gcp-cost-041-00030,2026-01-30,project-15,compute,us-central1,prod,security,security,54.312,17.276,0.636,95.908,95.566,1
gcp-cost-041-00031,2026-01-31,project-24,pubsub,asia-south1,sandbox,data,reliability,84.344,17.178,0.609,65.461,100,1
gcp-cost-041-00032,2026-02-01,project-02,bigquery,asia-south1,sandbox,data,security,40.948,24.368,0.674,66.854,100,1
gcp-cost-041-00033,2026-02-02,project-17,gke,us-central1,staging,backend,cost,17.874,3.522,0.83,217.943,75.307,0
