record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,model_promoted
vertex-ai-040-00001,2026-01-01,project-21,compute,us-east1,sandbox,finops,latency,36.324,8.863,0.484,193.592,78.566,1
vertex-ai-040-00002,2026-01-02,project-18,cloud-sql,asia-south1,prod,data,security,58.795,7.85,0.82,168.934,92.231,1
vertex-ai-040-00003,2026-01-03,project-01,vertex-ai,us-east1,prod,platform,latency,80.762,5.136,0.554,77.022,70.873,0
vertex-ai-040-00004,2026-01-04,project-04,bigquery,asia-south1,sandbox,security,latency,35.778,6.5,0.405,212.224,72.813,1
vertex-ai-040-00005,2026-01-05,project-02,compute,us-east1,prod,data,security,65.162,13.708,0.991,97.91,100,1
vertex-ai-040-00006,2026-01-06,project-16,compute,europe-west1,sandbox,platform,quality,43.181,6.304,0.608,31.828,55.744,1
vertex-ai-040-00007,2026-01-07,project-16,cloud-run,us-central1,sandbox,finops,quality,67.393,12.745,0.723,99.859,93.194,1
vertex-ai-040-00008,2026-01-08,project-10,gke,europe-west1,dev,platform,cost,62.179,14.58,0.519,112.704,90.384,1
vertex-ai-040-00009,2026-01-09,project-04,cloud-run,asia-south1,prod,data,cost,68.037,7.223,0.635,125.205,81.151,1
vertex-ai-040-00010,2026-01-10,project-08,vertex-ai,us-east1,dev,backend,cost,79.263,12.855,0.444,57.504,81.663,1
vertex-ai-040-00011,2026-01-11,project-01,cloud-run,global,staging,platform,quality,3.711,8.042,0.31,98.532,45.283,0
vertex-ai-040-00012,2026-01-12,project-06,pubsub,global,sandbox,platform,security,36.841,11.696,0.405,31.272,58.921,1
vertex-ai-040-00013,2026-01-13,project-15,compute,us-east1,prod,security,quality,85.046,10.989,0.328,110.79,83.044,1
vertex-ai-040-00014,2026-01-14,project-09,cloud-sql,asia-south1,prod,mlops,cost,62.917,6.713,0.654,0.0,60.575,0
vertex-ai-040-00015,2026-01-15,project-02,cloud-run,europe-west1,dev,finops,latency,13.872,10.342,0.569,190.033,76.615,1
vertex-ai-040-00016,2026-01-16,project-11,cloud-sql,europe-west1,prod,platform,reliability,33.822,9.868,0.463,177.057,76.889,1
vertex-ai-040-00017,2026-01-17,project-05,gke,us-central1,dev,data,quality,52.261,10.985,0.403,50.362,65.372,1
vertex-ai-040-00018,2026-01-18,project-18,cloud-sql,global,prod,security,reliability,66.357,2.712,0.619,98.061,65.519,0
vertex-ai-040-00019,2026-01-19,project-19,cloud-run,us-east1,dev,backend,security,73.274,13.948,0.21,67.874,75.44,1
vertex-ai-040-00020,2026-01-20,project-10,gke,europe-west1,staging,finops,quality,10.612,7.877,0.616,0.0,43.654,0
vertex-ai-040-00021,2026-01-21,project-24,gke,global,sandbox,platform,quality,53.83,9.7,0.755,200.872,97.193,1
vertex-ai-040-00022,2026-01-22,project-20,pubsub,asia-south1,sandbox,backend,latency,52.866,14.704,0.263,118.586,79.311,1
vertex-ai-040-00023,2026-01-23,project-20,gke,europe-west1,prod,backend,quality,68.608,9.213,0.477,154.638,84.756,1
vertex-ai-040-00024,2026-01-24,project-17,cloud-sql,europe-west1,staging,data,quality,44.05,10.119,0.828,105.864,83.447,1
vertex-ai-040-00025,2026-01-25,project-18,bigquery,us-central1,prod,mlops,security,66.212,8.832,0.358,30.285,60.729,0
vertex-ai-040-00026,2026-01-26,project-12,pubsub,europe-west1,prod,backend,reliability,68.554,6.18,0.612,95.854,73.813,1
vertex-ai-040-00027,2026-01-27,project-22,vertex-ai,us-east1,prod,platform,security,65.91,7.41,0.342,158.434,75.433,1
vertex-ai-040-00028,2026-01-28,project-22,cloud-run,europe-west1,prod,platform,reliability,79.625,9.852,0.374,201.954,93.398,1
vertex-ai-040-00029,2026-01-29,project-23,cloud-sql,global,prod,backend,cost,75.285,21.441,0.358,90.549,100,1
vertex-ai-040-00030,2026-01-30,project-08,cloud-sql,us-central1,prod,platform,reliability,49.841,25.498,0.665,124.775,100,1
vertex-ai-040-00031,2026-01-31,project-12,cloud-run,asia-south1,dev,finops,latency,53.533,7.091,0.333,72.377,57.492,0
vertex-ai-040-00032,2026-02-01,project-13,gke,europe-west1,staging,finops,quality,50.27,5.568,0.463,156.886,69.671,1
vertex-ai-040-00033,2026-02-02,project-10,cloud-run,us-central1,dev,mlops,reliability,30.897,16.726,0.227,106.281,73.286,1
vertex-ai-040-00034,2026-02-03,project-19,cloud-run,global,sandbox,data,reliability,20.453,23.783,0.491,139.094,100,1
vertex-ai-040-00035,2026-02-04,project-21,vertex-ai,asia-south1,dev,data,reliability,35.936,9.609,0.407,247.227,85.298,1
vertex-ai-040-00036,2026-02-05,project-18,cloud-sql,global,prod,security,latency,53.305,6.664,0.445,101.25,64.547,0
vertex-ai-040-00037,2026-02-06,project-12,pubsub,global,dev,finops,quality,30.063,18.755,0.741,48.261,87.257,1
vertex-ai-040-00038,2026-02-07,project-14,gke,europe-west1,prod,mlops,reliability,69.551,8.44,0.55,158.885,86.457,1
vertex-ai-040-00039,2026-02-08,project-18,bigquery,europe-west1,staging,platform,latency,25.96,9.543,0.522,111.824,65.931,0
vertex-ai-040-00040,2026-02-09,project-17,bigquery,asia-south1,prod,security,quality,96.021,15.707,0.757,49.493,100,1
vertex-ai-040-00041,2026-02-10,project-05,bigquery,us-central1,prod,platform,reliability,56.412,19.279,0.584,223.847,100,1
vertex-ai-040-00042,2026-02-11,project-05,bigquery,us-central1,prod,finops,quality,63.61,4.979,0.099,179.641,63.544,0
vertex-ai-040-00043,2026-02-12,project-13,cloud-sql,global,prod,backend,latency,78.016,6.074,0.513,200.3,88.644,1
vertex-ai-040-00044,2026-02-13,project-23,gke,us-east1,sandbox,mlops,cost,31.972,15.237,0.715,41.888,77.877,1
vertex-ai-040-00045,2026-02-14,project-17,gke,asia-south1,prod,platform,reliability,66.311,11.224,0.34,137.478,81.347,1
vertex-ai-040-00046,2026-02-15,project-21,compute,us-central1,sandbox,finops,reliability,16.151,11.82,0.464,149.794,71.318,0
vertex-ai-040-00047,2026-02-16,project-20,compute,asia-south1,dev,platform,quality,33.52,9.569,0.373,241.267,82.299,1
vertex-ai-040-00048,2026-02-17,project-06,bigquery,asia-south1,sandbox,security,latency,86.2,5.784,0.429,108.928,74.566,1
vertex-ai-040-00049,2026-02-18,project-07,pubsub,global,prod,data,latency,66.109,18.194,0.602,74.248,97.489,1
vertex-ai-040-00050,2026-02-19,project-01,cloud-run,europe-west1,dev,backend,reliability,33.89,8.822,0.492,164.825,73.703,1
vertex-ai-040-00051,2026-02-20,project-16,gke,us-east1,staging,backend,security,37.915,13.835,0.824,154.963,96.991,1
vertex-ai-040-00052,2026-02-21,project-19,vertex-ai,asia-south1,dev,mlops,latency,17.08,9.564,0.492,164.756,69.541,1
vertex-ai-040-00053,2026-02-22,project-03,compute,us-central1,dev,finops,latency,16.123,18.978,0.656,87.433,85.636,1
vertex-ai-040-00054,2026-02-23,project-05,bigquery,us-central1,sandbox,data,reliability,26.548,14.629,0.649,174.538,91.595,1
vertex-ai-040-00055,2026-02-24,project-06,bigquery,global,staging,backend,quality,46.458,7.284,0.773,81.054,72.132,0
vertex-ai-040-00056,2026-02-25,project-08,vertex-ai,us-central1,dev,platform,reliability,16.276,27.411,0.252,155.283,100,1
vertex-ai-040-00057,2026-02-26,project-04,pubsub,us-east1,prod,backend,quality,63.934,4.948,0.811,143.205,83.191,1
vertex-ai-040-00058,2026-02-27,project-15,pubsub,global,prod,finops,latency,73.819,6.418,0.587,107.567,77.044,1
vertex-ai-040-00059,2026-02-28,project-02,vertex-ai,europe-west1,prod,security,security,11.19,12.381,0.259,89.349,54.901,0
vertex-ai-040-00060,2026-03-01,project-13,compute,us-central1,staging,security,latency,21.901,8.447,0.467,130.102,62.693,0
vertex-ai-040-00061,2026-03-02,project-11,compute,asia-south1,dev,security,quality,39.802,6.098,0.434,96.088,57.362,0
vertex-ai-040-00062,2026-03-03,project-01,compute,us-east1,staging,backend,quality,33.546,10.445,0.501,76.669,64.829,0
vertex-ai-040-00063,2026-03-04,project-11,cloud-sql,us-east1,prod,backend,reliability,74.126,6.596,0.167,172.714,72.367,1
vertex-ai-040-00064,2026-03-05,project-12,gke,europe-west1,dev,data,cost,37.065,13.126,0.273,79.1,64.691,0
vertex-ai-040-00065,2026-03-06,project-04,gke,us-central1,prod,data,quality,79.975,11.365,0.589,120.894,92.755,1
vertex-ai-040-00066,2026-03-07,project-20,vertex-ai,asia-south1,dev,platform,reliability,36.673,7.393,0.166,87.629,48.675,0
vertex-ai-040-00067,2026-03-08,project-03,vertex-ai,us-east1,prod,backend,security,56.275,4.343,0.431,25.965,48.701,0
vertex-ai-040-00068,2026-03-09,project-13,gke,us-central1,prod,backend,quality,57.585,11.529,0.558,97.949,80.87,1
vertex-ai-040-00069,2026-03-10,project-09,vertex-ai,us-east1,dev,data,cost,61.664,5.437,0.149,179.71,65.691,0
vertex-ai-040-00070,2026-03-11,project-19,cloud-sql,asia-south1,staging,finops,reliability,16.795,12.233,0.357,121.814,64.681,0
vertex-ai-040-00071,2026-03-12,project-18,vertex-ai,europe-west1,prod,data,cost,57.484,12.361,0.686,124.409,91.115,1
vertex-ai-040-00072,2026-03-13,project-19,bigquery,us-central1,prod,mlops,latency,54.949,12.96,0.631,37.504,77.026,0
vertex-ai-040-00073,2026-03-14,project-01,pubsub,europe-west1,prod,security,cost,93.871,8.798,0.615,194.985,100,1
vertex-ai-040-00074,2026-03-15,project-13,gke,asia-south1,staging,finops,security,42.622,6.507,0.761,151.31,78.802,1
vertex-ai-040-00075,2026-03-16,project-01,gke,asia-south1,prod,finops,reliability,36.844,17.802,0.0,100.074,69.028,1
vertex-ai-040-00076,2026-03-17,project-16,bigquery,europe-west1,sandbox,platform,cost,55.407,6.634,0.421,154.593,72.152,1
vertex-ai-040-00077,2026-03-18,project-23,gke,asia-south1,prod,security,cost,71.951,20.39,0.673,107.725,100,1
vertex-ai-040-00078,2026-03-19,project-04,gke,us-central1,prod,data,cost,83.707,10.028,0.67,216.299,100,1
vertex-ai-040-00079,2026-03-20,project-16,bigquery,europe-west1,prod,data,latency,51.976,7.854,0.725,98.386,76.241,1
vertex-ai-040-00080,2026-03-21,project-10,cloud-run,europe-west1,dev,data,cost,28.428,5.765,0.602,127.059,63.001,0
vertex-ai-040-00081,2026-03-22,project-05,compute,us-central1,prod,data,security,72.446,12.193,0.456,144.371,90.821,1
vertex-ai-040-00082,2026-03-23,project-03,cloud-run,asia-south1,prod,platform,security,80.023,7.143,0.681,207.103,98.713,1
vertex-ai-040-00083,2026-03-24,project-24,vertex-ai,us-central1,prod,backend,reliability,80.622,13.888,0.7,162.066,100,1
vertex-ai-040-00084,2026-03-25,project-06,bigquery,us-central1,sandbox,data,reliability,41.75,3.007,0.658,70.605,54.955,0
vertex-ai-040-00085,2026-03-26,project-16,pubsub,global,sandbox,security,latency,15.493,11.306,0.612,275.309,93.372,1
vertex-ai-040-00086,2026-03-27,project-01,compute,us-east1,prod,security,security,46.515,5.929,0.423,64.207,54.283,0
vertex-ai-040-00087,2026-03-28,project-06,pubsub,europe-west1,staging,finops,quality,21.433,13.522,0.735,115.652,81.644,1
vertex-ai-040-00088,2026-03-29,project-15,cloud-sql,global,dev,mlops,quality,21.601,7.154,0.369,185.076,64.158,1
vertex-ai-040-00089,2026-03-30,project-09,gke,us-east1,prod,mlops,security,43.122,14.714,0.489,134.337,86.131,1
vertex-ai-040-00090,2026-03-31,project-08,cloud-run,us-east1,sandbox,finops,cost,25.762,11.439,0.41,160.818,73.51,1
vertex-ai-040-00091,2026-04-01,project-05,pubsub,europe-west1,staging,finops,reliability,37.293,6.759,0.398,127.502,61.348,0
vertex-ai-040-00092,2026-04-02,project-07,cloud-sql,us-east1,staging,security,quality,27.478,7.181,0.446,125.007,60.213,0
vertex-ai-040-00093,2026-04-03,project-09,vertex-ai,global,prod,platform,latency,70.377,8.647,0.429,255.77,97.123,1
vertex-ai-040-00094,2026-04-04,project-04,cloud-sql,asia-south1,sandbox,platform,quality,42.487,7.676,0.36,50.454,52.739,0
vertex-ai-040-00095,2026-04-05,project-23,cloud-run,asia-south1,dev,mlops,security,29.58,12.992,0.541,0.0,59.603,1
vertex-ai-040-00096,2026-04-06,project-01,cloud-run,global,sandbox,backend,cost,41.486,6.623,0.794,114.548,74.469,0
vertex-ai-040-00097,2026-04-07,project-23,bigquery,asia-south1,prod,platform,cost,95.39,14.281,0.581,95.185,100,1
vertex-ai-040-00098,2026-04-08,project-08,compute,us-east1,prod,platform,latency,70.92,9.163,0.724,171.648,96.574,1
vertex-ai-040-00099,2026-04-09,project-17,gke,us-central1,staging,platform,security,12.905,8.291,0.918,204.163,85.766,1
vertex-ai-040-00100,2026-04-10,project-01,compute,us-central1,prod,finops,reliability,52.61,5.789,0.75,82.701,70.232,0
vertex-ai-040-00101,2026-04-11,project-18,pubsub,us-central1,staging,backend,reliability,33.256,4.622,0.745,83.12,60.621,0
vertex-ai-040-00102,2026-04-12,project-08,pubsub,us-central1,dev,security,quality,81.657,11.184,0.792,182.622,100,1
vertex-ai-040-00103,2026-04-13,project-22,cloud-run,europe-west1,dev,backend,quality,55.852,13.217,0.583,177.067,96.615,1
vertex-ai-040-00104,2026-04-14,project-16,vertex-ai,europe-west1,staging,finops,reliability,24.709,8.46,0.513,57.101,54.67,0
vertex-ai-040-00105,2026-04-15,project-19,cloud-sql,us-east1,sandbox,platform,quality,49.178,12.043,0.576,138.141,85.618,1
vertex-ai-040-00106,2026-04-16,project-10,bigquery,asia-south1,staging,security,cost,34.208,17.894,0.283,72.846,74.254,1
vertex-ai-040-00107,2026-04-17,project-12,cloud-sql,asia-south1,prod,mlops,quality,83.079,31.134,0.4,68.16,100,1
vertex-ai-040-00108,2026-04-18,project-13,cloud-sql,europe-west1,dev,mlops,security,39.125,10.962,0.535,103.911,73.15,0
vertex-ai-040-00109,2026-04-19,project-13,compute,us-central1,prod,finops,reliability,76.716,3.899,0.594,94.934,70.583,0
vertex-ai-040-00110,2026-04-20,project-17,compute,asia-south1,sandbox,finops,cost,36.644,14.349,0.571,123.387,84.285,1
vertex-ai-040-00111,2026-04-21,project-15,pubsub,us-central1,staging,security,reliability,25.315,4.026,0.705,174.452,68.37,0
vertex-ai-040-00112,2026-04-22,project-20,compute,global,dev,data,security,56.924,8.513,0.567,142.147,80.362,1
