record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,evaluation_passed
genai-rag-055-00001,2026-01-01,project-03,gke,europe-west1,prod,security,security,60.656,12.362,0.87,108.396,96.332,1
genai-rag-055-00002,2026-01-02,project-17,cloud-run,europe-west1,dev,backend,reliability,43.527,26.278,0.725,220.397,100,1
genai-rag-055-00003,2026-01-03,project-20,cloud-run,asia-south1,prod,platform,quality,46.347,9.332,0.274,132.235,66.87,1
genai-rag-055-00004,2026-01-04,project-01,cloud-run,us-east1,sandbox,platform,security,55.036,16.199,0.4,92.915,84.61,1
genai-rag-055-00005,2026-01-05,project-03,cloud-sql,asia-south1,prod,finops,latency,51.16,4.578,0.701,125.75,71.462,1
genai-rag-055-00006,2026-01-06,project-14,vertex-ai,europe-west1,dev,backend,latency,41.132,11.767,0.755,26.96,72.209,1
genai-rag-055-00007,2026-01-07,project-12,bigquery,asia-south1,dev,backend,cost,37.319,10.864,0.64,23.166,64.189,1
genai-rag-055-00008,2026-01-08,project-04,vertex-ai,europe-west1,sandbox,finops,reliability,44.624,11.686,0.415,53.794,65.256,1
genai-rag-055-00009,2026-01-09,project-18,gke,us-east1,prod,backend,security,29.818,9.878,0.374,96.911,60.708,0
genai-rag-055-00010,2026-01-10,project-06,gke,europe-west1,prod,mlops,cost,38.147,7.588,0.46,105.474,62.538,1
genai-rag-055-00011,2026-01-11,project-15,pubsub,europe-west1,dev,finops,reliability,44.092,8.763,0.316,107.542,62.622,1
genai-rag-055-00012,2026-01-12,project-22,cloud-run,global,sandbox,security,cost,54.524,12.519,0.649,61.277,79.946,1
genai-rag-055-00013,2026-01-13,project-12,bigquery,asia-south1,prod,platform,latency,83.07,17.322,0.235,150.818,99.712,1
genai-rag-055-00014,2026-01-14,project-19,cloud-run,us-east1,sandbox,finops,latency,19.253,13.259,0.721,88.953,75.884,1
genai-rag-055-00015,2026-01-15,project-09,vertex-ai,us-east1,prod,finops,security,78.984,7.479,0.392,103.526,73.913,0
genai-rag-055-00016,2026-01-16,project-20,vertex-ai,us-east1,prod,backend,latency,55.586,11.733,0.256,76.247,66.911,0
genai-rag-055-00017,2026-01-17,project-10,gke,asia-south1,staging,finops,security,27.55,9.754,0.651,129.345,74.05,1
genai-rag-055-00018,2026-01-18,project-16,pubsub,us-central1,dev,data,reliability,49.009,10.143,0.422,137.814,75.688,1
genai-rag-055-00019,2026-01-19,project-08,bigquery,global,prod,mlops,quality,77.657,6.835,0.56,109.099,78.639,1
genai-rag-055-00020,2026-01-20,project-12,cloud-sql,us-east1,sandbox,mlops,cost,44.703,7.223,0.66,162.074,79.236,1
genai-rag-055-00021,2026-01-21,project-12,vertex-ai,europe-west1,staging,platform,reliability,28.498,11.44,0.431,174.69,77.228,1
genai-rag-055-00022,2026-01-22,project-12,vertex-ai,global,dev,security,latency,8.97,7.148,0.468,68.484,46.185,0
genai-rag-055-00023,2026-01-23,project-12,gke,asia-south1,staging,finops,reliability,66.095,10.961,0.456,218.737,96.568,1
genai-rag-055-00024,2026-01-24,project-08,compute,us-east1,prod,backend,reliability,42.834,4.693,0.583,69.648,56.504,0
genai-rag-055-00025,2026-01-25,project-02,vertex-ai,global,prod,data,quality,66.574,13.182,0.351,182.115,92.902,1
genai-rag-055-00026,2026-01-26,project-04,vertex-ai,asia-south1,dev,backend,quality,13.623,5.359,0.643,121.749,57.532,1
genai-rag-055-00027,2026-01-27,project-22,vertex-ai,global,prod,finops,security,46.705,6.702,0.821,162.308,84.39,1
genai-rag-055-00028,2026-01-28,project-13,compute,global,staging,data,reliability,43.521,8.784,0.67,110.091,75.233,1
genai-rag-055-00029,2026-01-29,project-19,cloud-run,us-east1,sandbox,mlops,latency,78.792,16.054,0.61,95.526,100,1
genai-rag-055-00030,2026-01-30,project-13,compute,us-central1,dev,finops,security,33.409,12.403,0.546,100.021,74.33,1
genai-rag-055-00031,2026-01-31,project-09,gke,global,staging,mlops,quality,49.933,19.144,0.261,109.035,87.182,1
genai-rag-055-00032,2026-02-01,project-22,compute,asia-south1,prod,data,reliability,42.954,7.231,0.777,162.609,82.815,1
genai-rag-055-00033,2026-02-02,project-02,compute,europe-west1,prod,mlops,cost,47.955,3.094,0.6,187.248,72.311,0
genai-rag-055-00034,2026-02-03,project-17,vertex-ai,europe-west1,prod,finops,security,69.374,8.869,0.746,82.823,83.164,1
genai-rag-055-00035,2026-02-04,project-11,cloud-sql,europe-west1,prod,backend,reliability,56.144,4.865,0.489,40.866,54.077,0
