record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,risk_detected
cloud-security-067-00001,2026-01-01,project-23,pubsub,global,sandbox,data,cost,45.508,9.846,0.424,102.617,68.707,1
cloud-security-067-00002,2026-01-02,project-21,cloud-sql,europe-west1,staging,backend,cost,43.215,12.259,0.827,108.364,88.478,1
cloud-security-067-00003,2026-01-03,project-14,gke,europe-west1,dev,security,quality,47.108,10.869,0.798,152.017,91.948,1
cloud-security-067-00004,2026-01-04,project-03,gke,asia-south1,prod,backend,security,80.138,8.324,0.355,113.691,76.476,1
cloud-security-067-00005,2026-01-05,project-12,gke,global,prod,finops,cost,70.718,8.706,0.434,149.981,82.128,1
cloud-security-067-00006,2026-01-06,project-01,gke,us-east1,dev,backend,cost,41.527,2.291,0.475,56.868,44.798,0
cloud-security-067-00007,2026-01-07,project-19,bigquery,europe-west1,dev,backend,cost,49.108,6.547,0.579,47.14,59.604,1
cloud-security-067-00008,2026-01-08,project-19,cloud-run,asia-south1,staging,mlops,security,46.64,11.193,0.648,144.282,86.162,1
cloud-security-067-00009,2026-01-09,project-17,cloud-run,asia-south1,prod,security,cost,72.649,5.018,0.426,124.607,70.218,1
cloud-security-067-00010,2026-01-10,project-06,cloud-run,global,prod,security,latency,75.281,10.207,0.593,152.814,93.205,1
cloud-security-067-00011,2026-01-11,project-23,cloud-run,us-central1,prod,security,quality,64.433,4.037,0.825,155.396,83.508,1
cloud-security-067-00012,2026-01-12,project-02,cloud-run,global,staging,finops,reliability,24.123,7.969,0.579,160.375,70.69,1
cloud-security-067-00013,2026-01-13,project-11,gke,global,staging,mlops,latency,51.468,18.122,0.607,41.484,87.593,1
cloud-security-067-00014,2026-01-14,project-14,vertex-ai,europe-west1,dev,finops,cost,44.72,19.438,0.557,250.906,100,1
cloud-security-067-00015,2026-01-15,project-07,compute,asia-south1,dev,mlops,reliability,40.726,5.344,0.067,101.58,43.882,0
cloud-security-067-00016,2026-01-16,project-16,cloud-run,global,dev,platform,latency,42.264,11.456,0.384,175.316,80.53,1
cloud-security-067-00017,2026-01-17,project-23,gke,global,prod,mlops,quality,50.828,11.542,0.339,111.137,72.794,1
cloud-security-067-00018,2026-01-18,project-16,cloud-sql,global,dev,platform,cost,70.143,10.963,0.47,191.829,94.555,1
cloud-security-067-00019,2026-01-19,project-03,vertex-ai,global,dev,mlops,cost,42.666,8.16,0.684,111.504,74.174,1
cloud-security-067-00020,2026-01-20,project-21,bigquery,us-east1,prod,finops,security,62.212,7.816,0.651,0.0,62.797,1
cloud-security-067-00021,2026-01-21,project-09,cloud-run,us-east1,dev,security,security,49.972,7.535,0.468,127.597,70.06,1
cloud-security-067-00022,2026-01-22,project-02,cloud-run,asia-south1,prod,backend,latency,69.958,17.562,0.644,7.853,89.149,1
cloud-security-067-00023,2026-01-23,project-03,vertex-ai,europe-west1,sandbox,security,quality,18.55,12.765,0.599,0.0,57.243,1
cloud-security-067-00024,2026-01-24,project-10,bigquery,asia-south1,prod,finops,latency,83.048,9.787,0.603,159.775,96.309,1
cloud-security-067-00025,2026-01-25,project-16,cloud-run,us-central1,staging,finops,cost,67.795,8.358,0.571,47.222,70.102,1
cloud-security-067-00026,2026-01-26,project-21,cloud-run,us-east1,prod,platform,security,68.771,6.139,0.494,109.915,71.713,1
cloud-security-067-00027,2026-01-27,project-09,pubsub,us-central1,prod,finops,security,58.893,8.938,0.866,67.89,81.679,1
