record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,quality_issue
data-quality-028-00001,2026-01-01,project-05,cloud-run,global,sandbox,mlops,quality,44.961,7.994,0.486,170.132,76.21,1
data-quality-028-00002,2026-01-02,project-11,gke,asia-south1,prod,backend,latency,51.76,9.693,0.622,97.686,76.749,1
data-quality-028-00003,2026-01-03,project-06,pubsub,us-east1,sandbox,security,quality,47.612,14.159,0.804,99.699,92.381,1
data-quality-028-00004,2026-01-04,project-18,cloud-run,us-central1,dev,finops,security,9.758,7.183,0.445,105.322,51.11,0
data-quality-028-00005,2026-01-05,project-05,pubsub,global,dev,finops,cost,33.054,12.807,0.555,100.409,75.52,1
data-quality-028-00006,2026-01-06,project-03,gke,global,staging,platform,reliability,50.882,13.712,0.338,115.029,78.408,1
data-quality-028-00007,2026-01-07,project-14,vertex-ai,asia-south1,sandbox,finops,latency,49.299,4.66,0.563,276.502,88.156,1
data-quality-028-00008,2026-01-08,project-14,pubsub,asia-south1,prod,security,security,47.793,10.393,0.591,155.994,84.412,1
data-quality-028-00009,2026-01-09,project-08,gke,global,sandbox,security,reliability,58.801,5.851,0.673,53.785,65.631,0
data-quality-028-00010,2026-01-10,project-07,pubsub,global,staging,backend,reliability,61.799,10.868,0.487,141.264,84.634,1
data-quality-028-00011,2026-01-11,project-22,pubsub,global,prod,platform,reliability,76.727,10.037,0.509,164.105,92.021,1
data-quality-028-00012,2026-01-12,project-24,cloud-sql,asia-south1,prod,finops,latency,93.137,7.62,0.417,187.262,92.282,1
data-quality-028-00013,2026-01-13,project-13,cloud-run,us-central1,prod,finops,quality,83.393,10.345,0.756,152.767,100,1
data-quality-028-00014,2026-01-14,project-22,compute,asia-south1,staging,finops,cost,23.022,5.713,0.332,168.112,57.524,0
data-quality-028-00015,2026-01-15,project-11,compute,us-east1,prod,security,security,76.832,11.726,0.231,151.774,84.471,1
data-quality-028-00016,2026-01-16,project-24,cloud-sql,us-east1,prod,backend,quality,55.576,13.752,0.439,118.472,84.182,1
data-quality-028-00017,2026-01-17,project-22,cloud-sql,us-central1,prod,mlops,quality,72.803,15.774,0.926,170.508,100,1
data-quality-028-00018,2026-01-18,project-12,gke,us-central1,prod,security,latency,85.356,9.223,0.71,77.524,87.551,1
data-quality-028-00019,2026-01-19,project-19,cloud-run,us-east1,prod,mlops,quality,85.093,14.506,0.787,0.232,91.209,1
data-quality-028-00020,2026-01-20,project-13,cloud-run,us-central1,staging,finops,quality,27.211,8.566,0.659,132.662,71.923,0
data-quality-028-00021,2026-01-21,project-06,cloud-run,us-east1,prod,data,reliability,74.717,5.983,0.798,115.572,84.896,1
data-quality-028-00022,2026-01-22,project-07,cloud-run,us-central1,dev,platform,security,38.314,4.445,0.478,234.14,74.657,0
data-quality-028-00023,2026-01-23,project-19,gke,global,staging,security,quality,19.879,4.04,0.506,54.266,42.008,0
data-quality-028-00024,2026-01-24,project-19,compute,global,prod,data,quality,18.828,10.108,0.255,136.656,59.029,1
data-quality-028-00025,2026-01-25,project-04,cloud-sql,asia-south1,dev,backend,latency,46.391,4.745,0.542,0.0,46.279,0
data-quality-028-00026,2026-01-26,project-10,compute,global,prod,mlops,reliability,72.598,13.378,0.722,106.909,97.486,1
