record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,budget_breach
finops-budget-069-00001,2026-01-01,project-12,pubsub,asia-south1,prod,platform,latency,89.373,4.976,0.516,4.385,61.591,0
finops-budget-069-00002,2026-01-02,project-12,cloud-sql,europe-west1,dev,security,cost,24.841,9.034,0.649,49.075,59.645,0
finops-budget-069-00003,2026-01-03,project-19,gke,us-central1,prod,platform,security,58.512,9.445,0.476,108.571,75.011,1
finops-budget-069-00004,2026-01-04,project-08,compute,asia-south1,dev,platform,security,23.328,6.076,0.782,80.229,61.412,1
finops-budget-069-00005,2026-01-05,project-05,bigquery,us-central1,staging,data,latency,50.421,6.951,0.422,114.254,65.298,1
finops-budget-069-00006,2026-01-06,project-14,gke,us-central1,prod,security,quality,77.514,7.212,0.875,70.742,84.899,1
finops-budget-069-00007,2026-01-07,project-19,bigquery,asia-south1,prod,security,quality,82.792,8.716,0.688,147.711,94.936,1
finops-budget-069-00008,2026-01-08,project-08,pubsub,us-central1,sandbox,data,reliability,80.991,8.63,0.296,176.953,84.649,1
finops-budget-069-00009,2026-01-09,project-02,bigquery,europe-west1,staging,platform,cost,69.525,7.094,0.579,160.432,84.548,1
finops-budget-069-00010,2026-01-10,project-04,vertex-ai,asia-south1,dev,mlops,cost,29.307,5.791,0.595,0.0,44.595,0
finops-budget-069-00011,2026-01-11,project-17,cloud-sql,global,dev,finops,latency,29.943,17.518,0.523,82.782,81.733,1
finops-budget-069-00012,2026-01-12,project-19,compute,us-central1,prod,platform,latency,46.617,4.637,0.565,62.824,56.072,0
finops-budget-069-00013,2026-01-13,project-02,gke,us-east1,staging,finops,latency,57.916,12.741,0.596,38.676,76.5,1
finops-budget-069-00014,2026-01-14,project-22,compute,europe-west1,prod,backend,quality,38.481,5.227,0.766,173.248,77.74,1
finops-budget-069-00015,2026-01-15,project-02,vertex-ai,us-east1,prod,finops,latency,68.535,14.13,0.736,142.865,100,1
finops-budget-069-00016,2026-01-16,project-11,cloud-run,global,prod,backend,reliability,61.349,6.093,0.625,91.853,70.959,0
finops-budget-069-00017,2026-01-17,project-05,cloud-run,europe-west1,dev,security,security,40.088,7.308,0.549,152.822,72.584,0
finops-budget-069-00018,2026-01-18,project-05,cloud-sql,europe-west1,prod,data,security,69.821,7.379,0.45,237.328,92.015,1
finops-budget-069-00019,2026-01-19,project-17,bigquery,us-east1,staging,finops,cost,75.097,7.55,1.114,164.82,100,1
finops-budget-069-00020,2026-01-20,project-15,pubsub,global,dev,data,quality,83.772,9.011,1.092,187.352,100,1
finops-budget-069-00021,2026-01-21,project-18,pubsub,asia-south1,sandbox,platform,reliability,27.473,12.673,0.381,101.718,67.355,1
finops-budget-069-00022,2026-01-22,project-07,cloud-run,europe-west1,staging,data,latency,51.232,6.506,0.421,68.719,57.868,0
finops-budget-069-00023,2026-01-23,project-23,cloud-sql,us-east1,prod,security,reliability,78.218,11.22,0.435,76.206,79.895,1
finops-budget-069-00024,2026-01-24,project-11,cloud-run,us-central1,sandbox,mlops,cost,33.875,10.329,0.746,79.122,73.606,1
finops-budget-069-00025,2026-01-25,project-02,gke,asia-south1,sandbox,security,reliability,32.94,7.865,0.57,128.783,68.612,0
finops-budget-069-00026,2026-01-26,project-16,cloud-run,us-east1,dev,platform,latency,26.917,7.062,0.255,133.804,54.337,0
finops-budget-069-00027,2026-01-27,project-03,pubsub,us-east1,dev,backend,cost,76.647,4.493,0.545,174.212,81.791,1
finops-budget-069-00028,2026-01-28,project-08,cloud-run,global,prod,platform,latency,81.572,6.892,0.627,129.695,85.49,1
finops-budget-069-00029,2026-01-29,project-06,vertex-ai,us-central1,prod,data,cost,57.951,14.236,0.648,178.17,100,1
finops-budget-069-00030,2026-01-30,project-09,cloud-run,europe-west1,prod,backend,security,70.353,8.711,0.521,125.135,81.433,1
finops-budget-069-00031,2026-01-31,project-22,pubsub,us-central1,dev,data,security,31.892,4.573,0.73,178.811,73.459,1
finops-budget-069-00032,2026-02-01,project-03,cloud-run,us-central1,prod,mlops,security,61.868,3.812,0.389,130.636,63.215,1
finops-budget-069-00033,2026-02-02,project-19,bigquery,europe-west1,prod,backend,security,42.186,11.582,0.672,0.0,65.31,0
finops-budget-069-00034,2026-02-03,project-01,cloud-run,us-east1,prod,data,cost,74.776,13.011,0.594,99.165,91.782,1
finops-budget-069-00035,2026-02-04,project-04,pubsub,us-east1,dev,platform,cost,23.864,8.916,0.617,62.001,59.793,0
finops-budget-069-00036,2026-02-05,project-19,pubsub,us-east1,prod,security,cost,106.361,10.788,0.0,219.963,94.476,1
finops-budget-069-00037,2026-02-06,project-06,vertex-ai,asia-south1,staging,platform,reliability,34.639,6.499,0.587,117.159,64.919,0
finops-budget-069-00038,2026-02-07,project-01,cloud-run,us-central1,dev,finops,latency,31.609,8.824,0.533,111.964,66.636,1
finops-budget-069-00039,2026-02-08,project-05,vertex-ai,us-central1,prod,finops,latency,33.077,7.766,0.583,218.526,81.971,1
finops-budget-069-00040,2026-02-09,project-20,bigquery,asia-south1,prod,mlops,cost,32.727,7.513,0.444,93.611,58.176,0
finops-budget-069-00041,2026-02-10,project-22,cloud-run,asia-south1,staging,mlops,reliability,41.357,7.154,0.374,60.317,53.054,0
finops-budget-069-00042,2026-02-11,project-18,vertex-ai,us-central1,prod,finops,security,53.709,6.071,0.313,105.041,59.237,0
finops-budget-069-00043,2026-02-12,project-23,gke,global,staging,data,latency,28.494,6.866,0.36,123.431,56.594,0
finops-budget-069-00044,2026-02-13,project-17,cloud-sql,us-east1,staging,data,reliability,36.371,19.479,0.515,41.787,82.3,1
finops-budget-069-00045,2026-02-14,project-01,gke,us-central1,prod,security,cost,54.89,16.698,0.364,184.607,97.835,1
finops-budget-069-00046,2026-02-15,project-03,pubsub,europe-west1,prod,security,security,60.882,5.415,0.489,137.317,71.084,1
finops-budget-069-00047,2026-02-16,project-04,compute,europe-west1,prod,platform,latency,82.543,7.894,0.449,137.078,83.015,1
finops-budget-069-00048,2026-02-17,project-01,vertex-ai,global,dev,platform,cost,61.126,8.838,0.543,92.13,74.457,1
finops-budget-069-00049,2026-02-18,project-07,cloud-run,europe-west1,prod,data,cost,46.292,6.107,0.629,72.613,63.056,0
finops-budget-069-00050,2026-02-19,project-10,bigquery,us-central1,staging,backend,latency,51.834,4.976,0.516,105.258,63.163,0
finops-budget-069-00051,2026-02-20,project-17,gke,asia-south1,dev,backend,security,81.613,14.49,0.613,43.255,90.138,1
finops-budget-069-00052,2026-02-21,project-21,cloud-sql,us-east1,dev,data,quality,56.402,8.026,0.687,92.78,76.043,1
