record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,risk_detected
cloud-security-087-00001,2026-01-01,project-15,pubsub,asia-south1,staging,backend,quality,38.158,9.319,0.844,163.667,88.508,1
cloud-security-087-00002,2026-01-02,project-02,compute,us-east1,prod,finops,reliability,94.609,4.285,0.661,149.47,88.044,1
cloud-security-087-00003,2026-01-03,project-13,vertex-ai,asia-south1,prod,platform,quality,77.007,16.123,0.452,117.625,97.546,1
cloud-security-087-00004,2026-01-04,project-07,pubsub,global,staging,data,reliability,38.397,6.272,0.535,166.699,71.109,1
cloud-security-087-00005,2026-01-05,project-03,cloud-sql,europe-west1,prod,platform,cost,66.312,11.202,0.32,41.794,66.642,1
cloud-security-087-00006,2026-01-06,project-17,vertex-ai,asia-south1,prod,platform,reliability,82.444,8.572,0.516,238.039,100,1
cloud-security-087-00007,2026-01-07,project-14,bigquery,us-central1,prod,mlops,security,64.276,11.439,0.542,100.221,82.773,1
cloud-security-087-00008,2026-01-08,project-16,bigquery,global,prod,platform,cost,49.977,8.986,0.788,88.671,78.97,1
cloud-security-087-00009,2026-01-09,project-20,compute,europe-west1,prod,security,reliability,97.348,5.508,0.926,139.988,99.749,1
cloud-security-087-00010,2026-01-10,project-21,cloud-run,global,dev,mlops,latency,50.025,6.1,0.343,125.272,62.016,0
cloud-security-087-00011,2026-01-11,project-12,bigquery,asia-south1,prod,mlops,latency,59.542,8.08,0.607,153.689,83.351,1
cloud-security-087-00012,2026-01-12,project-08,vertex-ai,global,prod,finops,quality,96.484,10.484,0.499,194.865,100,1
cloud-security-087-00013,2026-01-13,project-05,bigquery,asia-south1,prod,platform,cost,103.112,11.603,0.591,86.353,96.441,1
cloud-security-087-00014,2026-01-14,project-14,cloud-sql,us-east1,dev,backend,security,41.764,7.379,0.468,138.188,68.367,1
cloud-security-087-00015,2026-01-15,project-15,bigquery,us-east1,staging,backend,cost,52.467,4.777,0.396,141.393,63.99,1
cloud-security-087-00016,2026-01-16,project-20,gke,us-central1,prod,backend,reliability,65.389,7.069,0.502,123.668,74.985,1
cloud-security-087-00017,2026-01-17,project-16,cloud-sql,global,staging,data,security,20.414,6.338,0.667,132.45,64.594,0
cloud-security-087-00018,2026-01-18,project-01,compute,global,staging,security,quality,33.754,9.637,0.548,216.235,85.015,1
cloud-security-087-00019,2026-01-19,project-02,pubsub,asia-south1,staging,security,latency,80.039,12.291,0.949,152.782,100,1
cloud-security-087-00020,2026-01-20,project-04,pubsub,us-central1,staging,finops,latency,53.193,7.937,0.694,114.838,78.174,1
cloud-security-087-00021,2026-01-21,project-02,compute,us-east1,staging,finops,reliability,28.109,7.581,0.331,108.649,54.957,0
cloud-security-087-00022,2026-01-22,project-03,cloud-run,europe-west1,staging,backend,latency,24.316,5.639,0.685,86.092,58.198,0
cloud-security-087-00023,2026-01-23,project-04,compute,europe-west1,prod,security,cost,56.853,7.691,0.493,240.303,90.143,1
cloud-security-087-00024,2026-01-24,project-06,gke,us-central1,prod,finops,latency,85.848,14.956,0.227,158.228,95.964,1
cloud-security-087-00025,2026-01-25,project-07,vertex-ai,us-east1,prod,finops,security,77.102,5.857,0.804,87.211,81.51,1
cloud-security-087-00026,2026-01-26,project-04,vertex-ai,us-east1,prod,platform,quality,67.389,5.202,0.75,38.53,67.593,0
cloud-security-087-00027,2026-01-27,project-24,compute,global,sandbox,security,cost,58.047,9.226,0.665,95.131,78.992,1
cloud-security-087-00028,2026-01-28,project-21,compute,global,prod,platform,security,77.26,13.179,0.639,27.382,84.15,1
cloud-security-087-00029,2026-01-29,project-12,cloud-run,europe-west1,dev,platform,quality,59.833,6.732,0.549,69.729,66.033,0
cloud-security-087-00030,2026-01-30,project-04,pubsub,asia-south1,sandbox,mlops,cost,47.551,11.308,0.877,131.207,92.858,1
cloud-security-087-00031,2026-01-31,project-08,gke,us-central1,sandbox,backend,quality,48.095,7.467,0.486,40.822,57.219,0
cloud-security-087-00032,2026-02-01,project-13,cloud-run,global,staging,finops,reliability,47.919,10.724,0.518,107.915,75.662,1
cloud-security-087-00033,2026-02-02,project-03,gke,europe-west1,staging,security,cost,62.36,9.24,0.657,114.175,83.032,1
cloud-security-087-00034,2026-02-03,project-20,bigquery,us-east1,prod,backend,reliability,53.273,7.477,0.431,21.221,54.272,0
cloud-security-087-00035,2026-02-04,project-18,cloud-sql,asia-south1,prod,finops,security,46.128,7.479,0.716,136.415,78.55,1
cloud-security-087-00036,2026-02-05,project-02,compute,us-central1,prod,security,quality,53.611,4.888,0.63,198.863,81.22,1
cloud-security-087-00037,2026-02-06,project-15,cloud-sql,global,prod,finops,security,81.195,12.214,0.289,28.127,71.134,1
cloud-security-087-00038,2026-02-07,project-17,cloud-sql,asia-south1,prod,security,security,76.982,7.625,0.44,115.412,76.966,1
cloud-security-087-00039,2026-02-08,project-01,compute,global,prod,platform,reliability,61.776,7.932,0.637,18.113,65.066,0
cloud-security-087-00040,2026-02-09,project-15,compute,europe-west1,dev,backend,security,19.814,4.38,0.661,16.016,42.626,0
cloud-security-087-00041,2026-02-10,project-03,cloud-sql,asia-south1,staging,platform,quality,7.408,10.987,0.445,110.729,59.952,1
cloud-security-087-00042,2026-02-11,project-01,cloud-sql,asia-south1,sandbox,mlops,latency,62.519,12.713,1.09,51.384,97.189,1
cloud-security-087-00043,2026-02-12,project-08,gke,asia-south1,prod,finops,reliability,62.096,7.475,0.743,64.308,74.559,1
cloud-security-087-00044,2026-02-13,project-02,vertex-ai,asia-south1,dev,backend,latency,60.886,11.584,0.244,254.282,93.962,1
cloud-security-087-00045,2026-02-14,project-10,gke,us-east1,prod,finops,quality,47.563,9.489,0.892,72.817,80.627,1
cloud-security-087-00046,2026-02-15,project-20,compute,us-east1,prod,mlops,security,45.029,6.652,0.516,149.43,71.133,0
cloud-security-087-00047,2026-02-16,project-12,gke,asia-south1,dev,finops,reliability,67.855,5.157,0.179,130.301,61.049,0
cloud-security-087-00048,2026-02-17,project-03,gke,global,sandbox,mlops,cost,73.503,10.334,0.325,169.326,85.907,1
cloud-security-087-00049,2026-02-18,project-20,gke,us-east1,staging,security,latency,44.365,11.598,0.527,101.328,75.812,1
cloud-security-087-00050,2026-02-19,project-18,vertex-ai,asia-south1,sandbox,finops,security,25.762,9.173,0.252,166.795,63.565,0
cloud-security-087-00051,2026-02-20,project-16,cloud-sql,us-central1,dev,finops,reliability,54.057,7.985,0.416,92.949,65.667,1
cloud-security-087-00052,2026-02-21,project-16,bigquery,europe-west1,prod,security,cost,106.259,7.687,0.491,0.0,72.312,0
cloud-security-087-00053,2026-02-22,project-21,gke,global,prod,data,quality,86.173,6.114,0.677,129.924,87.069,1
cloud-security-087-00054,2026-02-23,project-17,vertex-ai,europe-west1,prod,backend,reliability,58.733,13.092,0.147,147.749,77.796,1
cloud-security-087-00055,2026-02-24,project-14,bigquery,us-central1,prod,backend,quality,60.27,8.717,0.245,258.715,87.738,1
cloud-security-087-00056,2026-02-25,project-08,compute,global,staging,mlops,latency,40.58,21.774,0.582,86.633,98.013,1
cloud-security-087-00057,2026-02-26,project-04,pubsub,us-east1,sandbox,backend,quality,80.872,14.201,0.659,119.779,100,1
cloud-security-087-00058,2026-02-27,project-24,vertex-ai,global,prod,finops,quality,53.476,7.388,0.124,65.271,49.814,0
cloud-security-087-00059,2026-02-28,project-17,vertex-ai,asia-south1,dev,security,cost,45.006,11.043,0.875,70.488,82.424,1
cloud-security-087-00060,2026-03-01,project-15,cloud-run,asia-south1,prod,security,security,73.562,6.985,0.328,124.038,71.614,0
cloud-security-087-00061,2026-03-02,project-04,compute,europe-west1,prod,security,reliability,68.828,8.522,0.654,112.209,83.228,1
cloud-security-087-00062,2026-03-03,project-09,cloud-sql,global,dev,data,security,60.001,18.836,0.58,130.953,100,1
cloud-security-087-00063,2026-03-04,project-22,bigquery,global,prod,data,cost,61.012,14.239,0.714,180.165,100,1
