record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,incident_escalated
gke-sre-062-00001,2026-01-01,project-06,gke,global,prod,security,security,86.755,9.549,0.359,87.825,78.018,1
gke-sre-062-00002,2026-01-02,project-14,compute,us-central1,prod,finops,latency,47.31,12.912,0.592,113.818,84.005,1
gke-sre-062-00003,2026-01-03,project-23,pubsub,europe-west1,sandbox,data,cost,20.28,13.331,0.275,45.961,54.531,0
gke-sre-062-00004,2026-01-04,project-12,cloud-sql,asia-south1,staging,finops,cost,42.675,10.073,0.622,255.186,97.425,1
gke-sre-062-00005,2026-01-05,project-07,cloud-run,europe-west1,dev,security,quality,19.912,4.181,0.741,80.214,54.358,0
gke-sre-062-00006,2026-01-06,project-08,bigquery,global,prod,finops,latency,61.145,6.2,0.37,59.699,57.524,0
gke-sre-062-00007,2026-01-07,project-21,bigquery,asia-south1,prod,finops,cost,94.199,7.348,1.033,77.411,97.559,1
gke-sre-062-00008,2026-01-08,project-03,vertex-ai,us-central1,staging,mlops,security,67.205,4.9,0.509,130.307,71.773,0
gke-sre-062-00009,2026-01-09,project-07,compute,us-central1,prod,finops,quality,89.216,10.615,0.413,169.142,95.115,1
gke-sre-062-00010,2026-01-10,project-17,vertex-ai,us-central1,dev,security,cost,44.117,9.24,0.421,128.773,70.515,1
gke-sre-062-00011,2026-01-11,project-16,vertex-ai,us-east1,dev,backend,security,25.229,7.481,0.632,56.883,56.701,0
gke-sre-062-00012,2026-01-12,project-03,cloud-sql,europe-west1,prod,security,reliability,51.63,9.451,0.562,133.722,79.294,1
gke-sre-062-00013,2026-01-13,project-03,vertex-ai,asia-south1,dev,security,cost,31.99,4.885,0.516,125.615,58.974,0
gke-sre-062-00014,2026-01-14,project-18,pubsub,us-east1,dev,backend,latency,46.608,19.032,0.711,157.552,100,1
gke-sre-062-00015,2026-01-15,project-11,cloud-run,europe-west1,dev,platform,reliability,54.09,7.441,0.813,60.837,73.621,1
gke-sre-062-00016,2026-01-16,project-02,cloud-sql,us-central1,prod,mlops,security,72.563,6.379,0.632,52.788,70.1,0
gke-sre-062-00017,2026-01-17,project-12,pubsub,asia-south1,staging,platform,cost,50.018,10.344,0.238,202.185,79.458,1
gke-sre-062-00018,2026-01-18,project-11,bigquery,asia-south1,staging,security,latency,41.806,26.103,0.569,46.628,100,1
gke-sre-062-00019,2026-01-19,project-15,bigquery,us-central1,dev,backend,latency,28.611,7.423,0.454,183.361,69.964,0
gke-sre-062-00020,2026-01-20,project-07,compute,asia-south1,dev,mlops,latency,42.953,7.38,0.705,101.622,71.748,1
gke-sre-062-00021,2026-01-21,project-11,compute,global,prod,mlops,cost,61.263,15.634,0.36,167.104,94.891,1
gke-sre-062-00022,2026-01-22,project-22,vertex-ai,europe-west1,dev,security,security,29.424,6.502,0.513,142.331,64.181,0
gke-sre-062-00023,2026-01-23,project-24,bigquery,europe-west1,prod,finops,quality,71.256,18.098,0.393,204.257,100,1
