record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,incident_escalated
gke-sre-032-00001,2026-01-01,project-11,gke,europe-west1,sandbox,backend,quality,33.407,5.306,0.422,155.865,61.573,0
gke-sre-032-00002,2026-01-02,project-01,cloud-run,us-east1,staging,mlops,cost,30.715,8.253,0.238,121.004,55.984,0
gke-sre-032-00003,2026-01-03,project-21,bigquery,asia-south1,prod,platform,security,82.887,8.531,0.726,188.666,100,1
gke-sre-032-00004,2026-01-04,project-19,bigquery,asia-south1,prod,mlops,cost,69.726,12.264,0.656,135.11,95.684,1
gke-sre-032-00005,2026-01-05,project-15,vertex-ai,us-central1,prod,data,quality,62.784,9.387,0.249,192.547,80.672,1
gke-sre-032-00006,2026-01-06,project-11,vertex-ai,europe-west1,prod,platform,quality,85.046,20.442,0.664,128.759,100,1
gke-sre-032-00007,2026-01-07,project-01,gke,global,sandbox,data,security,34.179,14.711,0.704,120.148,88.45,1
gke-sre-032-00008,2026-01-08,project-22,bigquery,global,dev,security,latency,27.548,5.761,0.641,76.14,56.623,0
gke-sre-032-00009,2026-01-09,project-02,cloud-run,europe-west1,prod,mlops,quality,58.654,16.398,0.77,128.903,100,1
gke-sre-032-00010,2026-01-10,project-10,gke,global,dev,platform,quality,78.293,11.086,0.785,192.533,100,1
gke-sre-032-00011,2026-01-11,project-07,gke,europe-west1,sandbox,data,cost,53.851,4.686,0.753,93.113,69.716,0
gke-sre-032-00012,2026-01-12,project-01,compute,europe-west1,sandbox,finops,latency,63.583,9.038,0.43,197.59,87.208,1
gke-sre-032-00013,2026-01-13,project-10,pubsub,europe-west1,sandbox,data,cost,23.03,3.586,0.447,146.901,53.496,0
gke-sre-032-00014,2026-01-14,project-07,compute,us-central1,prod,backend,latency,55.341,11.514,1.025,110.132,98.171,1
gke-sre-032-00015,2026-01-15,project-05,compute,global,prod,platform,latency,38.999,7.026,0.683,209.192,84.456,1
gke-sre-032-00016,2026-01-16,project-20,compute,europe-west1,prod,platform,security,62.969,22.225,0.516,214.949,100,1
gke-sre-032-00017,2026-01-17,project-16,cloud-run,us-central1,prod,platform,security,68.158,8.285,0.747,116.096,86.263,1
gke-sre-032-00018,2026-01-18,project-10,cloud-sql,us-central1,sandbox,security,security,20.559,15.918,0.521,82.67,74.629,0
gke-sre-032-00019,2026-01-19,project-09,cloud-sql,asia-south1,prod,mlops,cost,38.117,4.685,0.799,83.089,64.355,1
gke-sre-032-00020,2026-01-20,project-03,cloud-sql,us-east1,sandbox,backend,reliability,57.985,4.961,0.218,103.898,54.652,0
gke-sre-032-00021,2026-01-21,project-17,vertex-ai,asia-south1,prod,platform,quality,92.221,11.26,0.619,208.694,100,1
gke-sre-032-00022,2026-01-22,project-07,gke,europe-west1,prod,backend,cost,85.756,4.022,0.44,51.8,62.353,0
gke-sre-032-00023,2026-01-23,project-08,compute,europe-west1,prod,security,quality,89.313,8.707,0.618,166.749,97.523,1
gke-sre-032-00024,2026-01-24,project-16,cloud-sql,asia-south1,sandbox,platform,latency,68.814,12.818,0.518,138.578,92.333,1
gke-sre-032-00025,2026-01-25,project-01,compute,us-east1,prod,backend,cost,67.767,7.973,0.192,118.13,66.269,0
gke-sre-032-00026,2026-01-26,project-12,gke,us-central1,dev,security,cost,63.01,8.393,0.478,162.983,82.136,1
gke-sre-032-00027,2026-01-27,project-04,bigquery,us-central1,dev,finops,cost,60.637,7.652,0.441,126.499,72.96,1
gke-sre-032-00028,2026-01-28,project-02,cloud-sql,asia-south1,sandbox,security,reliability,52.513,13.356,0.445,108.248,80.905,1
gke-sre-032-00029,2026-01-29,project-24,pubsub,global,prod,backend,quality,73.13,13.328,0.646,113.528,95.86,1
gke-sre-032-00030,2026-01-30,project-03,vertex-ai,us-east1,prod,finops,security,87.378,21.971,0.509,31.068,100,1
gke-sre-032-00031,2026-01-31,project-20,gke,asia-south1,prod,platform,reliability,34.098,12.109,0.355,71.249,63.004,1
gke-sre-032-00032,2026-02-01,project-11,bigquery,us-central1,staging,finops,latency,19.586,5.942,0.396,73.651,45.321,0
gke-sre-032-00033,2026-02-02,project-13,vertex-ai,us-east1,prod,finops,security,58.597,6.534,0.798,52.652,71.363,1
gke-sre-032-00034,2026-02-03,project-19,compute,us-east1,staging,mlops,security,24.547,10.904,0.51,171.995,76.967,1
gke-sre-032-00035,2026-02-04,project-21,cloud-run,europe-west1,prod,data,reliability,76.873,13.903,0.437,15.073,76.839,1
gke-sre-032-00036,2026-02-05,project-06,vertex-ai,us-central1,dev,backend,latency,46.206,5.135,0.506,164.322,69.827,1
gke-sre-032-00037,2026-02-06,project-05,pubsub,europe-west1,prod,platform,reliability,36.888,12.903,0.536,83.432,73.945,1
gke-sre-032-00038,2026-02-07,project-11,gke,us-central1,dev,backend,latency,52.224,9.646,0.525,130.378,78.174,1
gke-sre-032-00039,2026-02-08,project-17,compute,us-central1,staging,data,cost,41.995,10.393,0.496,137.161,76.311,1
gke-sre-032-00040,2026-02-09,project-10,gke,europe-west1,prod,security,security,57.782,12.603,0.331,81.065,73.038,1
gke-sre-032-00041,2026-02-10,project-04,compute,us-east1,prod,data,latency,50.494,7.607,0.48,117.631,69.377,0
gke-sre-032-00042,2026-02-11,project-03,compute,global,sandbox,mlops,quality,47.627,22.033,0.613,166.21,100,1
gke-sre-032-00043,2026-02-12,project-01,cloud-run,global,prod,security,latency,49.026,6.505,0.396,67.736,56.076,0
gke-sre-032-00044,2026-02-13,project-14,pubsub,asia-south1,dev,backend,quality,55.628,5.136,0.752,74.395,68.623,1
gke-sre-032-00045,2026-02-14,project-12,gke,global,sandbox,data,reliability,57.91,13.526,0.428,121.364,84.508,1
gke-sre-032-00046,2026-02-15,project-19,vertex-ai,us-central1,prod,mlops,security,10.579,23.075,0.837,102.155,100,1
gke-sre-032-00047,2026-02-16,project-13,compute,global,prod,security,security,52.23,8.143,0.222,126.287,63.468,1
gke-sre-032-00048,2026-02-17,project-07,cloud-run,asia-south1,dev,data,latency,59.051,14.353,0.52,205.654,100,1
gke-sre-032-00049,2026-02-18,project-18,cloud-run,europe-west1,prod,finops,quality,58.091,8.708,0.83,181.36,96.149,1
