record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,cost_anomaly
gcp-cost-071-00001,2026-01-01,project-12,bigquery,us-east1,prod,platform,latency,75.175,8.524,0.409,158.668,83.655,1
gcp-cost-071-00002,2026-01-02,project-16,pubsub,europe-west1,sandbox,mlops,reliability,47.387,35.202,0.668,2.193,100,1
gcp-cost-071-00003,2026-01-03,project-22,bigquery,asia-south1,staging,finops,reliability,67.568,12.391,0.749,81.835,90.71,1
gcp-cost-071-00004,2026-01-04,project-01,pubsub,us-central1,dev,finops,security,71.591,13.698,0.593,77.781,89.117,1
gcp-cost-071-00005,2026-01-05,project-21,gke,europe-west1,staging,mlops,quality,35.407,15.885,0.601,177.734,96.412,1
gcp-cost-071-00006,2026-01-06,project-19,gke,asia-south1,dev,mlops,reliability,62.607,4.679,0.624,0.0,54.67,0
gcp-cost-071-00007,2026-01-07,project-11,pubsub,us-central1,prod,mlops,reliability,52.638,7.021,0.34,97.356,60.903,0
gcp-cost-071-00008,2026-01-08,project-19,pubsub,global,prod,finops,quality,69.098,11.0,0.933,127.279,100,1
gcp-cost-071-00009,2026-01-09,project-10,gke,us-central1,prod,platform,cost,57.372,14.233,0.452,149.619,90.93,1
gcp-cost-071-00010,2026-01-10,project-19,pubsub,europe-west1,staging,security,latency,74.009,16.166,0.548,128.802,100,1
gcp-cost-071-00011,2026-01-11,project-13,gke,us-east1,dev,mlops,cost,56.137,7.748,0.544,175.735,82.395,1
gcp-cost-071-00012,2026-01-12,project-10,vertex-ai,europe-west1,dev,data,security,46.253,11.616,0.403,146.172,78.714,1
gcp-cost-071-00013,2026-01-13,project-12,compute,global,dev,security,security,49.342,8.177,0.585,84.165,69.098,1
gcp-cost-071-00014,2026-01-14,project-23,pubsub,us-east1,sandbox,backend,latency,20.345,9.801,0.65,162.987,76.509,1
gcp-cost-071-00015,2026-01-15,project-12,bigquery,us-east1,dev,platform,cost,91.761,15.299,0.551,57.421,95.473,1
gcp-cost-071-00016,2026-01-16,project-20,cloud-run,asia-south1,dev,security,security,18.442,12.924,0.494,158.809,77.06,1
gcp-cost-071-00017,2026-01-17,project-06,bigquery,europe-west1,dev,finops,security,37.736,16.743,0.598,142.05,93.92,1
gcp-cost-071-00018,2026-01-18,project-16,vertex-ai,us-east1,staging,platform,reliability,24.479,10.853,0.173,114.818,56.691,0
gcp-cost-071-00019,2026-01-19,project-07,cloud-run,europe-west1,staging,security,latency,48.337,8.748,0.479,117.063,71.167,1
gcp-cost-071-00020,2026-01-20,project-24,cloud-sql,global,sandbox,data,cost,52.754,7.149,0.755,102.704,76.548,1
gcp-cost-071-00021,2026-01-21,project-22,pubsub,global,staging,platform,security,67.64,16.921,0.661,176.475,100,1
gcp-cost-071-00022,2026-01-22,project-18,gke,us-central1,staging,platform,security,65.572,8.224,0.851,152.395,94.149,1
gcp-cost-071-00023,2026-01-23,project-10,cloud-run,europe-west1,prod,data,security,82.814,7.021,0.802,159.766,96.736,1
gcp-cost-071-00024,2026-01-24,project-11,cloud-sql,us-central1,prod,data,quality,66.814,1.777,0.83,81.0,68.394,1
gcp-cost-071-00025,2026-01-25,project-16,cloud-sql,us-central1,prod,platform,security,55.328,8.486,0.405,175.232,78.895,1
gcp-cost-071-00026,2026-01-26,project-14,vertex-ai,asia-south1,dev,data,latency,46.092,6.718,0.68,79.315,67.174,1
gcp-cost-071-00027,2026-01-27,project-02,gke,asia-south1,prod,backend,latency,87.594,13.233,0.57,225.579,100,1
gcp-cost-071-00028,2026-01-28,project-03,cloud-sql,europe-west1,dev,mlops,quality,46.809,8.612,0.447,155.241,74.762,1
gcp-cost-071-00029,2026-01-29,project-13,cloud-run,asia-south1,sandbox,backend,quality,23.737,4.907,0.546,153.903,61.312,1
gcp-cost-071-00030,2026-01-30,project-09,pubsub,global,dev,security,cost,44.326,4.111,0.464,52.569,49.013,0
gcp-cost-071-00031,2026-01-31,project-02,gke,global,dev,backend,security,33.496,11.63,0.725,83.324,76.387,1
gcp-cost-071-00032,2026-02-01,project-05,cloud-run,global,prod,backend,latency,59.588,6.929,0.298,162.77,71.191,1
gcp-cost-071-00033,2026-02-02,project-18,cloud-sql,asia-south1,prod,mlops,latency,55.74,14.151,0.683,82.004,88.392,1
gcp-cost-071-00034,2026-02-03,project-14,pubsub,us-east1,prod,finops,cost,89.137,6.83,0.36,103.617,74.845,1
gcp-cost-071-00035,2026-02-04,project-14,pubsub,us-east1,prod,mlops,quality,53.393,8.545,0.527,111.654,73.354,1
gcp-cost-071-00036,2026-02-05,project-11,cloud-sql,global,dev,security,cost,74.815,18.167,0.53,147.037,100,1
gcp-cost-071-00037,2026-02-06,project-20,vertex-ai,europe-west1,prod,data,security,78.113,7.725,0.583,84.261,78.058,1
gcp-cost-071-00038,2026-02-07,project-11,pubsub,us-east1,dev,backend,cost,22.412,12.276,0.436,105.294,67.104,0
gcp-cost-071-00039,2026-02-08,project-20,vertex-ai,global,sandbox,mlops,quality,60.045,2.919,0.52,135.256,65.752,1
gcp-cost-071-00040,2026-02-09,project-18,bigquery,asia-south1,dev,mlops,quality,23.521,9.453,0.499,165.077,71.828,1
gcp-cost-071-00041,2026-02-10,project-16,bigquery,us-central1,prod,security,security,48.604,13.87,0.534,77.278,79.334,1
gcp-cost-071-00042,2026-02-11,project-20,cloud-run,us-east1,dev,platform,security,45.915,8.669,0.488,116.217,70.326,1
gcp-cost-071-00043,2026-02-12,project-13,gke,europe-west1,staging,finops,latency,68.95,15.122,0.271,84.755,81.262,1
gcp-cost-071-00044,2026-02-13,project-15,pubsub,global,prod,data,reliability,79.764,7.44,0.319,169.746,81.197,1
gcp-cost-071-00045,2026-02-14,project-05,gke,asia-south1,dev,security,latency,89.183,5.341,0.382,76.593,68.216,1
gcp-cost-071-00046,2026-02-15,project-19,bigquery,global,prod,security,latency,71.072,7.757,0.701,187.062,94.79,1
gcp-cost-071-00047,2026-02-16,project-08,bigquery,us-east1,dev,data,latency,68.897,19.74,0.234,78.27,89.778,1
gcp-cost-071-00048,2026-02-17,project-12,vertex-ai,europe-west1,prod,platform,latency,46.66,4.93,0.357,144.31,61.375,1
gcp-cost-071-00049,2026-02-18,project-17,compute,us-east1,dev,platform,latency,0.0,5.516,0.375,103.575,41.1,0
