record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,incident_escalated
gke-sre-092-00001,2026-01-01,project-09,bigquery,global,prod,mlops,cost,72.038,11.517,0.475,136.813,88.663,1
gke-sre-092-00002,2026-01-02,project-15,gke,europe-west1,prod,platform,security,64.561,6.01,0.25,118.68,62.677,1
gke-sre-092-00003,2026-01-03,project-21,vertex-ai,us-central1,prod,backend,cost,69.674,7.414,0.445,99.545,71.777,1
gke-sre-092-00004,2026-01-04,project-06,compute,global,prod,platform,quality,39.366,8.034,0.223,102.872,55.331,0
gke-sre-092-00005,2026-01-05,project-21,pubsub,us-central1,sandbox,finops,security,28.545,12.26,0.481,177.749,81.354,1
gke-sre-092-00006,2026-01-06,project-05,compute,us-central1,staging,backend,reliability,27.708,4.7,0.435,109.698,51.887,0
gke-sre-092-00007,2026-01-07,project-07,vertex-ai,europe-west1,prod,backend,latency,61.767,4.035,0.557,87.166,63.24,0
gke-sre-092-00008,2026-01-08,project-07,cloud-run,us-east1,dev,mlops,quality,76.207,9.394,0.309,90.524,72.608,1
gke-sre-092-00009,2026-01-09,project-17,cloud-sql,europe-west1,staging,finops,cost,66.157,8.196,0.516,31.829,64.981,1
gke-sre-092-00010,2026-01-10,project-20,bigquery,asia-south1,dev,data,reliability,60.356,6.021,0.903,143.646,87.727,1
gke-sre-092-00011,2026-01-11,project-22,vertex-ai,global,prod,security,cost,82.514,6.984,0.613,161.182,90.137,1
gke-sre-092-00012,2026-01-12,project-23,gke,us-central1,prod,mlops,security,22.01,14.442,0.495,101.342,73.506,1
gke-sre-092-00013,2026-01-13,project-01,gke,global,prod,platform,quality,103.051,4.775,0.247,58.674,64.411,0
gke-sre-092-00014,2026-01-14,project-24,cloud-sql,us-east1,dev,security,latency,0.0,12.77,0.884,201.992,90.194,1
gke-sre-092-00015,2026-01-15,project-18,cloud-run,us-central1,dev,finops,cost,67.741,10.142,0.641,176.174,95.501,1
gke-sre-092-00016,2026-01-16,project-19,bigquery,us-east1,prod,mlops,reliability,74.543,15.44,0.698,110.069,100,1
gke-sre-092-00017,2026-01-17,project-22,compute,us-central1,dev,data,security,55.063,23.14,0.645,75.984,100,1
gke-sre-092-00018,2026-01-18,project-18,gke,global,prod,platform,cost,87.804,6.435,0.579,174.504,91.46,1
gke-sre-092-00019,2026-01-19,project-06,pubsub,us-east1,dev,platform,latency,23.283,12.26,0.493,161.755,77.6,1
gke-sre-092-00020,2026-01-20,project-01,cloud-run,asia-south1,dev,security,security,52.131,7.693,0.566,117.439,73.133,1
gke-sre-092-00021,2026-01-21,project-12,gke,us-central1,staging,security,security,99.33,6.375,0.508,15.665,69.705,1
gke-sre-092-00022,2026-01-22,project-11,bigquery,us-east1,dev,data,latency,60.061,7.261,0.511,157.77,78.857,1
gke-sre-092-00023,2026-01-23,project-04,compute,europe-west1,prod,finops,quality,65.587,10.011,0.654,143.846,90.182,1
gke-sre-092-00024,2026-01-24,project-05,pubsub,us-east1,prod,mlops,security,72.732,5.182,0.67,116.115,77.931,1
gke-sre-092-00025,2026-01-25,project-02,compute,us-east1,staging,backend,reliability,57.349,11.273,0.521,139.734,84.989,1
gke-sre-092-00026,2026-01-26,project-05,bigquery,us-east1,prod,finops,cost,36.698,8.814,0.442,204.98,78.773,1
gke-sre-092-00027,2026-01-27,project-04,vertex-ai,europe-west1,prod,mlops,reliability,63.268,6.721,0.391,139.92,71.916,1
gke-sre-092-00028,2026-01-28,project-18,cloud-sql,global,staging,security,security,30.456,2.814,0.657,32.798,45.004,0
gke-sre-092-00029,2026-01-29,project-02,cloud-run,global,sandbox,mlops,cost,38.114,7.713,0.161,36.84,42.344,0
gke-sre-092-00030,2026-01-30,project-20,compute,us-central1,prod,backend,cost,54.016,6.707,0.664,191.71,85.753,1
gke-sre-092-00031,2026-01-31,project-16,vertex-ai,us-east1,dev,mlops,cost,68.685,5.512,0.722,88.31,75.05,1
gke-sre-092-00032,2026-02-01,project-03,gke,global,sandbox,platform,security,68.873,5.23,0.702,134.328,80.468,1
