record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,budget_breach
finops-budget-049-00001,2026-01-01,project-04,cloud-sql,us-east1,prod,mlops,cost,30.224,7.372,0.731,45.305,59.972,0
finops-budget-049-00002,2026-01-02,project-16,compute,global,prod,finops,security,111.341,12.731,0.742,72.068,100,1
finops-budget-049-00003,2026-01-03,project-21,cloud-sql,asia-south1,staging,mlops,latency,81.215,13.165,0.491,61.9,85.356,1
finops-budget-049-00004,2026-01-04,project-02,cloud-sql,us-east1,dev,mlops,reliability,39.721,5.87,0.731,190.847,81.016,1
finops-budget-049-00005,2026-01-05,project-05,gke,asia-south1,prod,mlops,reliability,56.896,11.141,0.835,200.498,100,1
finops-budget-049-00006,2026-01-06,project-16,cloud-run,us-central1,prod,security,quality,63.937,8.303,0.742,213.672,98.882,1
finops-budget-049-00007,2026-01-07,project-10,gke,us-central1,sandbox,platform,cost,30.958,7.158,0.689,246.488,87.598,1
finops-budget-049-00008,2026-01-08,project-21,cloud-sql,asia-south1,staging,platform,security,21.444,8.903,0.527,69.714,56.891,0
finops-budget-049-00009,2026-01-09,project-12,compute,us-east1,sandbox,data,quality,37.446,13.108,0.409,126.641,76.475,1
finops-budget-049-00010,2026-01-10,project-16,compute,europe-west1,dev,backend,latency,38.702,14.078,0.753,62.481,81.861,1
finops-budget-049-00011,2026-01-11,project-17,cloud-sql,europe-west1,prod,platform,latency,89.742,6.179,0.464,156.516,84.893,1
finops-budget-049-00012,2026-01-12,project-19,pubsub,global,staging,data,security,36.22,8.949,0.447,155.665,71.904,1
finops-budget-049-00013,2026-01-13,project-05,compute,asia-south1,staging,finops,quality,68.059,5.755,0.613,145.141,79.87,1
finops-budget-049-00014,2026-01-14,project-09,bigquery,us-east1,staging,platform,reliability,58.922,9.013,0.621,125.296,81.66,1
finops-budget-049-00015,2026-01-15,project-19,cloud-sql,us-east1,prod,data,security,61.625,11.682,0.622,75.771,81.647,1
finops-budget-049-00016,2026-01-16,project-16,cloud-run,us-east1,dev,data,latency,60.587,6.244,0.685,221.361,92.032,1
finops-budget-049-00017,2026-01-17,project-03,cloud-sql,asia-south1,dev,platform,cost,49.53,9.19,0.765,109.223,81.482,1
finops-budget-049-00018,2026-01-18,project-07,compute,global,dev,data,quality,39.405,10.012,0.405,106.742,66.895,1
finops-budget-049-00019,2026-01-19,project-03,pubsub,us-east1,prod,mlops,reliability,85.675,12.827,0.566,112.523,96.136,1
finops-budget-049-00020,2026-01-20,project-03,pubsub,global,prod,data,latency,72.573,8.903,0.545,77.707,76.581,1
finops-budget-049-00021,2026-01-21,project-20,bigquery,us-east1,prod,backend,security,56.178,5.712,0.39,115.185,63.438,1
finops-budget-049-00022,2026-01-22,project-23,cloud-sql,europe-west1,staging,security,reliability,29.63,16.902,0.493,77.947,78.431,1
finops-budget-049-00023,2026-01-23,project-22,cloud-sql,asia-south1,prod,mlops,latency,86.977,15.325,0.739,33.198,96.907,1
finops-budget-049-00024,2026-01-24,project-01,pubsub,global,prod,finops,latency,77.736,9.724,0.468,150.488,88.223,1
finops-budget-049-00025,2026-01-25,project-24,gke,europe-west1,prod,data,security,60.876,12.36,0.893,133.344,100,1
finops-budget-049-00026,2026-01-26,project-05,bigquery,us-central1,prod,mlops,quality,52.362,16.244,0.426,95.206,85.024,1
finops-budget-049-00027,2026-01-27,project-02,vertex-ai,us-central1,prod,platform,cost,81.715,21.53,0.513,117.121,100,1
finops-budget-049-00028,2026-01-28,project-03,vertex-ai,global,dev,platform,reliability,30.855,9.789,0.549,49.785,60.116,0
finops-budget-049-00029,2026-01-29,project-16,bigquery,us-central1,dev,data,quality,38.21,5.212,0.266,161.564,58.406,0
finops-budget-049-00030,2026-01-30,project-12,cloud-run,us-east1,staging,finops,security,56.937,8.508,0.746,75.387,76.884,1
finops-budget-049-00031,2026-01-31,project-23,pubsub,asia-south1,prod,data,latency,62.995,9.013,0.599,131.685,83.248,1
finops-budget-049-00032,2026-02-01,project-15,pubsub,global,dev,platform,cost,43.072,15.912,0.453,98.689,82.45,1
finops-budget-049-00033,2026-02-02,project-24,cloud-run,us-central1,prod,security,quality,102.47,15.178,0.469,95.367,100,1
finops-budget-049-00034,2026-02-03,project-05,bigquery,europe-west1,prod,finops,security,65.022,6.382,0.637,253.731,96.946,1
finops-budget-049-00035,2026-02-04,project-02,cloud-sql,asia-south1,prod,finops,latency,76.08,4.349,0.21,173.962,69.495,1
finops-budget-049-00036,2026-02-05,project-10,bigquery,global,prod,finops,reliability,78.789,8.93,0.773,241.698,100,1
finops-budget-049-00037,2026-02-06,project-10,gke,us-central1,prod,finops,quality,54.606,12.19,0.79,77.76,86.545,1
finops-budget-049-00038,2026-02-07,project-05,cloud-sql,global,prod,backend,reliability,76.183,5.317,0.85,174.858,94.321,1
finops-budget-049-00039,2026-02-08,project-21,pubsub,us-central1,prod,security,reliability,65.041,14.34,0.698,140.155,100,1
finops-budget-049-00040,2026-02-09,project-23,bigquery,asia-south1,prod,backend,reliability,52.0,6.945,0.481,215.126,82.613,1
finops-budget-049-00041,2026-02-10,project-05,compute,europe-west1,staging,mlops,latency,43.148,15.26,0.44,74.5,76.973,1
finops-budget-049-00042,2026-02-11,project-11,bigquery,asia-south1,staging,mlops,quality,54.974,6.805,0.383,183.294,75.255,1
finops-budget-049-00043,2026-02-12,project-14,cloud-run,us-central1,sandbox,security,cost,29.292,6.915,0.415,91.925,54.318,0
finops-budget-049-00044,2026-02-13,project-24,cloud-run,us-central1,staging,data,reliability,64.608,8.491,0.28,176.425,77.954,1
finops-budget-049-00045,2026-02-14,project-14,bigquery,europe-west1,prod,mlops,cost,85.605,8.425,0.313,86.658,73.213,1
finops-budget-049-00046,2026-02-15,project-14,cloud-sql,asia-south1,dev,data,quality,55.755,9.849,0.623,61.086,73.209,0
finops-budget-049-00047,2026-02-16,project-10,bigquery,asia-south1,prod,backend,reliability,60.473,6.056,0.503,74.671,63.791,0
finops-budget-049-00048,2026-02-17,project-19,bigquery,global,dev,backend,reliability,56.899,10.863,0.291,39.34,61.184,1
finops-budget-049-00049,2026-02-18,project-02,gke,us-east1,sandbox,finops,cost,36.634,22.384,0.355,17.229,79.989,1
finops-budget-049-00050,2026-02-19,project-01,bigquery,us-east1,prod,platform,reliability,68.72,9.058,0.529,177.699,89.617,1
finops-budget-049-00051,2026-02-20,project-06,vertex-ai,us-central1,dev,mlops,security,54.151,13.758,0.371,125.816,82.388,1
finops-budget-049-00052,2026-02-21,project-18,cloud-run,global,prod,backend,security,59.951,4.819,0.808,113.52,77.062,1
finops-budget-049-00053,2026-02-22,project-20,bigquery,global,staging,finops,quality,6.163,9.374,0.296,2.81,34.8,0
finops-budget-049-00054,2026-02-23,project-14,cloud-run,global,staging,backend,reliability,17.947,5.708,0.398,109.421,49.487,0
finops-budget-049-00055,2026-02-24,project-13,gke,us-central1,sandbox,mlops,security,65.371,15.574,0.393,173.969,98.345,1
finops-budget-049-00056,2026-02-25,project-09,bigquery,us-central1,staging,mlops,quality,3.469,3.948,0.624,139.188,52.564,0
finops-budget-049-00057,2026-02-26,project-17,gke,us-east1,dev,mlops,cost,7.638,27.539,0.429,164.376,100,1
finops-budget-049-00058,2026-02-27,project-15,vertex-ai,global,sandbox,backend,latency,27.222,9.048,0.47,30.719,51.57,0
finops-budget-049-00059,2026-02-28,project-13,bigquery,europe-west1,prod,data,reliability,42.472,8.554,0.857,130.848,83.902,1
finops-budget-049-00060,2026-03-01,project-19,cloud-sql,asia-south1,dev,mlops,quality,81.301,14.893,0.79,137.551,100,1
finops-budget-049-00061,2026-03-02,project-21,cloud-run,europe-west1,dev,finops,cost,16.338,18.46,0.675,289.785,100,1
finops-budget-049-00062,2026-03-03,project-19,compute,us-east1,prod,mlops,quality,38.254,13.334,0.619,184.157,93.023,1
finops-budget-049-00063,2026-03-04,project-15,cloud-run,us-east1,prod,security,cost,32.552,12.11,0.563,92.851,72.896,1
finops-budget-049-00064,2026-03-05,project-12,pubsub,global,staging,platform,security,17.676,4.711,0.604,61.252,47.252,0
finops-budget-049-00065,2026-03-06,project-12,cloud-sql,europe-west1,staging,platform,security,18.253,9.895,0.223,64.976,46.758,0
finops-budget-049-00066,2026-03-07,project-13,cloud-run,asia-south1,prod,finops,cost,32.855,9.603,0.625,162.63,79.498,1
finops-budget-049-00067,2026-03-08,project-04,vertex-ai,global,dev,data,reliability,53.945,14.821,0.561,242.284,100,1
finops-budget-049-00068,2026-03-09,project-22,vertex-ai,us-central1,prod,security,security,56.517,3.886,0.634,127.202,69.589,0
finops-budget-049-00069,2026-03-10,project-02,vertex-ai,global,prod,backend,reliability,76.839,8.104,0.578,96.631,80.125,1
finops-budget-049-00070,2026-03-11,project-06,gke,europe-west1,prod,platform,cost,35.661,6.991,0.401,121.383,60.53,0
finops-budget-049-00071,2026-03-12,project-04,vertex-ai,us-east1,dev,platform,reliability,10.097,10.681,0.761,138.585,75.302,1
finops-budget-049-00072,2026-03-13,project-10,bigquery,us-central1,dev,platform,latency,45.188,5.338,0.537,187.464,74.405,1
finops-budget-049-00073,2026-03-14,project-16,compute,global,dev,security,reliability,50.222,7.644,0.779,156.239,85.464,1
finops-budget-049-00074,2026-03-15,project-13,cloud-run,asia-south1,prod,platform,reliability,45.3,11.834,0.46,187.034,86.843,1
finops-budget-049-00075,2026-03-16,project-07,cloud-run,global,prod,mlops,quality,80.38,9.734,0.751,136.615,97.054,1
finops-budget-049-00076,2026-03-17,project-11,cloud-run,europe-west1,dev,finops,reliability,53.301,11.609,0.593,62.299,75.583,0
finops-budget-049-00077,2026-03-18,project-20,cloud-run,us-east1,staging,security,quality,13.964,5.597,0.447,234.685,67.817,0
finops-budget-049-00078,2026-03-19,project-11,compute,us-central1,prod,security,reliability,37.785,2.343,0.433,151.268,55.907,0
finops-budget-049-00079,2026-03-20,project-09,gke,asia-south1,prod,platform,reliability,6.461,15.704,0.171,122.025,62.684,0
finops-budget-049-00080,2026-03-21,project-20,bigquery,us-east1,prod,backend,latency,87.268,7.087,0.108,107.962,66.605,0
finops-budget-049-00081,2026-03-22,project-05,vertex-ai,global,prod,backend,security,80.766,10.825,0.619,200.034,100,1
finops-budget-049-00082,2026-03-23,project-24,pubsub,us-central1,prod,finops,quality,50.595,8.123,0.601,108.141,73.467,1
finops-budget-049-00083,2026-03-24,project-11,gke,europe-west1,sandbox,backend,reliability,51.366,8.572,0.742,97.264,78.134,1
finops-budget-049-00084,2026-03-25,project-24,gke,global,sandbox,mlops,quality,36.828,6.353,0.815,72.737,66.846,0
finops-budget-049-00085,2026-03-26,project-09,vertex-ai,europe-west1,prod,mlops,quality,58.374,4.605,0.598,170.186,76.925,1
finops-budget-049-00086,2026-03-27,project-11,cloud-sql,asia-south1,staging,security,security,35.989,8.114,0.636,160.235,77.156,1
finops-budget-049-00087,2026-03-28,project-24,cloud-sql,europe-west1,prod,mlops,quality,68.782,4.202,0.494,0.0,51.168,0
finops-budget-049-00088,2026-03-29,project-12,gke,us-central1,staging,data,security,13.397,5.416,0.593,125.349,56.361,0
finops-budget-049-00089,2026-03-30,project-10,bigquery,us-east1,staging,security,security,30.764,15.789,0.41,199.426,91.041,1
finops-budget-049-00090,2026-03-31,project-23,cloud-run,asia-south1,prod,mlops,security,28.15,7.177,0.783,138.855,74.254,0
finops-budget-049-00091,2026-04-01,project-08,bigquery,europe-west1,dev,finops,quality,83.488,8.955,0.71,2.764,75.369,1
finops-budget-049-00092,2026-04-02,project-10,vertex-ai,global,staging,finops,latency,44.277,10.29,0.787,95.89,81.036,1
finops-budget-049-00093,2026-04-03,project-23,pubsub,us-central1,prod,finops,quality,83.922,16.858,0.597,91.792,100,1
finops-budget-049-00094,2026-04-04,project-11,cloud-sql,us-east1,prod,backend,latency,61.427,3.964,0.345,118.659,60.128,0
finops-budget-049-00095,2026-04-05,project-15,cloud-run,us-central1,sandbox,backend,security,28.33,11.493,0.513,157.22,77.615,1
finops-budget-049-00096,2026-04-06,project-22,pubsub,global,prod,platform,quality,42.5,6.761,0.631,114.698,69.462,1
finops-budget-049-00097,2026-04-07,project-20,vertex-ai,us-central1,staging,finops,latency,61.041,7.932,0.728,119.94,82.844,1
finops-budget-049-00098,2026-04-08,project-24,vertex-ai,us-central1,sandbox,security,reliability,2.173,4.729,0.455,119.665,45.171,0
finops-budget-049-00099,2026-04-09,project-21,vertex-ai,europe-west1,prod,backend,latency,48.933,9.801,0.585,111.67,76.756,1
finops-budget-049-00100,2026-04-10,project-22,vertex-ai,us-central1,dev,security,security,79.137,12.591,0.288,69.997,77.365,1
