record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,risk_detected
cloud-security-037-00001,2026-01-01,project-17,bigquery,global,prod,finops,cost,82.302,4.895,0.463,0.0,56.432,0
cloud-security-037-00002,2026-01-02,project-14,vertex-ai,asia-south1,prod,platform,cost,67.755,11.476,0.619,247.929,100,1
cloud-security-037-00003,2026-01-03,project-24,vertex-ai,us-east1,dev,backend,reliability,91.313,14.755,0.409,48.884,87.832,1
cloud-security-037-00004,2026-01-04,project-01,compute,global,prod,finops,reliability,79.736,13.093,0.607,150.898,100,1
cloud-security-037-00005,2026-01-05,project-03,bigquery,asia-south1,prod,finops,latency,58.468,14.909,0.464,163.288,95.304,1
cloud-security-037-00006,2026-01-06,project-15,cloud-run,asia-south1,sandbox,security,latency,57.722,17.496,0.369,232.819,100,1
cloud-security-037-00007,2026-01-07,project-22,bigquery,us-east1,staging,security,reliability,78.878,8.69,0.632,98.036,84.301,1
cloud-security-037-00008,2026-01-08,project-23,gke,global,sandbox,platform,latency,72.228,9.647,0.325,246.407,95.099,1
cloud-security-037-00009,2026-01-09,project-05,compute,europe-west1,dev,security,latency,41.766,7.289,0.178,104.938,53.159,0
cloud-security-037-00010,2026-01-10,project-03,bigquery,global,dev,mlops,latency,27.255,5.855,0.54,167.113,66.472,1
cloud-security-037-00011,2026-01-11,project-06,cloud-sql,global,staging,data,security,68.12,4.787,0.711,26.668,63.786,1
cloud-security-037-00012,2026-01-12,project-24,cloud-run,asia-south1,sandbox,security,quality,20.389,13.938,0.455,93.342,69.196,1
cloud-security-037-00013,2026-01-13,project-07,pubsub,global,sandbox,mlops,reliability,49.23,8.808,0.691,225.508,94.854,1
cloud-security-037-00014,2026-01-14,project-19,cloud-sql,europe-west1,dev,finops,quality,21.697,19.945,0.682,194.302,100,1
cloud-security-037-00015,2026-01-15,project-05,bigquery,us-central1,dev,platform,latency,49.601,11.692,0.577,58.134,73.315,1
cloud-security-037-00016,2026-01-16,project-23,pubsub,global,dev,platform,reliability,61.449,13.172,0.279,237.078,96.581,1
cloud-security-037-00017,2026-01-17,project-13,compute,asia-south1,prod,platform,reliability,82.592,6.739,0.984,186.912,100,1
cloud-security-037-00018,2026-01-18,project-13,cloud-run,global,prod,backend,latency,68.239,6.154,0.497,173.165,80.891,1
cloud-security-037-00019,2026-01-19,project-21,gke,us-central1,prod,finops,security,59.718,10.756,0.728,116.915,88.529,1
cloud-security-037-00020,2026-01-20,project-09,cloud-run,us-central1,prod,data,cost,66.736,5.483,0.684,258.411,97.776,1
cloud-security-037-00021,2026-01-21,project-17,vertex-ai,us-east1,dev,security,cost,41.371,6.288,0.73,74.266,65.532,0
cloud-security-037-00022,2026-01-22,project-01,pubsub,global,prod,data,cost,48.431,9.421,0.583,152.35,81.556,1
cloud-security-037-00023,2026-01-23,project-01,compute,europe-west1,staging,platform,reliability,79.197,12.668,0.763,81.798,95.911,1
cloud-security-037-00024,2026-01-24,project-01,pubsub,global,sandbox,mlops,security,29.314,5.535,0.606,196.232,73.002,1
cloud-security-037-00025,2026-01-25,project-08,compute,asia-south1,staging,backend,latency,37.739,3.918,0.356,208.287,65.186,0
cloud-security-037-00026,2026-01-26,project-21,cloud-run,asia-south1,prod,finops,latency,59.276,3.689,0.864,146.562,80.968,1
cloud-security-037-00027,2026-01-27,project-03,compute,us-east1,staging,security,latency,50.392,11.54,0.779,114.086,88.466,1
cloud-security-037-00028,2026-01-28,project-16,cloud-sql,asia-south1,staging,mlops,reliability,41.017,9.852,0.673,140.675,81.414,1
cloud-security-037-00029,2026-01-29,project-16,compute,global,prod,mlops,security,47.186,11.063,0.82,162.62,94.744,1
cloud-security-037-00030,2026-01-30,project-02,vertex-ai,asia-south1,staging,finops,reliability,15.295,12.557,0.779,125.592,80.233,1
cloud-security-037-00031,2026-01-31,project-20,vertex-ai,global,prod,mlops,quality,44.321,10.723,0.691,136.562,84.633,1
cloud-security-037-00032,2026-02-01,project-14,vertex-ai,asia-south1,sandbox,security,reliability,50.053,11.997,0.621,62.56,76.37,1
cloud-security-037-00033,2026-02-02,project-16,vertex-ai,us-central1,prod,mlops,latency,79.545,8.588,0.449,111.278,79.822,1
cloud-security-037-00034,2026-02-03,project-12,compute,europe-west1,prod,backend,reliability,87.563,22.468,0.497,128.397,100,1
cloud-security-037-00035,2026-02-04,project-22,vertex-ai,us-east1,prod,mlops,security,58.547,8.874,0.533,143.327,80.754,1
cloud-security-037-00036,2026-02-05,project-06,cloud-sql,asia-south1,dev,finops,security,53.491,12.308,0.59,133.118,87.504,1
cloud-security-037-00037,2026-02-06,project-21,bigquery,europe-west1,prod,platform,security,75.397,17.421,0.588,40.209,93.482,1
cloud-security-037-00038,2026-02-07,project-16,vertex-ai,asia-south1,staging,finops,latency,50.079,4.238,0.543,219.901,78.49,1
cloud-security-037-00039,2026-02-08,project-06,compute,asia-south1,prod,mlops,cost,77.597,6.852,0.167,196.962,77.716,1
cloud-security-037-00040,2026-02-09,project-19,bigquery,asia-south1,prod,security,reliability,128.324,5.925,0.565,68.958,88.57,1
cloud-security-037-00041,2026-02-10,project-03,bigquery,asia-south1,prod,security,security,62.3,3.959,0.597,108.139,67.708,0
cloud-security-037-00042,2026-02-11,project-10,pubsub,us-central1,prod,security,latency,81.349,8.779,0.787,14.023,78.547,1
cloud-security-037-00043,2026-02-12,project-18,bigquery,europe-west1,prod,platform,cost,70.311,6.292,0.566,209.273,89.619,1
cloud-security-037-00044,2026-02-13,project-12,compute,europe-west1,prod,data,reliability,31.91,7.704,0.857,154.077,81.609,1
cloud-security-037-00045,2026-02-14,project-15,gke,europe-west1,sandbox,finops,latency,64.527,6.173,0.601,106.694,73.583,0
cloud-security-037-00046,2026-02-15,project-16,vertex-ai,asia-south1,sandbox,data,latency,10.761,6.196,0.347,120.557,47.95,0
cloud-security-037-00047,2026-02-16,project-07,cloud-sql,asia-south1,prod,data,latency,55.68,20.487,0.613,151.608,100,1
