record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,pipeline_failed
devops-ci-016-00001,2026-01-01,project-12,pubsub,global,prod,security,quality,56.335,7.775,0.881,160.596,92.114,1
devops-ci-016-00002,2026-01-02,project-06,vertex-ai,europe-west1,prod,platform,latency,79.933,10.302,0.897,19.868,86.307,1
devops-ci-016-00003,2026-01-03,project-15,cloud-sql,global,prod,backend,cost,84.037,5.994,0.379,0.0,56.664,0
devops-ci-016-00004,2026-01-04,project-03,cloud-sql,asia-south1,dev,backend,reliability,50.67,4.508,0.633,150.709,72.387,0
devops-ci-016-00005,2026-01-05,project-18,gke,us-east1,staging,platform,security,55.169,7.748,0.404,100.159,66.134,1
devops-ci-016-00006,2026-01-06,project-02,gke,global,sandbox,security,cost,39.979,6.112,0.452,156.607,66.913,1
devops-ci-016-00007,2026-01-07,project-12,bigquery,europe-west1,prod,data,security,28.227,5.857,0.697,191.748,75.904,1
devops-ci-016-00008,2026-01-08,project-12,cloud-sql,us-central1,prod,platform,quality,33.557,12.797,0.779,116.976,85.929,1
devops-ci-016-00009,2026-01-09,project-15,cloud-run,europe-west1,dev,platform,reliability,47.761,15.088,0.47,70.466,78.648,1
devops-ci-016-00010,2026-01-10,project-10,gke,asia-south1,dev,finops,latency,32.437,10.067,0.249,111.657,59.841,0
devops-ci-016-00011,2026-01-11,project-07,gke,global,prod,security,quality,58.359,13.387,0.508,199.183,98.49,1
devops-ci-016-00012,2026-01-12,project-14,compute,us-east1,dev,finops,cost,22.784,13.067,0.563,64.886,67.632,1
devops-ci-016-00013,2026-01-13,project-05,cloud-run,europe-west1,prod,backend,security,83.291,11.705,0.494,186.746,100,1
devops-ci-016-00014,2026-01-14,project-05,gke,us-central1,prod,mlops,quality,59.736,3.766,0.624,69.795,61.713,0
devops-ci-016-00015,2026-01-15,project-24,bigquery,asia-south1,prod,backend,latency,65.225,7.964,0.773,57.579,76.863,1
devops-ci-016-00016,2026-01-16,project-14,gke,asia-south1,sandbox,platform,reliability,39.094,12.573,0.632,37.098,70.55,1
devops-ci-016-00017,2026-01-17,project-22,vertex-ai,global,dev,data,quality,36.397,5.073,0.484,57.627,49.92,0
devops-ci-016-00018,2026-01-18,project-03,bigquery,us-east1,sandbox,backend,latency,13.769,5.319,0.302,104.816,43.086,0
