record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,incident_escalated
gke-sre-072-00001,2026-01-01,project-22,cloud-run,europe-west1,dev,backend,security,28.356,4.563,0.624,102.644,57.381,0
gke-sre-072-00002,2026-01-02,project-03,vertex-ai,us-central1,prod,mlops,reliability,50.476,5.227,0.401,169.624,68.635,1
gke-sre-072-00003,2026-01-03,project-09,pubsub,us-central1,staging,data,security,35.955,5.96,0.415,150.267,62.93,0
gke-sre-072-00004,2026-01-04,project-04,gke,global,prod,security,security,82.804,2.979,0.318,113.904,63.673,0
gke-sre-072-00005,2026-01-05,project-09,bigquery,us-east1,sandbox,security,reliability,54.919,5.256,0.345,225.003,76.374,1
gke-sre-072-00006,2026-01-06,project-16,compute,global,prod,security,cost,89.847,7.211,0.206,22.019,58.693,0
gke-sre-072-00007,2026-01-07,project-15,bigquery,us-central1,prod,security,security,63.649,9.206,0.549,13.106,64.884,0
gke-sre-072-00008,2026-01-08,project-11,cloud-run,us-east1,sandbox,finops,cost,76.592,8.091,0.341,134.009,77.164,1
gke-sre-072-00009,2026-01-09,project-18,vertex-ai,global,dev,platform,security,37.624,6.47,0.493,200.026,74.691,1
gke-sre-072-00010,2026-01-10,project-13,gke,us-central1,dev,mlops,latency,19.516,8.59,0.399,81.224,52.684,0
gke-sre-072-00011,2026-01-11,project-09,compute,asia-south1,dev,finops,security,49.311,29.373,0.819,134.593,100,1
gke-sre-072-00012,2026-01-12,project-10,cloud-sql,us-central1,sandbox,finops,latency,37.811,10.416,0.88,174.091,93.726,1
gke-sre-072-00013,2026-01-13,project-22,gke,us-central1,prod,mlops,latency,64.798,11.58,0.543,174.205,94.109,1
gke-sre-072-00014,2026-01-14,project-02,bigquery,asia-south1,prod,mlops,cost,36.843,4.823,0.352,132.517,55.794,0
gke-sre-072-00015,2026-01-15,project-02,cloud-sql,asia-south1,prod,mlops,quality,38.371,7.132,0.312,166.892,65.33,0
gke-sre-072-00016,2026-01-16,project-01,pubsub,asia-south1,prod,data,quality,41.281,5.687,0.596,95.109,62.448,0
gke-sre-072-00017,2026-01-17,project-15,gke,asia-south1,sandbox,backend,reliability,36.943,12.907,0.546,74.385,73.004,1
gke-sre-072-00018,2026-01-18,project-17,bigquery,us-east1,prod,security,reliability,58.063,4.248,0.26,221.53,71.641,1
gke-sre-072-00019,2026-01-19,project-02,cloud-sql,us-east1,prod,backend,quality,73.498,6.58,0.448,206.96,86.939,1
gke-sre-072-00020,2026-01-20,project-09,gke,europe-west1,prod,data,cost,95.677,5.427,0.933,78.673,90.278,1
