record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,model_promoted
vertex-ai-060-00001,2026-01-01,project-19,gke,us-central1,staging,data,latency,0.0,8.76,0.356,126.352,51.326,0
vertex-ai-060-00002,2026-01-02,project-01,vertex-ai,us-east1,dev,security,quality,59.346,8.851,0.545,155.185,83.13,1
vertex-ai-060-00003,2026-01-03,project-03,compute,asia-south1,dev,data,cost,37.129,7.199,0.719,177.022,80.774,1
vertex-ai-060-00004,2026-01-04,project-19,gke,us-east1,prod,backend,quality,84.214,12.339,0.954,158.844,100,1
vertex-ai-060-00005,2026-01-05,project-17,compute,global,prod,platform,latency,96.159,5.782,0.717,114.068,88.877,1
vertex-ai-060-00006,2026-01-06,project-16,pubsub,us-central1,sandbox,data,cost,25.145,10.591,0.579,81.083,65.603,1
vertex-ai-060-00007,2026-01-07,project-04,cloud-sql,europe-west1,dev,finops,quality,31.378,10.533,0.746,153.716,84.086,1
vertex-ai-060-00008,2026-01-08,project-13,pubsub,global,staging,finops,reliability,37.341,10.281,0.789,157.553,87.65,1
vertex-ai-060-00009,2026-01-09,project-24,pubsub,asia-south1,prod,platform,cost,68.08,10.437,0.899,61.802,88.659,1
vertex-ai-060-00010,2026-01-10,project-20,bigquery,us-east1,prod,platform,cost,42.74,13.486,0.573,187.453,93.818,1
vertex-ai-060-00011,2026-01-11,project-07,gke,global,prod,data,security,55.405,3.092,0.876,119.114,74.637,1
vertex-ai-060-00012,2026-01-12,project-02,gke,global,dev,finops,latency,56.752,4.287,0.503,129.921,66.418,0
vertex-ai-060-00013,2026-01-13,project-17,compute,global,prod,backend,latency,93.652,6.847,0.872,162.898,100,1
vertex-ai-060-00014,2026-01-14,project-20,cloud-run,asia-south1,dev,security,quality,13.362,12.888,0.97,147.403,90.195,1
vertex-ai-060-00015,2026-01-15,project-21,vertex-ai,asia-south1,prod,data,quality,19.323,3.982,0.437,138.942,51.612,0
vertex-ai-060-00016,2026-01-16,project-01,cloud-sql,us-central1,sandbox,finops,reliability,46.904,6.362,0.755,140.301,78.147,1
vertex-ai-060-00017,2026-01-17,project-19,pubsub,global,staging,data,quality,42.668,13.28,0.597,55.192,74.864,1
vertex-ai-060-00018,2026-01-18,project-17,bigquery,us-central1,prod,finops,reliability,84.379,14.792,0.629,129.651,100,1
vertex-ai-060-00019,2026-01-19,project-06,gke,europe-west1,staging,finops,latency,67.402,14.511,0.221,147.652,86.717,1
vertex-ai-060-00020,2026-01-20,project-05,gke,us-central1,dev,backend,reliability,49.631,16.307,0.741,180.924,100,1
vertex-ai-060-00021,2026-01-21,project-18,cloud-run,asia-south1,dev,finops,latency,40.626,6.554,0.565,171.237,74.259,0
vertex-ai-060-00022,2026-01-22,project-18,cloud-run,global,prod,mlops,security,78.682,14.52,0.887,21.974,95.668,1
vertex-ai-060-00023,2026-01-23,project-02,bigquery,us-central1,sandbox,data,reliability,43.216,16.434,0.662,97.966,90.928,1
vertex-ai-060-00024,2026-01-24,project-24,cloud-sql,europe-west1,prod,backend,security,95.145,12.892,0.493,120.378,98.192,1
vertex-ai-060-00025,2026-01-25,project-18,vertex-ai,global,prod,platform,security,73.779,14.645,0.506,90.754,90.939,1
vertex-ai-060-00026,2026-01-26,project-24,compute,global,sandbox,platform,cost,27.086,6.303,0.834,85.22,65.805,1
vertex-ai-060-00027,2026-01-27,project-24,pubsub,asia-south1,dev,backend,cost,37.467,12.214,0.396,84.439,67.787,1
vertex-ai-060-00028,2026-01-28,project-05,bigquery,us-central1,staging,platform,cost,34.168,6.823,0.608,163.832,73.051,0
vertex-ai-060-00029,2026-01-29,project-06,cloud-sql,europe-west1,staging,finops,security,37.016,5.713,0.699,161.401,74.289,0
vertex-ai-060-00030,2026-01-30,project-23,cloud-run,us-east1,sandbox,security,cost,26.353,10.696,0.521,152.19,74.61,1
vertex-ai-060-00031,2026-01-31,project-14,compute,asia-south1,prod,security,latency,53.996,6.138,0.445,224.966,81.603,1
vertex-ai-060-00032,2026-02-01,project-21,vertex-ai,us-east1,sandbox,data,security,63.397,7.447,0.64,152.999,84.278,1
vertex-ai-060-00033,2026-02-02,project-01,compute,asia-south1,staging,mlops,latency,49.75,9.526,0.384,198.496,82.027,1
vertex-ai-060-00034,2026-02-03,project-10,bigquery,us-east1,prod,mlops,security,90.789,6.81,0.653,33.867,75.46,1
vertex-ai-060-00035,2026-02-04,project-02,cloud-run,global,dev,mlops,cost,67.317,5.508,0.285,210.596,77.1,1
vertex-ai-060-00036,2026-02-05,project-19,cloud-sql,europe-west1,prod,mlops,cost,85.394,10.926,0.382,166.812,93.079,1
vertex-ai-060-00037,2026-02-06,project-01,pubsub,europe-west1,prod,backend,security,61.344,7.022,0.186,266.942,83.294,1
vertex-ai-060-00038,2026-02-07,project-24,bigquery,asia-south1,sandbox,finops,security,41.947,6.476,0.573,149.516,71.652,1
vertex-ai-060-00039,2026-02-08,project-18,bigquery,europe-west1,prod,backend,quality,106.091,8.088,0.27,84.493,77.776,1
vertex-ai-060-00040,2026-02-09,project-03,cloud-run,us-central1,staging,platform,cost,17.803,7.013,0.233,137.668,50.826,0
vertex-ai-060-00041,2026-02-10,project-16,cloud-run,global,sandbox,platform,security,23.812,12.113,0.321,66.82,57.577,0
vertex-ai-060-00042,2026-02-11,project-19,compute,europe-west1,sandbox,security,quality,26.512,8.828,0.557,193.121,77.536,1
vertex-ai-060-00043,2026-02-12,project-11,compute,asia-south1,staging,security,security,39.239,7.669,0.443,136.728,67.072,0
vertex-ai-060-00044,2026-02-13,project-21,compute,us-central1,prod,security,cost,49.732,6.376,0.67,7.069,56.764,0
vertex-ai-060-00045,2026-02-14,project-01,cloud-run,europe-west1,prod,data,reliability,31.261,10.919,0.362,116.198,66.035,0
vertex-ai-060-00046,2026-02-15,project-01,pubsub,europe-west1,prod,platform,latency,91.064,7.767,0.666,214.689,100,1
vertex-ai-060-00047,2026-02-16,project-13,gke,asia-south1,staging,platform,cost,43.435,3.812,0.739,0.0,49.962,0
vertex-ai-060-00048,2026-02-17,project-15,compute,global,dev,backend,latency,73.273,27.279,0.561,191.42,100,1
vertex-ai-060-00049,2026-02-18,project-09,bigquery,us-east1,prod,backend,reliability,68.164,6.535,0.839,182.083,95.025,1
vertex-ai-060-00050,2026-02-19,project-06,compute,europe-west1,prod,finops,security,54.368,3.564,0.55,7.336,47.665,0
vertex-ai-060-00051,2026-02-20,project-18,cloud-sql,us-east1,prod,data,security,79.161,10.76,0.485,0.0,69.788,1
vertex-ai-060-00052,2026-02-21,project-09,compute,asia-south1,prod,finops,reliability,59.367,10.596,0.328,55.658,65.099,1
vertex-ai-060-00053,2026-02-22,project-05,cloud-sql,asia-south1,dev,security,quality,36.599,4.746,0.158,134.91,49.088,0
vertex-ai-060-00054,2026-02-23,project-05,pubsub,europe-west1,sandbox,security,cost,54.057,8.516,0.529,162.977,81.073,1
vertex-ai-060-00055,2026-02-24,project-05,cloud-run,us-central1,dev,data,cost,54.351,6.8,0.783,54.773,70.282,1
vertex-ai-060-00056,2026-02-25,project-07,cloud-sql,us-east1,sandbox,platform,security,46.888,12.86,0.318,123.623,75.576,0
vertex-ai-060-00057,2026-02-26,project-23,pubsub,global,prod,finops,security,71.018,6.886,0.609,69.284,72.343,1
vertex-ai-060-00058,2026-02-27,project-24,pubsub,us-east1,dev,security,quality,67.453,3.743,0.579,65.661,62.183,0
vertex-ai-060-00059,2026-02-28,project-01,pubsub,global,prod,platform,cost,67.898,13.305,0.572,173.421,100,1
vertex-ai-060-00060,2026-03-01,project-05,pubsub,us-east1,staging,backend,cost,38.836,14.875,0.554,104.283,82.899,1
vertex-ai-060-00061,2026-03-02,project-05,cloud-sql,us-central1,staging,platform,reliability,50.725,7.08,0.619,68.377,65.91,1
vertex-ai-060-00062,2026-03-03,project-22,compute,global,dev,platform,reliability,65.424,15.446,0.506,81.157,88.484,1
vertex-ai-060-00063,2026-03-04,project-20,gke,us-central1,sandbox,backend,latency,42.546,6.49,0.533,91.732,62.067,0
vertex-ai-060-00064,2026-03-05,project-01,cloud-run,asia-south1,prod,security,security,47.387,4.341,0.677,110.81,66.569,1
vertex-ai-060-00065,2026-03-06,project-23,gke,us-east1,prod,platform,cost,72.58,5.086,0.621,217.949,90.79,1
vertex-ai-060-00066,2026-03-07,project-02,bigquery,us-central1,sandbox,backend,quality,63.01,8.041,0.479,153.288,79.935,1
vertex-ai-060-00067,2026-03-08,project-14,gke,asia-south1,prod,backend,quality,74.054,9.433,0.561,187.447,94.9,1
vertex-ai-060-00068,2026-03-09,project-05,bigquery,global,prod,data,latency,71.855,6.655,0.591,107.824,77.087,1
vertex-ai-060-00069,2026-03-10,project-21,cloud-sql,us-central1,prod,backend,quality,69.365,10.296,0.354,160.444,84.09,1
vertex-ai-060-00070,2026-03-11,project-19,bigquery,global,dev,data,quality,47.739,7.036,0.602,144.387,75.252,1
vertex-ai-060-00071,2026-03-12,project-12,bigquery,global,prod,platform,reliability,31.892,7.88,0.558,95.525,63.01,0
vertex-ai-060-00072,2026-03-13,project-07,gke,us-east1,sandbox,platform,cost,80.64,5.858,0.872,72.881,83.041,1
vertex-ai-060-00073,2026-03-14,project-18,cloud-sql,asia-south1,prod,data,latency,26.519,10.937,0.484,144.21,72.772,0
vertex-ai-060-00074,2026-03-15,project-06,bigquery,us-central1,staging,security,security,12.206,7.739,0.426,192.523,65.316,0
vertex-ai-060-00075,2026-03-16,project-14,cloud-sql,global,prod,finops,reliability,105.108,6.452,0.377,77.708,76.37,1
vertex-ai-060-00076,2026-03-17,project-09,bigquery,asia-south1,dev,mlops,quality,71.49,7.879,1.083,187.313,100,1
vertex-ai-060-00077,2026-03-18,project-03,vertex-ai,europe-west1,dev,finops,security,66.742,7.841,0.551,17.941,63.557,0
vertex-ai-060-00078,2026-03-19,project-05,vertex-ai,us-central1,staging,finops,latency,20.216,8.73,0.611,47.633,55.777,0
vertex-ai-060-00079,2026-03-20,project-12,vertex-ai,us-central1,sandbox,mlops,security,84.954,6.576,0.566,18.218,67.545,0
vertex-ai-060-00080,2026-03-21,project-05,vertex-ai,asia-south1,prod,security,reliability,33.186,4.047,0.486,0.0,38.068,0
vertex-ai-060-00081,2026-03-22,project-11,compute,global,sandbox,platform,reliability,69.517,15.34,0.613,97.725,95.831,1
vertex-ai-060-00082,2026-03-23,project-04,compute,us-central1,sandbox,mlops,cost,46.074,16.671,0.45,141.444,91.402,1
vertex-ai-060-00083,2026-03-24,project-16,gke,us-east1,prod,data,quality,50.142,15.329,0.571,152.023,95.472,1
vertex-ai-060-00084,2026-03-25,project-01,compute,europe-west1,prod,finops,cost,46.693,10.603,0.886,68.21,82.04,1
vertex-ai-060-00085,2026-03-26,project-10,gke,global,sandbox,backend,cost,49.789,6.422,0.225,99.059,54.732,0
vertex-ai-060-00086,2026-03-27,project-22,gke,us-east1,sandbox,mlops,security,48.144,10.329,0.734,220.857,98.85,1
vertex-ai-060-00087,2026-03-28,project-02,cloud-run,asia-south1,prod,backend,quality,56.247,6.031,0.462,117.898,67.122,0
vertex-ai-060-00088,2026-03-29,project-10,gke,us-central1,dev,backend,cost,47.809,10.013,0.465,75.667,67.407,1
vertex-ai-060-00089,2026-03-30,project-03,pubsub,us-east1,prod,security,reliability,87.703,5.464,0.378,120.568,74.258,1
vertex-ai-060-00090,2026-03-31,project-22,compute,europe-west1,prod,mlops,reliability,59.963,10.651,0.783,245.323,100,1
vertex-ai-060-00091,2026-04-01,project-20,gke,global,sandbox,platform,reliability,30.302,17.507,0.557,87.471,83.707,1
vertex-ai-060-00092,2026-04-02,project-08,vertex-ai,us-east1,sandbox,finops,cost,9.931,10.782,0.438,77.976,55.335,0
vertex-ai-060-00093,2026-04-03,project-23,cloud-run,asia-south1,prod,finops,cost,62.899,10.983,0.626,141.355,90.166,1
vertex-ai-060-00094,2026-04-04,project-11,gke,europe-west1,prod,platform,reliability,66.796,5.782,0.593,203.224,87.262,1
vertex-ai-060-00095,2026-04-05,project-06,vertex-ai,asia-south1,prod,mlops,latency,34.413,21.209,0.524,265.608,100,1
vertex-ai-060-00096,2026-04-06,project-17,cloud-sql,asia-south1,sandbox,security,quality,36.991,7.558,0.725,121.902,73.735,1
vertex-ai-060-00097,2026-04-07,project-16,compute,us-central1,prod,mlops,quality,42.868,27.578,0.288,154.808,100,1
vertex-ai-060-00098,2026-04-08,project-11,bigquery,europe-west1,staging,platform,cost,40.826,7.73,0.614,82.919,65.908,1
vertex-ai-060-00099,2026-04-09,project-02,vertex-ai,global,sandbox,data,cost,39.082,5.46,0.383,89.429,52.865,0
vertex-ai-060-00100,2026-04-10,project-07,gke,us-central1,dev,security,quality,21.061,8.691,0.789,189.867,82.954,1
vertex-ai-060-00101,2026-04-11,project-12,bigquery,us-east1,prod,security,security,48.578,5.128,0.416,122.978,61.462,0
vertex-ai-060-00102,2026-04-12,project-11,cloud-run,europe-west1,staging,backend,quality,61.877,9.145,0.362,82.858,67.749,1
vertex-ai-060-00103,2026-04-13,project-21,bigquery,asia-south1,prod,backend,latency,59.275,12.98,0.745,91.174,90.404,1
vertex-ai-060-00104,2026-04-14,project-24,gke,global,prod,platform,latency,108.517,23.467,0.512,49.361,100,1
vertex-ai-060-00105,2026-04-15,project-18,pubsub,us-central1,prod,finops,quality,40.699,14.437,0.663,148.008,92.72,1
vertex-ai-060-00106,2026-04-16,project-19,vertex-ai,global,prod,finops,quality,80.07,6.432,0.733,147.182,90.152,1
vertex-ai-060-00107,2026-04-17,project-11,cloud-run,asia-south1,prod,mlops,reliability,60.497,3.146,0.496,90.223,59.032,0
vertex-ai-060-00108,2026-04-18,project-03,cloud-run,us-central1,prod,mlops,reliability,78.628,19.723,1.028,196.438,100,1
vertex-ai-060-00109,2026-04-19,project-10,compute,us-east1,dev,data,cost,67.069,4.366,0.3,117.079,61.236,0
vertex-ai-060-00110,2026-04-20,project-04,cloud-run,europe-west1,prod,security,latency,73.448,10.974,0.266,138.938,80.885,1
vertex-ai-060-00111,2026-04-21,project-08,pubsub,us-central1,staging,platform,reliability,67.775,7.029,1.067,55.542,85.567,1
vertex-ai-060-00112,2026-04-22,project-13,cloud-sql,asia-south1,prod,security,security,71.731,6.067,0.49,138.6,76.625,1
vertex-ai-060-00113,2026-04-23,project-10,bigquery,global,prod,platform,latency,84.712,5.093,0.651,7.489,65.41,1
vertex-ai-060-00114,2026-04-24,project-20,compute,us-central1,dev,platform,latency,29.528,2.736,0.507,121.171,52.135,0
vertex-ai-060-00115,2026-04-25,project-04,pubsub,us-central1,staging,data,latency,47.25,8.067,0.63,50.133,64.722,1
vertex-ai-060-00116,2026-04-26,project-13,cloud-sql,us-east1,sandbox,finops,latency,50.073,20.72,0.303,96.031,90.482,1
vertex-ai-060-00117,2026-04-27,project-12,bigquery,us-central1,prod,finops,quality,59.767,8.965,0.568,35.982,66.964,1
vertex-ai-060-00118,2026-04-28,project-20,cloud-sql,asia-south1,sandbox,backend,reliability,65.386,12.976,0.436,149.034,90.157,1
vertex-ai-060-00119,2026-04-29,project-12,pubsub,europe-west1,prod,data,reliability,68.647,6.83,0.331,154.891,74.136,1
vertex-ai-060-00120,2026-04-30,project-15,compute,us-east1,staging,mlops,latency,37.773,6.26,0.677,146.125,72.832,1
vertex-ai-060-00121,2026-05-01,project-02,vertex-ai,us-east1,prod,mlops,latency,70.486,8.594,0.395,102.532,73.5,0
vertex-ai-060-00122,2026-05-02,project-12,vertex-ai,asia-south1,prod,mlops,security,59.963,10.897,0.526,91.923,78.229,1
vertex-ai-060-00123,2026-05-03,project-06,bigquery,global,dev,backend,latency,42.716,11.792,0.905,144.17,95.165,1
vertex-ai-060-00124,2026-05-04,project-18,cloud-sql,us-east1,sandbox,platform,quality,57.692,18.512,0.526,136.376,100,1
vertex-ai-060-00125,2026-05-05,project-13,cloud-run,global,dev,backend,security,49.127,10.708,0.489,53.372,67.078,1
vertex-ai-060-00126,2026-05-06,project-15,bigquery,asia-south1,prod,data,security,44.362,4.166,0.598,83.013,58.283,0
