record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,budget_breach
finops-budget-059-00001,2026-01-01,project-21,cloud-run,us-central1,prod,data,latency,63.633,17.974,0.319,161.317,98.901,1
finops-budget-059-00002,2026-01-02,project-20,gke,us-east1,staging,platform,security,10.417,6.164,0.437,121.465,51.037,0
finops-budget-059-00003,2026-01-03,project-11,gke,europe-west1,staging,finops,latency,32.31,6.433,0.653,84.954,61.563,0
finops-budget-059-00004,2026-01-04,project-14,gke,europe-west1,prod,finops,security,62.641,9.492,0.601,39.174,70.82,0
finops-budget-059-00005,2026-01-05,project-13,gke,us-east1,prod,platform,security,73.353,11.165,0.186,173.635,83.557,1
finops-budget-059-00006,2026-01-06,project-11,gke,asia-south1,prod,finops,latency,100.53,11.076,0.461,166.351,100,1
finops-budget-059-00007,2026-01-07,project-16,compute,us-east1,dev,platform,latency,75.15,7.006,0.663,125.27,84.123,1
finops-budget-059-00008,2026-01-08,project-16,pubsub,global,sandbox,data,security,40.56,21.797,0.546,155.971,100,1
finops-budget-059-00009,2026-01-09,project-17,vertex-ai,us-central1,prod,mlops,reliability,84.905,8.92,0.441,106.053,81.431,1
finops-budget-059-00010,2026-01-10,project-10,cloud-sql,asia-south1,dev,mlops,quality,18.549,6.49,0.877,139.82,72.721,1
finops-budget-059-00011,2026-01-11,project-05,bigquery,us-east1,staging,security,cost,49.177,10.191,0.293,45.43,57.871,0
finops-budget-059-00012,2026-01-12,project-10,gke,global,prod,mlops,cost,109.2,5.125,0.326,75.502,72.599,0
finops-budget-059-00013,2026-01-13,project-22,vertex-ai,global,prod,finops,cost,63.417,5.441,0.624,113.436,73.274,1
finops-budget-059-00014,2026-01-14,project-01,cloud-run,asia-south1,prod,mlops,quality,66.194,7.06,0.619,159.576,84.578,1
finops-budget-059-00015,2026-01-15,project-04,bigquery,europe-west1,prod,security,reliability,78.913,8.252,0.661,109.18,85.931,1
finops-budget-059-00016,2026-01-16,project-05,cloud-sql,us-east1,dev,finops,security,18.518,11.56,0.3,166.368,68.217,0
finops-budget-059-00017,2026-01-17,project-03,gke,global,sandbox,mlops,cost,53.228,5.26,0.49,142.403,68.82,1
finops-budget-059-00018,2026-01-18,project-14,gke,europe-west1,prod,backend,reliability,76.142,4.749,0.669,121.417,78.852,1
finops-budget-059-00019,2026-01-19,project-21,cloud-sql,us-central1,staging,finops,quality,32.027,13.909,0.714,173.828,94.004,1
finops-budget-059-00020,2026-01-20,project-08,bigquery,us-east1,prod,mlops,security,45.473,22.452,0.575,131.21,100,1
finops-budget-059-00021,2026-01-21,project-07,compute,global,dev,data,cost,62.775,7.678,0.679,79.329,75.22,1
finops-budget-059-00022,2026-01-22,project-09,gke,us-central1,staging,platform,latency,35.378,19.452,0.353,162.578,93.835,1
finops-budget-059-00023,2026-01-23,project-21,vertex-ai,asia-south1,prod,mlops,cost,58.414,11.649,0.242,121.63,73.834,1
finops-budget-059-00024,2026-01-24,project-10,cloud-run,global,prod,platform,quality,54.329,13.353,0.477,167.867,91.348,1
finops-budget-059-00025,2026-01-25,project-14,cloud-run,us-central1,dev,finops,latency,70.454,11.685,0.5,40.975,75.399,1
finops-budget-059-00026,2026-01-26,project-09,vertex-ai,asia-south1,sandbox,data,reliability,37.829,13.946,0.627,101.209,82.485,1
finops-budget-059-00027,2026-01-27,project-20,bigquery,global,dev,security,latency,43.132,12.12,0.351,170.798,80.569,1
finops-budget-059-00028,2026-01-28,project-16,vertex-ai,europe-west1,prod,security,quality,64.303,12.637,0.604,238.711,100,1
finops-budget-059-00029,2026-01-29,project-18,compute,us-central1,staging,security,latency,43.048,6.425,0.205,160.174,60.592,0
finops-budget-059-00030,2026-01-30,project-12,cloud-sql,europe-west1,staging,finops,quality,28.007,18.484,0.71,121.233,95.462,1
finops-budget-059-00031,2026-01-31,project-03,cloud-run,us-central1,prod,mlops,reliability,46.015,7.337,0.373,65.394,55.817,0
finops-budget-059-00032,2026-02-01,project-09,gke,us-east1,staging,platform,reliability,19.18,13.254,0.269,146.06,68.354,0
finops-budget-059-00033,2026-02-02,project-18,cloud-sql,us-central1,prod,finops,security,65.941,8.502,0.426,131.785,77.046,1
finops-budget-059-00034,2026-02-03,project-13,pubsub,us-east1,prod,finops,cost,58.398,6.024,0.627,176.483,82.177,1
finops-budget-059-00035,2026-02-04,project-17,gke,us-central1,dev,data,security,31.766,8.464,0.905,101.376,77.326,0
finops-budget-059-00036,2026-02-05,project-22,compute,asia-south1,dev,mlops,security,13.132,12.535,0.476,143.82,71.478,1
finops-budget-059-00037,2026-02-06,project-17,cloud-run,asia-south1,dev,security,quality,62.821,7.437,0.293,173.607,74.913,1
finops-budget-059-00038,2026-02-07,project-17,bigquery,global,sandbox,backend,cost,63.646,7.9,0.35,282.912,94.217,1
finops-budget-059-00039,2026-02-08,project-13,pubsub,global,prod,backend,latency,56.626,5.616,0.45,90.218,61.83,0
finops-budget-059-00040,2026-02-09,project-01,cloud-run,us-central1,dev,security,cost,47.145,12.556,0.538,132.31,83.923,1
finops-budget-059-00041,2026-02-10,project-11,bigquery,global,staging,finops,cost,32.238,8.306,0.641,114.533,69.802,0
finops-budget-059-00042,2026-02-11,project-17,vertex-ai,europe-west1,sandbox,data,quality,58.383,13.11,0.464,128.165,85.955,1
finops-budget-059-00043,2026-02-12,project-02,compute,us-central1,prod,data,quality,75.25,18.356,0.623,97.561,100,1
finops-budget-059-00044,2026-02-13,project-10,cloud-run,us-east1,prod,platform,latency,42.977,3.849,0.523,103.48,57.419,0
finops-budget-059-00045,2026-02-14,project-12,vertex-ai,us-central1,dev,backend,reliability,29.242,7.58,0.31,54.564,46.729,0
