record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,budget_breach
finops-budget-009-00001,2026-01-01,project-09,pubsub,asia-south1,prod,security,reliability,47.232,5.633,0.459,123.999,63.823,0
finops-budget-009-00002,2026-01-02,project-02,vertex-ai,europe-west1,prod,mlops,security,29.035,25.862,0.29,133.793,100,1
finops-budget-009-00003,2026-01-03,project-21,gke,europe-west1,prod,backend,cost,45.26,12.353,0.559,182.718,90.876,1
finops-budget-009-00004,2026-01-04,project-24,bigquery,europe-west1,sandbox,finops,latency,46.687,8.664,0.516,168.79,79.232,1
finops-budget-009-00005,2026-01-05,project-14,bigquery,us-central1,staging,backend,cost,24.889,12.236,0.433,149.304,74.19,0
finops-budget-009-00006,2026-01-06,project-03,bigquery,europe-west1,prod,security,latency,73.281,5.363,0.466,106.733,70.037,1
finops-budget-009-00007,2026-01-07,project-19,cloud-sql,global,prod,data,cost,93.049,5.479,0.31,114.922,72.961,1
finops-budget-009-00008,2026-01-08,project-17,bigquery,us-east1,prod,security,latency,68.197,8.904,0.571,111.608,80.906,1
finops-budget-009-00009,2026-01-09,project-06,vertex-ai,us-central1,staging,backend,quality,60.319,24.359,0.549,80.124,100,1
finops-budget-009-00010,2026-01-10,project-20,bigquery,europe-west1,prod,finops,reliability,53.357,12.101,0.747,68.261,83.01,1
finops-budget-009-00011,2026-01-11,project-14,gke,us-central1,staging,data,security,32.716,8.699,0.664,217.396,86.692,1
finops-budget-009-00012,2026-01-12,project-23,bigquery,us-east1,sandbox,backend,security,33.956,6.375,0.966,132.197,79.848,1
finops-budget-009-00013,2026-01-13,project-22,cloud-run,asia-south1,dev,platform,reliability,52.978,14.603,0.664,135.521,95.619,1
finops-budget-009-00014,2026-01-14,project-03,compute,us-east1,sandbox,data,security,21.928,9.135,0.502,195.351,75.048,0
finops-budget-009-00015,2026-01-15,project-10,cloud-sql,us-central1,prod,finops,cost,57.728,5.365,0.856,143.688,83.638,1
finops-budget-009-00016,2026-01-16,project-15,gke,global,prod,backend,quality,95.273,8.577,0.465,216.893,100,1
