record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,budget_breach
finops-budget-029-00001,2026-01-01,project-18,cloud-run,us-east1,prod,platform,quality,39.714,7.183,0.571,109.148,66.563,0
finops-budget-029-00002,2026-01-02,project-03,pubsub,europe-west1,prod,mlops,quality,78.239,6.118,0.796,91.561,82.872,1
finops-budget-029-00003,2026-01-03,project-08,compute,us-central1,staging,backend,cost,59.446,9.529,0.453,160.123,82.247,1
finops-budget-029-00004,2026-01-04,project-17,pubsub,europe-west1,prod,security,security,75.097,8.243,0.022,37.305,51.728,0
finops-budget-029-00005,2026-01-05,project-04,pubsub,us-central1,sandbox,mlops,latency,30.776,9.509,0.592,212.722,84.701,1
finops-budget-029-00006,2026-01-06,project-08,vertex-ai,europe-west1,dev,finops,cost,20.81,9.797,0.556,141.156,70.188,1
finops-budget-029-00007,2026-01-07,project-11,compute,us-central1,dev,backend,reliability,56.558,5.523,0.531,95.297,65.165,0
finops-budget-029-00008,2026-01-08,project-12,cloud-run,asia-south1,staging,backend,quality,42.412,6.029,0.668,121.114,69.954,0
finops-budget-029-00009,2026-01-09,project-19,cloud-run,us-central1,dev,data,latency,45.967,4.392,0.525,102.252,59.623,1
finops-budget-029-00010,2026-01-10,project-10,vertex-ai,global,prod,security,security,41.508,7.986,0.628,84.849,67.516,1
finops-budget-029-00011,2026-01-11,project-22,compute,us-central1,sandbox,security,cost,42.527,9.217,0.471,227.361,86.033,1
finops-budget-029-00012,2026-01-12,project-24,gke,europe-west1,staging,security,latency,49.202,15.125,0.382,156.773,88.745,1
finops-budget-029-00013,2026-01-13,project-18,pubsub,us-central1,staging,platform,reliability,18.123,6.025,0.268,117.868,46.97,0
finops-budget-029-00014,2026-01-14,project-22,bigquery,global,sandbox,finops,reliability,30.931,9.65,0.566,110.613,69.284,1
finops-budget-029-00015,2026-01-15,project-01,cloud-sql,global,dev,platform,security,20.506,13.236,0.888,209.287,99.662,1
finops-budget-029-00016,2026-01-16,project-20,cloud-run,europe-west1,prod,backend,latency,44.917,7.277,0.568,134.035,72.127,1
