record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,quality_issue
data-quality-098-00001,2026-01-01,project-18,cloud-run,europe-west1,prod,security,cost,63.58,3.499,0.423,165.874,69.412,1
data-quality-098-00002,2026-01-02,project-13,vertex-ai,asia-south1,staging,backend,quality,67.139,13.646,0.864,131.716,100,1
data-quality-098-00003,2026-01-03,project-10,vertex-ai,us-east1,staging,security,quality,56.955,11.944,0.531,87.38,79.132,1
data-quality-098-00004,2026-01-04,project-01,compute,us-central1,prod,security,security,30.298,8.364,0.315,59.188,49.777,0
data-quality-098-00005,2026-01-05,project-08,cloud-run,europe-west1,dev,mlops,cost,16.853,6.524,0.838,103.732,65.579,0
data-quality-098-00006,2026-01-06,project-16,cloud-run,us-east1,dev,data,cost,8.497,3.578,0.269,148.971,42.463,0
data-quality-098-00007,2026-01-07,project-20,pubsub,us-central1,prod,platform,reliability,63.535,5.133,0.791,202.645,91.452,1
data-quality-098-00008,2026-01-08,project-19,pubsub,us-east1,sandbox,platform,reliability,15.915,7.992,0.573,231.466,78.029,1
data-quality-098-00009,2026-01-09,project-20,cloud-sql,europe-west1,sandbox,finops,quality,40.179,18.72,0.389,66.969,81.124,1
data-quality-098-00010,2026-01-10,project-08,compute,global,staging,platform,reliability,34.834,6.935,0.481,71.514,55.638,0
data-quality-098-00011,2026-01-11,project-01,vertex-ai,us-east1,prod,backend,reliability,68.574,5.901,0.875,106.444,83.918,1
data-quality-098-00012,2026-01-12,project-13,cloud-run,europe-west1,dev,data,cost,51.049,9.621,0.443,0.0,55.821,0
data-quality-098-00013,2026-01-13,project-16,gke,global,prod,platform,reliability,36.935,7.664,0.368,122.547,61.561,1
data-quality-098-00014,2026-01-14,project-06,bigquery,europe-west1,prod,data,cost,63.335,23.451,0.501,127.928,100,1
data-quality-098-00015,2026-01-15,project-24,vertex-ai,us-east1,staging,mlops,cost,4.618,11.61,0.475,182.353,71.924,0
data-quality-098-00016,2026-01-16,project-01,gke,asia-south1,sandbox,platform,security,35.742,4.019,0.669,208.89,75.765,0
data-quality-098-00017,2026-01-17,project-21,pubsub,us-east1,sandbox,backend,latency,79.349,15.229,0.532,121.169,99.597,1
data-quality-098-00018,2026-01-18,project-08,cloud-run,global,dev,security,security,50.865,11.423,0.47,138.076,81.042,1
data-quality-098-00019,2026-01-19,project-14,pubsub,us-central1,prod,data,latency,82.903,17.214,0.337,96.804,95.094,1
data-quality-098-00020,2026-01-20,project-08,gke,us-east1,dev,security,quality,36.172,11.937,0.679,93.606,77.929,1
data-quality-098-00021,2026-01-21,project-07,compute,global,prod,backend,reliability,63.058,8.767,0.571,102.295,77.43,1
data-quality-098-00022,2026-01-22,project-03,compute,global,staging,backend,cost,55.87,6.236,0.556,95.468,67.488,0
data-quality-098-00023,2026-01-23,project-02,cloud-sql,us-east1,prod,security,latency,33.487,6.087,0.763,74.445,63.485,1
data-quality-098-00024,2026-01-24,project-10,pubsub,us-central1,dev,finops,cost,4.934,13.859,0.827,187.935,90.417,1
data-quality-098-00025,2026-01-25,project-14,pubsub,asia-south1,dev,mlops,cost,48.497,24.435,0.893,178.441,100,1
data-quality-098-00026,2026-01-26,project-20,bigquery,us-central1,prod,mlops,security,62.561,7.382,0.748,140.98,85.861,1
data-quality-098-00027,2026-01-27,project-14,pubsub,europe-west1,prod,platform,cost,50.591,11.746,0.398,120.624,76.635,1
data-quality-098-00028,2026-01-28,project-04,pubsub,global,prod,data,quality,85.111,18.021,0.616,75.248,100,1
data-quality-098-00029,2026-01-29,project-16,pubsub,europe-west1,prod,mlops,quality,47.934,6.668,0.828,0.0,61.316,0
data-quality-098-00030,2026-01-30,project-07,vertex-ai,europe-west1,prod,security,latency,35.111,7.082,0.554,148.285,69.828,1
data-quality-098-00031,2026-01-31,project-09,bigquery,us-east1,prod,finops,cost,68.687,8.752,0.766,68.585,81.274,1
data-quality-098-00032,2026-02-01,project-24,compute,us-central1,dev,platform,security,47.635,7.261,0.372,2.883,47.055,0
data-quality-098-00033,2026-02-02,project-22,vertex-ai,us-central1,prod,finops,reliability,83.085,5.911,0.32,65.226,63.584,0
data-quality-098-00034,2026-02-03,project-01,compute,us-central1,dev,finops,reliability,40.834,6.762,0.651,197.461,81.651,1
data-quality-098-00035,2026-02-04,project-03,gke,us-east1,dev,data,latency,42.814,5.447,0.128,110.424,48.278,0
data-quality-098-00036,2026-02-05,project-19,vertex-ai,global,prod,platform,quality,97.408,5.856,0.774,96.295,88.89,1
data-quality-098-00037,2026-02-06,project-13,cloud-run,europe-west1,sandbox,finops,cost,69.494,5.625,0.851,242.828,100,1
data-quality-098-00038,2026-02-07,project-03,pubsub,us-central1,prod,finops,security,57.444,16.148,0.352,116.356,87.073,1
data-quality-098-00039,2026-02-08,project-16,bigquery,us-central1,staging,security,quality,40.948,11.619,0.519,137.644,79.681,1
data-quality-098-00040,2026-02-09,project-06,vertex-ai,us-east1,prod,data,cost,45.652,7.204,0.681,121.164,74.292,0
data-quality-098-00041,2026-02-10,project-13,bigquery,us-east1,sandbox,finops,cost,31.421,10.212,0.458,216.7,82.457,1
data-quality-098-00042,2026-02-11,project-19,cloud-run,asia-south1,prod,platform,latency,66.78,14.957,0.624,196.784,100,1
data-quality-098-00043,2026-02-12,project-05,gke,us-central1,prod,platform,security,84.098,9.036,0.406,71.254,75.12,1
data-quality-098-00044,2026-02-13,project-06,vertex-ai,asia-south1,prod,mlops,latency,45.933,11.367,0.692,60.439,75.634,1
data-quality-098-00045,2026-02-14,project-04,pubsub,us-central1,prod,data,quality,99.519,5.956,0.455,56.881,72.949,1
data-quality-098-00046,2026-02-15,project-16,cloud-sql,europe-west1,dev,security,quality,60.818,9.654,0.666,224.445,99.854,1
data-quality-098-00047,2026-02-16,project-11,bigquery,global,sandbox,finops,cost,47.745,17.995,0.504,111.527,92.603,1
data-quality-098-00048,2026-02-17,project-11,pubsub,global,prod,backend,latency,58.792,10.063,0.466,104.764,75.646,1
data-quality-098-00049,2026-02-18,project-17,compute,asia-south1,staging,security,reliability,21.909,15.804,0.891,69.4,85.85,1
data-quality-098-00050,2026-02-19,project-09,pubsub,us-central1,prod,data,cost,86.242,18.643,0.58,139.019,100,1
data-quality-098-00051,2026-02-20,project-08,bigquery,europe-west1,staging,data,quality,51.565,15.082,0.397,145.029,88.284,1
data-quality-098-00052,2026-02-21,project-22,bigquery,us-east1,prod,platform,reliability,68.608,10.82,0.562,77.33,80.207,1
data-quality-098-00053,2026-02-22,project-08,cloud-sql,us-central1,staging,finops,security,51.362,15.482,0.704,79.271,90.302,1
data-quality-098-00054,2026-02-23,project-18,cloud-run,global,sandbox,security,reliability,51.418,12.011,0.628,98.286,82.335,1
data-quality-098-00055,2026-02-24,project-03,cloud-sql,europe-west1,prod,platform,reliability,76.92,11.406,0.442,173.997,94.381,1
data-quality-098-00056,2026-02-25,project-18,pubsub,asia-south1,prod,platform,cost,77.507,6.252,0.62,157.464,86.379,1
data-quality-098-00057,2026-02-26,project-06,cloud-sql,us-east1,prod,data,latency,71.78,7.752,0.569,149.135,84.875,1
data-quality-098-00058,2026-02-27,project-16,vertex-ai,global,dev,platform,security,48.611,13.675,0.569,122.692,86.73,1
data-quality-098-00059,2026-02-28,project-23,cloud-run,europe-west1,dev,data,latency,22.236,6.464,0.545,13.205,43.866,0
data-quality-098-00060,2026-03-01,project-17,cloud-sql,asia-south1,prod,backend,reliability,53.804,6.548,0.58,95.828,68.385,1
data-quality-098-00061,2026-03-02,project-02,cloud-run,global,sandbox,backend,latency,40.123,9.934,0.33,85.811,61.286,1
data-quality-098-00062,2026-03-03,project-01,pubsub,global,prod,finops,latency,53.121,8.303,0.541,105.077,72.225,1
