record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,pipeline_failed
devops-ci-096-00001,2026-01-01,project-17,vertex-ai,us-central1,staging,data,cost,41.948,11.076,0.704,137.896,85.276,1
devops-ci-096-00002,2026-01-02,project-04,compute,asia-south1,sandbox,backend,security,55.103,5.034,0.375,97.221,58.335,1
devops-ci-096-00003,2026-01-03,project-04,vertex-ai,us-central1,staging,data,latency,80.411,14.815,0.65,69.497,95.597,1
devops-ci-096-00004,2026-01-04,project-03,vertex-ai,us-central1,prod,finops,quality,46.845,6.715,0.568,156.689,74.795,1
devops-ci-096-00005,2026-01-05,project-01,bigquery,us-east1,sandbox,data,cost,25.206,7.756,0.483,137.809,63.922,1
devops-ci-096-00006,2026-01-06,project-24,compute,us-central1,sandbox,data,latency,49.976,7.935,0.482,86.012,65.42,0
devops-ci-096-00007,2026-01-07,project-20,cloud-sql,global,staging,backend,security,38.547,6.934,0.384,105.657,58.519,1
devops-ci-096-00008,2026-01-08,project-16,compute,us-central1,prod,data,latency,74.878,9.797,0.445,144.653,85.737,1
devops-ci-096-00009,2026-01-09,project-04,pubsub,asia-south1,dev,security,cost,28.242,5.286,0.591,220.911,75.12,1
devops-ci-096-00010,2026-01-10,project-21,cloud-sql,global,prod,backend,reliability,65.447,8.295,0.682,81.443,78.009,1
devops-ci-096-00011,2026-01-11,project-08,compute,europe-west1,staging,platform,latency,20.848,8.768,0.544,259.441,84.631,1
devops-ci-096-00012,2026-01-12,project-06,compute,global,prod,security,cost,92.322,8.34,0.661,41.245,80.923,1
devops-ci-096-00013,2026-01-13,project-04,cloud-run,us-central1,dev,data,security,67.223,5.252,0.848,139.791,85.849,1
devops-ci-096-00014,2026-01-14,project-09,bigquery,us-central1,prod,finops,security,51.465,8.347,0.738,127.906,81.972,1
devops-ci-096-00015,2026-01-15,project-09,pubsub,global,staging,backend,quality,23.888,12.094,0.216,0.0,44.14,0
devops-ci-096-00016,2026-01-16,project-08,cloud-sql,us-central1,prod,platform,reliability,81.489,5.63,0.339,82.446,65.546,0
devops-ci-096-00017,2026-01-17,project-07,cloud-sql,global,prod,mlops,cost,41.098,7.33,0.589,199.806,81.241,1
devops-ci-096-00018,2026-01-18,project-20,vertex-ai,europe-west1,prod,backend,quality,82.838,9.52,0.37,52.702,71.842,1
devops-ci-096-00019,2026-01-19,project-17,pubsub,asia-south1,staging,backend,quality,13.525,20.116,0.816,203.136,100,1
devops-ci-096-00020,2026-01-20,project-13,cloud-run,us-east1,prod,platform,reliability,60.537,8.168,0.646,81.444,74.734,0
devops-ci-096-00021,2026-01-21,project-24,compute,asia-south1,prod,data,quality,81.016,6.793,0.887,113.825,91.85,1
devops-ci-096-00022,2026-01-22,project-21,compute,asia-south1,prod,platform,latency,50.576,6.633,0.509,78.979,62.511,1
devops-ci-096-00023,2026-01-23,project-17,cloud-sql,europe-west1,staging,mlops,quality,69.027,5.386,0.694,132.724,80.372,1
devops-ci-096-00024,2026-01-24,project-21,bigquery,us-east1,prod,platform,latency,49.438,11.429,0.381,235.394,91.634,1
devops-ci-096-00025,2026-01-25,project-12,compute,europe-west1,sandbox,mlops,security,85.946,17.995,0.537,210.561,100,1
devops-ci-096-00026,2026-01-26,project-10,vertex-ai,global,prod,platform,cost,38.657,6.826,0.756,80.053,67.592,0
devops-ci-096-00027,2026-01-27,project-23,vertex-ai,us-east1,sandbox,backend,quality,51.625,10.308,0.676,95.161,79.658,1
devops-ci-096-00028,2026-01-28,project-08,bigquery,europe-west1,prod,security,cost,42.072,8.261,0.286,201.737,73.431,0
devops-ci-096-00029,2026-01-29,project-03,gke,global,prod,platform,latency,60.837,4.321,0.723,145.672,77.924,1
devops-ci-096-00030,2026-01-30,project-17,compute,us-east1,staging,platform,security,44.888,8.861,0.509,164.713,78.222,1
devops-ci-096-00031,2026-01-31,project-05,gke,us-east1,staging,mlops,reliability,54.626,6.514,0.434,65.277,59.028,1
devops-ci-096-00032,2026-02-01,project-23,cloud-run,us-east1,prod,platform,quality,69.268,10.438,0.78,252.528,100,1
devops-ci-096-00033,2026-02-02,project-20,compute,europe-west1,dev,backend,cost,69.12,8.699,0.535,174.235,88.624,1
devops-ci-096-00034,2026-02-03,project-03,compute,asia-south1,sandbox,finops,latency,69.357,5.922,0.619,103.624,74.87,1
devops-ci-096-00035,2026-02-04,project-11,cloud-run,global,staging,finops,reliability,64.357,8.201,0.427,137.435,76.648,1
devops-ci-096-00036,2026-02-05,project-07,cloud-run,europe-west1,sandbox,backend,security,43.358,9.711,0.474,54.472,62.368,0
devops-ci-096-00037,2026-02-06,project-18,pubsub,global,staging,mlops,reliability,69.252,8.969,0.573,108.53,81.048,1
devops-ci-096-00038,2026-02-07,project-03,vertex-ai,us-east1,prod,finops,cost,92.602,5.022,0.519,78.493,73.741,1
devops-ci-096-00039,2026-02-08,project-06,gke,europe-west1,staging,finops,cost,46.144,14.676,0.429,109.844,81.428,1
devops-ci-096-00040,2026-02-09,project-04,bigquery,asia-south1,sandbox,backend,quality,43.967,5.721,1.018,159.205,87.585,1
devops-ci-096-00041,2026-02-10,project-04,pubsub,us-east1,dev,platform,reliability,36.479,4.621,0.517,124.472,59.797,0
devops-ci-096-00042,2026-02-11,project-04,pubsub,europe-west1,prod,security,reliability,64.131,13.7,0.499,144.124,92.896,1
devops-ci-096-00043,2026-02-12,project-09,compute,us-central1,prod,data,reliability,87.289,14.853,0.354,110.113,93.656,1
devops-ci-096-00044,2026-02-13,project-16,pubsub,europe-west1,staging,finops,security,21.432,7.566,0.802,36.694,58.576,0
devops-ci-096-00045,2026-02-14,project-02,cloud-run,asia-south1,staging,platform,latency,32.113,6.948,0.42,114.926,58.912,0
devops-ci-096-00046,2026-02-15,project-12,bigquery,europe-west1,prod,backend,latency,83.905,11.066,0.373,147.345,89.73,1
devops-ci-096-00047,2026-02-16,project-11,cloud-sql,us-east1,sandbox,backend,cost,47.259,11.201,0.512,104.25,75.799,1
devops-ci-096-00048,2026-02-17,project-08,cloud-sql,us-east1,prod,finops,latency,69.486,4.012,0.331,177.638,71.172,1
devops-ci-096-00049,2026-02-18,project-12,pubsub,asia-south1,prod,finops,quality,75.48,9.69,0.155,165.649,78.61,1
devops-ci-096-00050,2026-02-19,project-16,compute,europe-west1,dev,data,cost,50.21,14.68,0.537,202.361,100,1
devops-ci-096-00051,2026-02-20,project-13,cloud-sql,us-central1,sandbox,backend,latency,70.42,8.973,0.304,137.147,76.225,1
devops-ci-096-00052,2026-02-21,project-19,compute,us-east1,prod,data,security,85.626,11.369,0.519,155.86,97.391,1
devops-ci-096-00053,2026-02-22,project-19,cloud-run,us-east1,prod,backend,cost,86.966,7.791,0.672,125.142,90.387,1
devops-ci-096-00054,2026-02-23,project-24,bigquery,us-east1,prod,finops,quality,61.984,3.626,0.532,159.706,72.066,1
devops-ci-096-00055,2026-02-24,project-18,bigquery,us-central1,prod,security,reliability,70.575,14.164,0.185,141.673,84.886,1
devops-ci-096-00056,2026-02-25,project-12,compute,europe-west1,prod,security,reliability,63.871,8.943,0.558,122.172,80.569,1
devops-ci-096-00057,2026-02-26,project-16,cloud-run,asia-south1,dev,data,reliability,39.021,10.121,0.681,10.143,62.587,1
devops-ci-096-00058,2026-02-27,project-07,gke,europe-west1,prod,mlops,latency,59.055,8.776,0.578,82.275,73.375,1
devops-ci-096-00059,2026-02-28,project-23,cloud-sql,asia-south1,sandbox,platform,cost,32.068,8.163,0.383,151.535,65.775,1
devops-ci-096-00060,2026-03-01,project-14,cloud-run,global,dev,backend,reliability,17.637,7.104,1.018,130.351,77.388,1
devops-ci-096-00061,2026-03-02,project-12,bigquery,us-central1,staging,platform,quality,21.857,9.819,0.697,114.04,71.587,0
devops-ci-096-00062,2026-03-03,project-03,cloud-run,global,prod,platform,security,58.199,16.528,0.408,162.258,96.878,1
devops-ci-096-00063,2026-03-04,project-08,compute,global,staging,platform,security,57.933,8.721,0.154,100.951,60.738,0
devops-ci-096-00064,2026-03-05,project-03,cloud-sql,us-central1,prod,security,reliability,65.301,6.522,0.737,239.263,98.761,1
devops-ci-096-00065,2026-03-06,project-13,vertex-ai,us-east1,staging,backend,reliability,27.988,5.147,0.75,186.155,75.203,1
devops-ci-096-00066,2026-03-07,project-21,compute,global,staging,data,reliability,19.969,6.031,0.642,141.101,64.109,0
devops-ci-096-00067,2026-03-08,project-20,pubsub,asia-south1,dev,mlops,latency,74.236,19.956,0.543,114.347,100,1
devops-ci-096-00068,2026-03-09,project-08,vertex-ai,us-central1,prod,security,cost,65.734,6.084,0.653,139.951,80.467,1
devops-ci-096-00069,2026-03-10,project-10,cloud-run,asia-south1,sandbox,data,cost,68.99,15.923,0.745,140.414,100,1
devops-ci-096-00070,2026-03-11,project-05,gke,europe-west1,sandbox,security,cost,51.592,8.339,0.54,131.179,75.545,1
devops-ci-096-00071,2026-03-12,project-10,cloud-run,us-east1,prod,platform,reliability,97.203,11.91,0.466,155.358,100,1
devops-ci-096-00072,2026-03-13,project-08,vertex-ai,global,sandbox,data,quality,28.816,4.764,0.399,170.92,60.092,0
