record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,incident_escalated
gke-sre-082-00001,2026-01-01,project-07,cloud-sql,us-central1,prod,platform,security,64.653,14.038,0.505,51.704,80.599,1
gke-sre-082-00002,2026-01-02,project-01,pubsub,europe-west1,staging,security,security,61.776,3.287,0.465,88.24,58.435,0
gke-sre-082-00003,2026-01-03,project-08,cloud-run,asia-south1,prod,security,cost,85.825,10.287,0.669,65.805,87.053,1
gke-sre-082-00004,2026-01-04,project-15,pubsub,asia-south1,dev,security,cost,51.892,10.328,0.614,95.756,77.715,1
gke-sre-082-00005,2026-01-05,project-19,gke,asia-south1,sandbox,backend,security,78.149,40.735,0.655,166.468,100,1
gke-sre-082-00006,2026-01-06,project-06,bigquery,europe-west1,prod,security,reliability,55.671,10.204,0.616,0.0,64.854,1
gke-sre-082-00007,2026-01-07,project-06,pubsub,asia-south1,prod,data,latency,67.659,8.192,0.697,43.911,73.594,1
gke-sre-082-00008,2026-01-08,project-16,pubsub,us-east1,prod,platform,security,72.591,11.47,0.772,123.23,97.161,1
gke-sre-082-00009,2026-01-09,project-05,vertex-ai,asia-south1,dev,backend,cost,42.65,6.616,0.386,149.208,65.634,0
gke-sre-082-00010,2026-01-10,project-22,cloud-run,asia-south1,dev,platform,cost,63.469,10.993,0.613,118.361,86.58,1
gke-sre-082-00011,2026-01-11,project-08,compute,us-central1,dev,mlops,security,16.554,22.563,0.294,212.841,99.77,1
gke-sre-082-00012,2026-01-12,project-10,cloud-sql,asia-south1,dev,security,reliability,27.144,4.542,0.426,126.546,53.463,0
gke-sre-082-00013,2026-01-13,project-12,gke,global,prod,data,latency,75.784,6.263,0.628,100.416,77.762,1
gke-sre-082-00014,2026-01-14,project-03,cloud-run,europe-west1,staging,security,reliability,48.374,8.312,0.68,76.169,71.234,1
gke-sre-082-00015,2026-01-15,project-03,cloud-sql,us-central1,prod,data,reliability,82.908,10.663,0.717,124.175,97.102,1
gke-sre-082-00016,2026-01-16,project-05,compute,us-central1,prod,security,cost,43.006,9.266,0.605,24.816,61.467,1
gke-sre-082-00017,2026-01-17,project-01,cloud-sql,asia-south1,staging,data,latency,66.173,4.542,0.547,85.174,65.325,0
gke-sre-082-00018,2026-01-18,project-22,compute,europe-west1,prod,data,security,38.428,6.723,0.754,113.288,72.048,1
gke-sre-082-00019,2026-01-19,project-16,pubsub,us-central1,prod,platform,quality,80.925,9.34,0.225,60.701,66.844,1
gke-sre-082-00020,2026-01-20,project-04,compute,asia-south1,sandbox,backend,quality,58.031,7.702,0.0,161.07,61.772,0
gke-sre-082-00021,2026-01-21,project-10,gke,us-central1,prod,backend,quality,58.579,12.394,0.335,86.771,73.801,1
gke-sre-082-00022,2026-01-22,project-10,compute,us-central1,dev,security,security,56.163,8.129,0.751,187.445,92.245,1
gke-sre-082-00023,2026-01-23,project-09,gke,europe-west1,dev,finops,latency,46.512,6.169,0.236,114.277,55.599,0
gke-sre-082-00024,2026-01-24,project-03,pubsub,us-east1,dev,platform,quality,42.132,7.56,0.407,63.352,55.87,0
