record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,critical_alert
aiops-alerts-094-00001,2026-01-01,project-06,vertex-ai,us-east1,prod,mlops,quality,79.276,7.909,0.69,121.958,88.136,1
aiops-alerts-094-00002,2026-01-02,project-09,pubsub,asia-south1,dev,security,reliability,58.621,9.411,0.544,7.287,62.579,0
aiops-alerts-094-00003,2026-01-03,project-19,compute,europe-west1,staging,backend,quality,25.055,15.204,0.562,69.983,74.121,1
aiops-alerts-094-00004,2026-01-04,project-14,cloud-run,europe-west1,prod,data,reliability,66.999,12.22,0.382,167.577,89.771,1
aiops-alerts-094-00005,2026-01-05,project-03,gke,asia-south1,staging,backend,latency,19.482,23.374,0.352,101.039,88.413,1
aiops-alerts-094-00006,2026-01-06,project-11,cloud-run,asia-south1,prod,data,latency,67.88,4.608,0.418,120.883,66.769,1
aiops-alerts-094-00007,2026-01-07,project-05,cloud-sql,us-east1,prod,data,reliability,57.03,4.44,0.617,115.519,68.762,1
aiops-alerts-094-00008,2026-01-08,project-08,cloud-run,asia-south1,dev,finops,cost,58.081,5.207,0.618,158.789,77.265,0
aiops-alerts-094-00009,2026-01-09,project-22,vertex-ai,europe-west1,dev,security,security,39.77,10.709,0.548,102.282,73.003,0
aiops-alerts-094-00010,2026-01-10,project-07,gke,us-east1,prod,platform,latency,73.573,9.646,0.463,203.927,94.202,1
aiops-alerts-094-00011,2026-01-11,project-03,cloud-sql,asia-south1,staging,backend,reliability,33.782,10.606,0.462,0.0,52.741,0
aiops-alerts-094-00012,2026-01-12,project-12,pubsub,us-central1,sandbox,platform,security,38.101,20.348,0.655,183.996,100,1
aiops-alerts-094-00013,2026-01-13,project-17,gke,asia-south1,dev,security,reliability,34.587,4.103,0.643,95.933,58.174,0
aiops-alerts-094-00014,2026-01-14,project-02,pubsub,global,dev,backend,latency,21.308,5.498,0.755,187.585,74.068,1
aiops-alerts-094-00015,2026-01-15,project-14,compute,europe-west1,sandbox,finops,quality,9.506,5.554,0.616,203.393,67.508,0
aiops-alerts-094-00016,2026-01-16,project-12,cloud-run,asia-south1,dev,mlops,cost,40.988,10.322,0.478,86.96,67.842,0
aiops-alerts-094-00017,2026-01-17,project-22,pubsub,europe-west1,prod,platform,latency,60.682,11.69,0.451,173.024,89.533,1
aiops-alerts-094-00018,2026-01-18,project-19,pubsub,asia-south1,staging,security,latency,68.344,7.767,0.461,54.732,66.16,0
aiops-alerts-094-00019,2026-01-19,project-14,cloud-run,us-central1,prod,mlops,latency,59.516,13.958,0.468,212.459,100,1
aiops-alerts-094-00020,2026-01-20,project-13,cloud-run,asia-south1,prod,mlops,latency,74.886,15.331,0.481,91.68,92.187,1
aiops-alerts-094-00021,2026-01-21,project-08,vertex-ai,europe-west1,prod,finops,security,47.181,6.093,0.561,4.835,51.07,0
aiops-alerts-094-00022,2026-01-22,project-06,compute,us-east1,dev,mlops,latency,44.88,5.9,0.739,117.929,72.538,0
aiops-alerts-094-00023,2026-01-23,project-06,bigquery,us-east1,staging,data,latency,47.943,11.067,0.457,86.339,71.189,1
aiops-alerts-094-00024,2026-01-24,project-14,pubsub,europe-west1,staging,backend,latency,52.353,9.937,0.322,167.419,77.195,1
aiops-alerts-094-00025,2026-01-25,project-02,cloud-run,global,prod,finops,cost,68.286,3.926,0.575,172.584,78.354,1
aiops-alerts-094-00026,2026-01-26,project-09,cloud-run,us-east1,sandbox,mlops,latency,36.136,11.615,0.582,127.844,78.763,1
aiops-alerts-094-00027,2026-01-27,project-14,compute,us-central1,prod,platform,reliability,80.33,10.96,0.665,100.747,91.656,1
aiops-alerts-094-00028,2026-01-28,project-12,cloud-run,us-east1,prod,finops,reliability,62.368,5.844,0.415,176.172,75.682,1
aiops-alerts-094-00029,2026-01-29,project-04,cloud-sql,asia-south1,prod,data,reliability,39.609,3.035,0.511,89.065,51.818,0
aiops-alerts-094-00030,2026-01-30,project-02,gke,us-east1,prod,platform,cost,78.833,7.132,0.645,162.366,90.486,1
aiops-alerts-094-00031,2026-01-31,project-21,compute,us-east1,prod,backend,reliability,64.274,15.323,0.29,152.809,90.684,1
aiops-alerts-094-00032,2026-02-01,project-16,pubsub,asia-south1,dev,finops,cost,16.079,7.391,0.32,125.133,52.322,0
aiops-alerts-094-00033,2026-02-02,project-21,bigquery,europe-west1,prod,platform,security,23.585,19.03,0.385,202.45,95.657,1
aiops-alerts-094-00034,2026-02-03,project-22,cloud-run,asia-south1,prod,finops,reliability,74.964,17.294,0.442,126.527,100,1
aiops-alerts-094-00035,2026-02-04,project-12,pubsub,us-east1,dev,finops,latency,29.106,3.645,0.615,229.167,73.637,0
aiops-alerts-094-00036,2026-02-05,project-19,compute,global,sandbox,security,cost,50.256,7.342,0.387,121.487,65.983,1
aiops-alerts-094-00037,2026-02-06,project-22,vertex-ai,europe-west1,sandbox,finops,cost,69.323,7.101,0.808,69.819,79.294,1
aiops-alerts-094-00038,2026-02-07,project-23,pubsub,us-central1,staging,finops,latency,14.864,26.751,0.356,109.491,96.049,1
aiops-alerts-094-00039,2026-02-08,project-02,gke,global,prod,backend,latency,84.604,9.429,0.67,93.76,88.736,1
aiops-alerts-094-00040,2026-02-09,project-02,vertex-ai,europe-west1,prod,backend,reliability,47.699,12.811,0.536,183.298,92.078,1
aiops-alerts-094-00041,2026-02-10,project-09,pubsub,asia-south1,prod,finops,quality,47.128,6.56,0.302,41.27,48.39,0
aiops-alerts-094-00042,2026-02-11,project-13,pubsub,us-east1,prod,data,cost,44.696,5.751,0.422,186.437,71.021,1
aiops-alerts-094-00043,2026-02-12,project-21,compute,us-central1,prod,platform,reliability,56.265,8.609,0.672,100.064,77.893,1
aiops-alerts-094-00044,2026-02-13,project-16,gke,us-central1,prod,security,reliability,52.54,7.918,0.443,113.58,68.933,1
aiops-alerts-094-00045,2026-02-14,project-01,cloud-sql,global,sandbox,platform,reliability,11.552,8.114,1.027,290.931,100,1
aiops-alerts-094-00046,2026-02-15,project-22,bigquery,us-central1,prod,platform,cost,53.574,6.548,0.784,178.868,87.554,1
aiops-alerts-094-00047,2026-02-16,project-06,vertex-ai,asia-south1,prod,security,latency,32.719,14.822,0.653,55.01,76.914,1
