record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,critical_alert
aiops-alerts-074-00001,2026-01-01,project-10,gke,asia-south1,staging,finops,security,29.712,9.564,0.646,78.947,66.838,0
aiops-alerts-074-00002,2026-01-02,project-11,compute,europe-west1,sandbox,backend,reliability,0.0,12.296,0.613,151.454,72.233,1
aiops-alerts-074-00003,2026-01-03,project-05,cloud-run,us-east1,dev,mlops,reliability,66.416,6.158,0.297,90.803,61.251,0
aiops-alerts-074-00004,2026-01-04,project-05,gke,us-central1,prod,data,cost,69.835,12.887,0.567,117.289,91.462,1
aiops-alerts-074-00005,2026-01-05,project-06,cloud-sql,us-central1,sandbox,data,latency,35.779,9.962,0.337,166.962,71.911,1
aiops-alerts-074-00006,2026-01-06,project-17,pubsub,europe-west1,sandbox,security,reliability,40.941,11.59,0.69,90.873,78.775,1
aiops-alerts-074-00007,2026-01-07,project-01,bigquery,us-east1,sandbox,security,security,40.834,7.519,0.53,83.227,62.524,0
aiops-alerts-074-00008,2026-01-08,project-21,pubsub,us-east1,prod,backend,quality,53.93,10.312,0.757,156.608,92.271,1
aiops-alerts-074-00009,2026-01-09,project-17,bigquery,europe-west1,dev,data,latency,51.195,5.602,0.241,9.824,40.857,0
aiops-alerts-074-00010,2026-01-10,project-02,cloud-sql,us-central1,staging,finops,security,49.685,12.24,0.343,140.33,78.42,1
aiops-alerts-074-00011,2026-01-11,project-07,vertex-ai,europe-west1,prod,platform,quality,51.813,11.549,0.716,24.03,73.647,1
aiops-alerts-074-00012,2026-01-12,project-11,bigquery,europe-west1,prod,backend,security,103.544,6.164,0.582,81.991,82.95,1
aiops-alerts-074-00013,2026-01-13,project-21,compute,asia-south1,dev,backend,latency,14.071,11.413,0.65,73.309,64.996,0
aiops-alerts-074-00014,2026-01-14,project-16,pubsub,europe-west1,prod,platform,latency,72.765,10.02,0.604,81.928,81.936,1
aiops-alerts-074-00015,2026-01-15,project-20,pubsub,us-central1,prod,platform,reliability,55.056,10.005,0.299,205.517,83.051,1
aiops-alerts-074-00016,2026-01-16,project-04,pubsub,us-central1,dev,platform,cost,48.157,16.828,0.632,164.351,100,1
aiops-alerts-074-00017,2026-01-17,project-09,pubsub,europe-west1,dev,security,quality,51.659,7.421,0.488,105.683,67.888,1
aiops-alerts-074-00018,2026-01-18,project-21,vertex-ai,europe-west1,dev,backend,quality,40.068,6.291,0.788,60.873,65.16,0
aiops-alerts-074-00019,2026-01-19,project-07,compute,us-central1,prod,data,cost,50.814,7.074,0.668,110.333,73.761,1
aiops-alerts-074-00020,2026-01-20,project-23,cloud-sql,global,prod,mlops,quality,29.75,2.81,0.434,81.492,44.043,0
aiops-alerts-074-00021,2026-01-21,project-20,cloud-sql,europe-west1,prod,finops,security,60.656,14.861,0.845,190.112,100,1
aiops-alerts-074-00022,2026-01-22,project-22,bigquery,asia-south1,prod,mlops,latency,78.785,13.876,0.58,123.644,98.284,1
aiops-alerts-074-00023,2026-01-23,project-08,vertex-ai,us-east1,staging,data,security,24.743,20.563,0.531,149.898,97.086,1
aiops-alerts-074-00024,2026-01-24,project-18,bigquery,us-central1,prod,mlops,latency,55.83,3.334,0.324,47.367,45.568,0
aiops-alerts-074-00025,2026-01-25,project-07,gke,asia-south1,dev,mlops,quality,29.161,7.064,0.653,111.527,65.808,0
aiops-alerts-074-00026,2026-01-26,project-02,bigquery,asia-south1,staging,backend,reliability,43.603,5.99,0.353,201.367,70.959,1
aiops-alerts-074-00027,2026-01-27,project-22,bigquery,us-central1,sandbox,mlops,quality,54.04,12.8,0.367,82.753,73.694,0
aiops-alerts-074-00028,2026-01-28,project-05,vertex-ai,us-east1,dev,mlops,reliability,75.662,7.643,0.346,0.0,56.425,1
aiops-alerts-074-00029,2026-01-29,project-02,vertex-ai,global,staging,backend,security,64.196,22.028,0.486,152.605,100,1
aiops-alerts-074-00030,2026-01-30,project-13,gke,global,dev,security,latency,29.111,13.373,0.24,206.786,79.949,1
aiops-alerts-074-00031,2026-01-31,project-17,pubsub,asia-south1,sandbox,finops,reliability,30.533,13.862,0.701,177.936,93.515,1
aiops-alerts-074-00032,2026-02-01,project-14,vertex-ai,europe-west1,dev,backend,reliability,28.817,11.731,0.323,167.749,73.227,1
aiops-alerts-074-00033,2026-02-02,project-13,cloud-run,global,prod,mlops,reliability,78.264,9.199,0.538,64.64,77.113,1
aiops-alerts-074-00034,2026-02-03,project-10,vertex-ai,us-central1,prod,data,quality,74.91,10.895,0.585,104.249,87.318,1
aiops-alerts-074-00035,2026-02-04,project-08,cloud-run,asia-south1,dev,platform,cost,49.694,12.177,0.484,152.833,85.034,1
aiops-alerts-074-00036,2026-02-05,project-16,bigquery,us-central1,prod,security,cost,34.736,6.412,0.488,159.43,67.449,0
aiops-alerts-074-00037,2026-02-06,project-13,cloud-run,us-central1,staging,finops,cost,14.795,5.58,0.535,131.532,56.105,0
