record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,critical_alert
aiops-alerts-054-00001,2026-01-01,project-23,cloud-run,us-east1,staging,mlops,quality,56.946,11.122,0.568,47.762,72.728,1
aiops-alerts-054-00002,2026-01-02,project-05,pubsub,global,dev,backend,security,43.391,17.874,0.653,140.654,100,1
aiops-alerts-054-00003,2026-01-03,project-18,cloud-run,europe-west1,staging,backend,security,24.103,8.24,0.173,138.556,53.924,0
aiops-alerts-054-00004,2026-01-04,project-11,pubsub,us-central1,sandbox,mlops,quality,46.569,9.309,0.291,105.03,63.522,0
aiops-alerts-054-00005,2026-01-05,project-08,gke,us-east1,prod,security,security,76.061,7.453,0.346,160.785,79.569,1
aiops-alerts-054-00006,2026-01-06,project-15,compute,us-central1,dev,data,security,40.415,10.322,0.996,111.414,89.338,1
aiops-alerts-054-00007,2026-01-07,project-13,cloud-run,us-east1,prod,backend,security,64.03,11.261,0.161,112.236,70.689,1
aiops-alerts-054-00008,2026-01-08,project-08,bigquery,global,prod,backend,latency,52.533,18.339,0.663,174.128,100,1
aiops-alerts-054-00009,2026-01-09,project-22,compute,us-central1,prod,platform,cost,69.143,4.678,0.755,116.327,78.505,1
aiops-alerts-054-00010,2026-01-10,project-12,vertex-ai,global,prod,security,quality,45.593,11.803,0.498,88.575,73.845,1
aiops-alerts-054-00011,2026-01-11,project-18,gke,us-east1,dev,backend,reliability,61.59,6.867,0.473,105.379,69.502,0
aiops-alerts-054-00012,2026-01-12,project-16,compute,global,dev,finops,reliability,95.749,7.258,0.468,70.311,77.081,1
aiops-alerts-054-00013,2026-01-13,project-19,cloud-run,us-central1,prod,security,reliability,54.801,7.349,0.927,47.22,75.659,1
aiops-alerts-054-00014,2026-01-14,project-14,gke,asia-south1,dev,security,cost,53.429,16.434,0.626,61.184,87.879,1
aiops-alerts-054-00015,2026-01-15,project-08,compute,global,dev,security,security,51.138,10.997,0.642,162.386,89.709,1
aiops-alerts-054-00016,2026-01-16,project-15,compute,us-central1,prod,platform,security,45.88,9.07,0.71,79.386,73.648,1
aiops-alerts-054-00017,2026-01-17,project-13,pubsub,us-central1,sandbox,backend,latency,34.074,4.244,0.417,148.398,58.065,1
aiops-alerts-054-00018,2026-01-18,project-01,compute,asia-south1,prod,data,latency,56.541,8.196,0.684,80.721,74.625,1
aiops-alerts-054-00019,2026-01-19,project-16,gke,us-central1,sandbox,platform,security,45.763,5.727,0.634,99.669,66.105,1
aiops-alerts-054-00020,2026-01-20,project-12,cloud-run,us-central1,dev,backend,reliability,64.423,8.323,0.541,52.398,68.545,0
aiops-alerts-054-00021,2026-01-21,project-22,gke,global,staging,backend,cost,27.143,8.607,0.849,73.277,69.984,1
aiops-alerts-054-00022,2026-01-22,project-08,vertex-ai,asia-south1,sandbox,finops,quality,54.817,6.936,0.293,123.236,63.597,0
aiops-alerts-054-00023,2026-01-23,project-01,compute,global,dev,security,security,28.057,17.339,0.199,43.497,63.586,0
aiops-alerts-054-00024,2026-01-24,project-18,cloud-sql,global,staging,platform,security,45.286,5.643,0.911,116.844,77.942,1
aiops-alerts-054-00025,2026-01-25,project-03,gke,us-east1,dev,backend,cost,60.115,20.97,0.532,143.959,100,1
aiops-alerts-054-00026,2026-01-26,project-05,bigquery,asia-south1,prod,finops,quality,60.098,10.102,0.656,91.226,80.869,1
aiops-alerts-054-00027,2026-01-27,project-18,pubsub,us-central1,sandbox,mlops,quality,43.837,6.939,0.664,164.343,78.741,1
aiops-alerts-054-00028,2026-01-28,project-06,pubsub,us-central1,prod,security,security,47.637,5.429,0.589,142.839,70.786,1
aiops-alerts-054-00029,2026-01-29,project-15,pubsub,europe-west1,prod,data,cost,13.21,9.277,0.704,173.352,76.19,1
aiops-alerts-054-00030,2026-01-30,project-18,vertex-ai,us-east1,dev,data,security,69.944,5.337,0.474,137.353,73.554,1
aiops-alerts-054-00031,2026-01-31,project-22,gke,us-central1,prod,security,cost,46.369,5.917,0.277,56.634,47.99,0
aiops-alerts-054-00032,2026-02-01,project-08,pubsub,us-central1,prod,security,quality,44.477,18.261,0.604,105.213,94.66,1
aiops-alerts-054-00033,2026-02-02,project-17,gke,global,prod,backend,quality,61.052,11.46,0.537,155.53,89.585,1
aiops-alerts-054-00034,2026-02-03,project-09,cloud-sql,asia-south1,dev,platform,quality,39.905,9.959,0.576,154.976,79.965,1
aiops-alerts-054-00035,2026-02-04,project-11,cloud-run,us-east1,prod,backend,cost,66.488,9.908,0.487,177.718,89.352,1
aiops-alerts-054-00036,2026-02-05,project-24,cloud-run,asia-south1,staging,platform,security,34.098,4.367,0.38,156.072,58.184,0
aiops-alerts-054-00037,2026-02-06,project-21,gke,us-east1,dev,security,quality,52.289,13.548,0.621,193.435,99.857,1
aiops-alerts-054-00038,2026-02-07,project-20,pubsub,us-east1,prod,mlops,cost,59.859,11.029,0.596,24.706,71.148,1
aiops-alerts-054-00039,2026-02-08,project-12,compute,asia-south1,prod,platform,cost,95.745,6.009,0.668,93.345,84.525,1
aiops-alerts-054-00040,2026-02-09,project-08,pubsub,us-east1,dev,platform,quality,70.748,12.426,0.711,146.566,100,1
aiops-alerts-054-00041,2026-02-10,project-23,cloud-run,asia-south1,prod,security,reliability,45.957,8.792,0.315,136.943,67.595,1
aiops-alerts-054-00042,2026-02-11,project-19,gke,us-east1,dev,finops,quality,87.201,9.414,0.742,139.479,98.797,1
aiops-alerts-054-00043,2026-02-12,project-12,cloud-sql,us-east1,prod,finops,security,51.183,9.406,0.561,67.986,69.411,1
aiops-alerts-054-00044,2026-02-13,project-21,gke,europe-west1,prod,backend,quality,75.535,10.863,0.536,147.699,92.084,1
aiops-alerts-054-00045,2026-02-14,project-20,vertex-ai,europe-west1,staging,data,quality,44.204,6.636,0.562,178.541,76.663,1
aiops-alerts-054-00046,2026-02-15,project-05,pubsub,us-central1,prod,backend,security,72.732,6.627,0.261,7.755,51.185,0
aiops-alerts-054-00047,2026-02-16,project-08,bigquery,us-central1,staging,mlops,reliability,77.799,6.175,0.69,138.207,85.943,1
aiops-alerts-054-00048,2026-02-17,project-04,cloud-run,asia-south1,dev,mlops,quality,67.978,9.017,0.241,112.625,69.691,1
aiops-alerts-054-00049,2026-02-18,project-22,gke,asia-south1,prod,data,reliability,44.376,20.975,0.257,167.162,97.846,1
aiops-alerts-054-00050,2026-02-19,project-09,cloud-sql,us-central1,dev,mlops,security,45.633,14.32,0.35,174.078,87.021,1
aiops-alerts-054-00051,2026-02-20,project-14,vertex-ai,global,dev,security,reliability,78.316,10.181,0.607,150.138,94.306,1
aiops-alerts-054-00052,2026-02-21,project-16,pubsub,asia-south1,dev,data,quality,83.285,8.345,0.752,51.331,82.427,1
aiops-alerts-054-00053,2026-02-22,project-04,bigquery,asia-south1,prod,security,security,66.202,11.427,0.473,143.067,87.253,1
aiops-alerts-054-00054,2026-02-23,project-22,cloud-run,us-central1,prod,platform,security,95.731,10.313,0.564,106.423,92.83,1
aiops-alerts-054-00055,2026-02-24,project-04,vertex-ai,asia-south1,sandbox,security,security,53.635,11.664,0.589,32.876,71.398,0
aiops-alerts-054-00056,2026-02-25,project-13,vertex-ai,us-central1,sandbox,finops,quality,19.062,7.462,0.6,47.299,51.981,0
aiops-alerts-054-00057,2026-02-26,project-15,compute,us-central1,prod,platform,quality,52.317,19.728,0.177,48.18,77.564,1
aiops-alerts-054-00058,2026-02-27,project-05,pubsub,us-east1,sandbox,finops,reliability,54.676,8.416,0.573,185.121,85.826,1
aiops-alerts-054-00059,2026-02-28,project-14,pubsub,global,dev,mlops,security,37.764,3.759,0.517,185.245,67.098,0
aiops-alerts-054-00060,2026-03-01,project-09,cloud-sql,global,prod,platform,cost,72.753,7.762,0.51,103.942,76.583,1
aiops-alerts-054-00061,2026-03-02,project-10,pubsub,asia-south1,dev,data,reliability,42.412,7.991,0.387,104.54,62.28,1
aiops-alerts-054-00062,2026-03-03,project-14,bigquery,us-east1,staging,mlops,security,68.565,7.221,0.521,110.328,75.171,1
aiops-alerts-054-00063,2026-03-04,project-22,gke,us-east1,dev,security,latency,35.602,7.806,0.732,47.75,63.258,1
aiops-alerts-054-00064,2026-03-05,project-18,vertex-ai,us-east1,sandbox,finops,latency,40.128,6.589,0.255,115.261,55.153,0
aiops-alerts-054-00065,2026-03-06,project-01,vertex-ai,global,prod,backend,quality,67.935,4.623,0.713,123.778,77.57,1
aiops-alerts-054-00066,2026-03-07,project-11,compute,global,staging,backend,latency,62.333,9.523,0.786,42.976,77.814,1
aiops-alerts-054-00067,2026-03-08,project-20,cloud-sql,asia-south1,prod,data,quality,112.368,8.202,0.749,130.261,100,1
aiops-alerts-054-00068,2026-03-09,project-10,cloud-run,us-central1,sandbox,data,cost,54.381,11.666,0.686,122.773,88.168,1
aiops-alerts-054-00069,2026-03-10,project-02,vertex-ai,us-central1,dev,mlops,quality,30.542,12.203,0.63,101.044,75.949,1
aiops-alerts-054-00070,2026-03-11,project-03,vertex-ai,asia-south1,prod,finops,cost,45.144,6.771,0.495,173.132,74.173,1
aiops-alerts-054-00071,2026-03-12,project-16,gke,global,dev,security,cost,50.701,6.549,0.52,57.741,59.647,1
aiops-alerts-054-00072,2026-03-13,project-23,bigquery,europe-west1,dev,data,security,48.095,10.85,0.479,82.127,70.892,1
aiops-alerts-054-00073,2026-03-14,project-11,vertex-ai,global,dev,backend,reliability,47.758,4.888,0.568,48.531,55.078,0
aiops-alerts-054-00074,2026-03-15,project-02,cloud-run,global,prod,security,reliability,39.365,12.295,0.289,39.553,58.349,0
aiops-alerts-054-00075,2026-03-16,project-15,cloud-run,europe-west1,dev,mlops,cost,42.502,5.123,0.497,141.264,64.825,0
