record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,evaluation_passed
genai-rag-015-00001,2026-01-01,project-12,vertex-ai,us-east1,staging,mlops,security,53.738,8.669,0.505,133.046,76.114,1
genai-rag-015-00002,2026-01-02,project-11,gke,global,staging,data,latency,27.171,8.384,0.518,109.212,63.129,0
genai-rag-015-00003,2026-01-03,project-06,cloud-run,europe-west1,sandbox,backend,reliability,39.597,9.952,0.51,191.507,82.858,1
genai-rag-015-00004,2026-01-04,project-10,compute,us-east1,dev,mlops,security,59.461,11.817,0.714,131.26,92.516,1
genai-rag-015-00005,2026-01-05,project-20,cloud-sql,europe-west1,prod,backend,quality,87.41,9.793,0.641,241.834,100,1
genai-rag-015-00006,2026-01-06,project-09,pubsub,asia-south1,prod,data,reliability,57.156,9.016,0.548,133.832,79.739,1
genai-rag-015-00007,2026-01-07,project-12,compute,us-east1,dev,mlops,cost,60.755,4.127,0.374,16.008,46.318,0
genai-rag-015-00008,2026-01-08,project-11,cloud-sql,global,sandbox,security,cost,24.676,7.232,0.552,12.448,46.647,0
genai-rag-015-00009,2026-01-09,project-15,cloud-run,asia-south1,prod,security,cost,81.33,14.686,0.513,83.806,92.91,1
genai-rag-015-00010,2026-01-10,project-18,cloud-run,asia-south1,prod,data,quality,69.852,5.676,0.457,128.031,72.358,1
genai-rag-015-00011,2026-01-11,project-20,vertex-ai,us-central1,prod,backend,security,81.67,4.934,0.52,172.219,83.412,1
genai-rag-015-00012,2026-01-12,project-05,bigquery,europe-west1,staging,platform,cost,29.337,28.366,0.625,32.113,100,1
genai-rag-015-00013,2026-01-13,project-23,cloud-sql,us-east1,prod,data,latency,12.866,18.652,0.365,147.175,82.262,1
genai-rag-015-00014,2026-01-14,project-15,bigquery,europe-west1,sandbox,backend,cost,80.509,12.664,0.538,140.862,97.1,1
genai-rag-015-00015,2026-01-15,project-05,cloud-sql,us-central1,staging,data,latency,43.462,3.791,0.455,155.596,62.673,1
genai-rag-015-00016,2026-01-16,project-03,gke,us-central1,prod,mlops,latency,50.131,16.254,0.442,70.138,81.17,1
genai-rag-015-00017,2026-01-17,project-03,pubsub,us-east1,prod,platform,quality,102.497,5.759,0.379,17.36,65.108,0
genai-rag-015-00018,2026-01-18,project-16,compute,asia-south1,staging,platform,reliability,58.842,7.731,0.339,68.574,60.499,0
genai-rag-015-00019,2026-01-19,project-08,cloud-run,europe-west1,staging,backend,quality,46.978,2.341,0.453,139.847,58.154,0
genai-rag-015-00020,2026-01-20,project-03,cloud-sql,europe-west1,staging,mlops,reliability,48.28,5.32,0.676,153.356,75.336,1
genai-rag-015-00021,2026-01-21,project-18,bigquery,asia-south1,prod,mlops,quality,41.376,8.578,0.559,95.332,67.965,1
genai-rag-015-00022,2026-01-22,project-15,gke,us-central1,dev,mlops,cost,47.872,11.483,0.735,215.228,100,1
genai-rag-015-00023,2026-01-23,project-04,bigquery,global,staging,backend,latency,22.355,6.118,0.566,67.007,51.681,0
genai-rag-015-00024,2026-01-24,project-17,bigquery,global,sandbox,finops,quality,69.046,11.266,0.127,81.413,66.771,0
genai-rag-015-00025,2026-01-25,project-16,bigquery,europe-west1,prod,security,security,97.513,8.246,0.581,170.968,98.638,1
genai-rag-015-00026,2026-01-26,project-17,pubsub,global,dev,data,cost,26.199,12.375,0.642,90.003,73.64,1
genai-rag-015-00027,2026-01-27,project-15,bigquery,us-east1,staging,backend,security,25.875,9.028,0.494,69.916,57.608,1
genai-rag-015-00028,2026-01-28,project-24,pubsub,us-east1,dev,platform,quality,52.109,5.651,0.836,89.751,73.773,1
genai-rag-015-00029,2026-01-29,project-20,cloud-run,europe-west1,prod,security,cost,39.205,13.717,0.518,168.393,88.415,1
genai-rag-015-00030,2026-01-30,project-20,gke,us-east1,prod,security,latency,69.587,6.975,0.196,76.059,58.582,1
genai-rag-015-00031,2026-01-31,project-20,bigquery,us-central1,dev,finops,latency,14.38,8.384,0.58,64.313,54.275,0
genai-rag-015-00032,2026-02-01,project-07,gke,global,dev,data,latency,31.919,5.961,0.468,114.793,58.201,0
genai-rag-015-00033,2026-02-02,project-03,cloud-sql,asia-south1,prod,mlops,cost,78.897,5.89,0.574,102.071,76.333,1
genai-rag-015-00034,2026-02-03,project-13,pubsub,us-east1,prod,platform,security,70.101,4.552,0.847,39.519,70.565,1
genai-rag-015-00035,2026-02-04,project-14,cloud-sql,global,prod,platform,quality,59.182,13.28,0.565,54.983,79.494,1
genai-rag-015-00036,2026-02-05,project-08,bigquery,asia-south1,sandbox,mlops,cost,84.791,8.012,0.39,98.166,76.337,1
genai-rag-015-00037,2026-02-06,project-02,bigquery,global,staging,security,cost,44.306,9.746,0.803,36.865,71.729,0
genai-rag-015-00038,2026-02-07,project-18,cloud-run,europe-west1,prod,mlops,quality,45.725,8.012,0.336,83.132,58.582,0
genai-rag-015-00039,2026-02-08,project-11,gke,us-east1,prod,platform,security,44.162,13.497,0.785,65.214,83.935,1
genai-rag-015-00040,2026-02-09,project-11,bigquery,europe-west1,dev,finops,cost,70.025,8.539,0.569,126.155,82.746,1
