record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,pipeline_failed
devops-ci-066-00001,2026-01-01,project-02,cloud-sql,us-central1,prod,security,latency,73.158,4.729,0.439,126.774,70.493,1
devops-ci-066-00002,2026-01-02,project-08,bigquery,global,staging,data,security,63.78,22.934,0.604,233.303,100,1
devops-ci-066-00003,2026-01-03,project-16,cloud-sql,global,sandbox,mlops,security,22.013,8.222,0.638,96.966,63.36,0
devops-ci-066-00004,2026-01-04,project-10,vertex-ai,asia-south1,prod,platform,security,45.463,15.614,0.578,76.111,83.674,1
devops-ci-066-00005,2026-01-05,project-03,compute,europe-west1,prod,backend,latency,37.874,16.807,0.733,233.803,100,1
devops-ci-066-00006,2026-01-06,project-02,cloud-run,us-east1,staging,security,cost,57.551,2.486,0.286,103.62,51.065,0
devops-ci-066-00007,2026-01-07,project-17,cloud-sql,asia-south1,sandbox,finops,security,62.096,12.564,0.809,75.463,90.37,1
devops-ci-066-00008,2026-01-08,project-06,gke,us-east1,sandbox,security,security,25.837,8.119,0.931,195.635,89.102,1
devops-ci-066-00009,2026-01-09,project-13,gke,global,prod,platform,quality,39.827,7.457,0.617,82.33,64.941,1
devops-ci-066-00010,2026-01-10,project-16,cloud-run,asia-south1,sandbox,mlops,latency,49.556,10.907,0.419,116.102,74.391,1
devops-ci-066-00011,2026-01-11,project-05,gke,global,dev,finops,latency,44.248,5.863,0.635,142.193,72.129,1
devops-ci-066-00012,2026-01-12,project-18,cloud-sql,europe-west1,prod,data,quality,88.77,6.843,0.45,139.522,83.133,1
devops-ci-066-00013,2026-01-13,project-20,gke,europe-west1,staging,security,latency,31.591,5.173,0.579,85.25,55.824,0
devops-ci-066-00014,2026-01-14,project-24,cloud-run,us-east1,dev,security,reliability,20.561,7.139,0.426,136.681,58.697,0
devops-ci-066-00015,2026-01-15,project-08,compute,global,staging,mlops,cost,32.142,4.63,0.412,106.928,52.067,0
devops-ci-066-00016,2026-01-16,project-15,cloud-sql,europe-west1,dev,mlops,reliability,32.489,8.23,0.57,140.849,71.065,1
devops-ci-066-00017,2026-01-17,project-05,cloud-run,global,sandbox,finops,reliability,34.633,10.042,0.144,84.237,52.877,0
devops-ci-066-00018,2026-01-18,project-14,cloud-sql,europe-west1,prod,security,security,66.245,6.028,0.449,23.284,56.362,0
devops-ci-066-00019,2026-01-19,project-17,vertex-ai,global,staging,data,security,49.227,11.476,0.897,68.236,85.353,1
devops-ci-066-00020,2026-01-20,project-22,vertex-ai,global,sandbox,backend,reliability,29.228,4.315,0.679,118.861,61.397,0
devops-ci-066-00021,2026-01-21,project-07,compute,us-east1,prod,security,latency,73.066,8.253,0.645,167.787,91.874,1
devops-ci-066-00022,2026-01-22,project-18,gke,us-east1,sandbox,platform,cost,58.443,12.794,0.672,72.832,84.449,1
devops-ci-066-00023,2026-01-23,project-20,pubsub,global,prod,finops,security,91.096,8.762,0.699,175.768,100,1
devops-ci-066-00024,2026-01-24,project-10,cloud-run,asia-south1,dev,security,reliability,39.524,7.675,0.601,155.559,75.462,1
devops-ci-066-00025,2026-01-25,project-12,compute,us-east1,dev,finops,security,56.051,11.571,0.446,191.894,90.211,1
devops-ci-066-00026,2026-01-26,project-01,gke,global,staging,backend,reliability,47.399,6.412,0.447,70.402,57.463,0
devops-ci-066-00027,2026-01-27,project-02,cloud-sql,global,sandbox,backend,quality,15.598,7.541,0.537,125.744,60.188,0
devops-ci-066-00028,2026-01-28,project-01,bigquery,us-east1,prod,platform,reliability,67.015,6.938,0.578,176.669,85.638,1
devops-ci-066-00029,2026-01-29,project-14,cloud-sql,us-east1,dev,finops,reliability,55.492,6.471,0.39,96.784,62.286,0
devops-ci-066-00030,2026-01-30,project-05,cloud-sql,us-east1,staging,security,latency,49.831,8.211,0.618,105.035,73.547,1
devops-ci-066-00031,2026-01-31,project-15,vertex-ai,us-east1,staging,platform,security,43.589,8.993,0.409,177.753,76.477,1
devops-ci-066-00032,2026-02-01,project-04,compute,asia-south1,staging,mlops,reliability,34.929,11.908,0.739,141.183,86.465,1
devops-ci-066-00033,2026-02-02,project-10,bigquery,us-east1,dev,platform,security,57.207,4.519,0.636,93.54,66.468,1
devops-ci-066-00034,2026-02-03,project-22,bigquery,us-central1,staging,finops,security,43.155,5.563,0.616,61.264,58.579,0
devops-ci-066-00035,2026-02-04,project-11,pubsub,global,prod,backend,security,48.401,9.459,0.697,0.0,63.406,1
devops-ci-066-00036,2026-02-05,project-12,bigquery,global,prod,security,quality,34.658,13.33,0.442,25.281,62.39,0
devops-ci-066-00037,2026-02-06,project-16,compute,us-east1,dev,finops,reliability,27.148,13.575,0.565,197.78,89.795,1
devops-ci-066-00038,2026-02-07,project-15,cloud-run,us-central1,dev,backend,security,59.569,9.99,0.58,173.651,89.783,1
devops-ci-066-00039,2026-02-08,project-14,cloud-sql,us-east1,dev,backend,cost,39.768,5.26,0.617,137.209,67.797,1
devops-ci-066-00040,2026-02-09,project-11,cloud-sql,us-central1,staging,data,reliability,24.373,7.224,0.481,116.282,59.179,1
devops-ci-066-00041,2026-02-10,project-09,cloud-sql,us-east1,prod,backend,cost,43.661,9.923,0.51,169.76,81.042,1
devops-ci-066-00042,2026-02-11,project-06,gke,us-central1,prod,data,reliability,89.361,19.625,0.666,222.757,100,1
devops-ci-066-00043,2026-02-12,project-06,cloud-run,us-central1,staging,platform,reliability,12.779,8.333,0.542,177.472,68.768,1
devops-ci-066-00044,2026-02-13,project-22,compute,europe-west1,dev,security,security,48.151,16.773,0.212,79.604,75.019,0
devops-ci-066-00045,2026-02-14,project-15,cloud-run,us-central1,prod,mlops,reliability,46.244,6.24,0.409,17.036,47.545,0
devops-ci-066-00046,2026-02-15,project-21,bigquery,europe-west1,sandbox,finops,quality,42.471,9.704,0.748,149.846,85.54,1
devops-ci-066-00047,2026-02-16,project-22,pubsub,us-central1,staging,security,quality,50.362,8.676,0.515,114.036,72.526,1
devops-ci-066-00048,2026-02-17,project-19,vertex-ai,europe-west1,prod,mlops,quality,32.591,4.05,0.404,68.505,44.987,0
devops-ci-066-00049,2026-02-18,project-19,pubsub,global,sandbox,finops,cost,57.353,9.202,0.423,77.156,67.602,0
devops-ci-066-00050,2026-02-19,project-15,cloud-run,asia-south1,dev,backend,reliability,64.41,9.009,0.394,136.159,77.211,1
devops-ci-066-00051,2026-02-20,project-16,gke,global,prod,platform,security,33.877,8.953,0.458,184.895,75.741,1
devops-ci-066-00052,2026-02-21,project-15,vertex-ai,us-central1,dev,security,latency,79.346,10.982,0.724,82.971,90.836,1
devops-ci-066-00053,2026-02-22,project-11,pubsub,asia-south1,prod,platform,latency,49.141,21.723,0.493,81.318,97.0,1
devops-ci-066-00054,2026-02-23,project-21,pubsub,global,prod,platform,security,62.082,8.292,0.375,76.818,65.404,0
devops-ci-066-00055,2026-02-24,project-12,pubsub,global,prod,backend,cost,43.38,11.114,0.409,22.554,58.72,0
devops-ci-066-00056,2026-02-25,project-18,compute,us-east1,dev,platform,cost,49.232,2.676,0.596,272.664,84.099,1
devops-ci-066-00057,2026-02-26,project-22,compute,europe-west1,prod,security,reliability,68.022,7.69,0.408,89.515,69.085,1
devops-ci-066-00058,2026-02-27,project-22,gke,europe-west1,dev,finops,latency,71.892,25.096,0.413,170.168,100,1
devops-ci-066-00059,2026-02-28,project-10,cloud-run,asia-south1,sandbox,data,quality,23.24,1.917,0.453,147.317,49.946,0
devops-ci-066-00060,2026-03-01,project-15,gke,global,dev,finops,reliability,30.429,10.721,0.955,128.151,87.78,1
devops-ci-066-00061,2026-03-02,project-04,gke,asia-south1,sandbox,security,cost,56.866,7.808,0.698,152.923,84.853,1
devops-ci-066-00062,2026-03-03,project-02,cloud-sql,us-east1,prod,backend,quality,84.843,7.663,0.444,44.06,69.541,0
devops-ci-066-00063,2026-03-04,project-19,cloud-run,global,staging,data,cost,49.188,9.092,0.617,0.0,60.025,0
