record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,incident_escalated
gke-sre-002-00001,2026-01-01,project-20,pubsub,us-east1,prod,platform,latency,58.386,25.867,0.368,94.46,100,1
gke-sre-002-00002,2026-01-02,project-18,compute,europe-west1,prod,security,cost,60.882,6.078,0.15,109.743,56.745,0
gke-sre-002-00003,2026-01-03,project-05,vertex-ai,europe-west1,prod,backend,reliability,49.038,8.391,0.548,152.28,78.13,1
gke-sre-002-00004,2026-01-04,project-23,vertex-ai,us-central1,dev,mlops,cost,79.184,3.597,0.559,133.07,75.078,1
gke-sre-002-00005,2026-01-05,project-08,compute,asia-south1,prod,security,security,97.013,6.593,0.627,84.094,83.547,1
gke-sre-002-00006,2026-01-06,project-05,compute,us-central1,prod,finops,latency,61.307,8.981,0.814,220.777,100,1
gke-sre-002-00007,2026-01-07,project-17,vertex-ai,us-east1,dev,finops,latency,64.836,8.172,0.337,148.383,75.195,0
gke-sre-002-00008,2026-01-08,project-24,cloud-sql,asia-south1,prod,data,latency,96.071,11.836,0.318,179.974,98.618,1
gke-sre-002-00009,2026-01-09,project-08,bigquery,us-east1,dev,security,latency,44.83,10.423,0.506,76.482,68.874,1
gke-sre-002-00010,2026-01-10,project-14,pubsub,us-central1,prod,mlops,quality,74.072,11.567,0.377,192.029,94.114,1
gke-sre-002-00011,2026-01-11,project-07,cloud-sql,europe-west1,prod,security,security,85.22,12.347,0.696,75.709,94.038,1
gke-sre-002-00012,2026-01-12,project-06,vertex-ai,global,prod,backend,cost,88.472,5.839,0.381,168.292,82.467,1
gke-sre-002-00013,2026-01-13,project-07,cloud-sql,us-east1,dev,platform,reliability,54.843,7.036,0.548,196.482,83.446,1
gke-sre-002-00014,2026-01-14,project-21,cloud-run,us-central1,prod,finops,security,66.023,7.704,0.215,161.745,72.197,1
gke-sre-002-00015,2026-01-15,project-16,bigquery,europe-west1,prod,data,latency,55.326,8.939,0.465,94.469,70.273,1
gke-sre-002-00016,2026-01-16,project-19,gke,us-east1,sandbox,backend,latency,48.027,6.118,0.351,62.641,52.505,0
gke-sre-002-00017,2026-01-17,project-15,bigquery,us-central1,prod,backend,reliability,62.439,12.654,0.686,108.99,91.284,1
gke-sre-002-00018,2026-01-18,project-03,compute,global,prod,platform,quality,68.695,14.918,0.489,1.155,76.135,0
gke-sre-002-00019,2026-01-19,project-05,bigquery,global,staging,mlops,reliability,73.267,4.641,0.666,170.661,84.671,1
gke-sre-002-00020,2026-01-20,project-03,vertex-ai,europe-west1,prod,backend,reliability,82.271,5.952,0.722,120.967,85.594,1
gke-sre-002-00021,2026-01-21,project-15,gke,global,prod,mlops,security,68.973,9.048,0.725,156.562,93.46,1
gke-sre-002-00022,2026-01-22,project-20,cloud-sql,europe-west1,prod,finops,latency,68.55,4.801,0.169,116.406,58.086,0
gke-sre-002-00023,2026-01-23,project-13,pubsub,us-central1,prod,security,quality,61.005,7.491,0.236,195.19,75.556,1
gke-sre-002-00024,2026-01-24,project-05,cloud-run,us-east1,dev,data,latency,35.819,6.252,0.45,41.956,48.993,0
gke-sre-002-00025,2026-01-25,project-03,gke,global,staging,data,security,33.744,6.914,0.584,118.811,65.71,0
gke-sre-002-00026,2026-01-26,project-21,pubsub,us-central1,dev,platform,quality,49.345,7.024,0.553,229.054,86.419,1
gke-sre-002-00027,2026-01-27,project-02,cloud-run,asia-south1,sandbox,data,quality,43.893,13.415,0.457,39.78,68.46,0
gke-sre-002-00028,2026-01-28,project-06,cloud-run,europe-west1,prod,backend,latency,32.191,11.209,0.552,27.655,60.774,0
gke-sre-002-00029,2026-01-29,project-17,gke,global,sandbox,data,cost,41.102,6.252,0.359,154.604,64.085,0
gke-sre-002-00030,2026-01-30,project-02,bigquery,asia-south1,dev,platform,latency,26.153,9.519,0.531,78.037,61.33,0
gke-sre-002-00031,2026-01-31,project-15,pubsub,asia-south1,prod,platform,reliability,91.122,9.153,0.25,94.749,75.817,1
gke-sre-002-00032,2026-02-01,project-11,gke,global,dev,security,quality,27.543,9.006,0.646,197.63,82.085,1
gke-sre-002-00033,2026-02-02,project-15,bigquery,us-east1,prod,backend,reliability,36.94,8.342,0.594,254.989,90.37,1
gke-sre-002-00034,2026-02-03,project-22,bigquery,asia-south1,prod,security,latency,54.534,11.258,0.58,132.964,85.046,1
gke-sre-002-00035,2026-02-04,project-20,gke,us-east1,staging,mlops,cost,45.169,13.015,0.451,156.536,84.791,1
gke-sre-002-00036,2026-02-05,project-20,cloud-run,global,dev,backend,quality,3.98,8.46,0.661,253.318,81.21,1
gke-sre-002-00037,2026-02-06,project-13,cloud-sql,us-central1,prod,data,reliability,88.321,5.182,0.634,90.192,78.347,1
gke-sre-002-00038,2026-02-07,project-22,gke,europe-west1,sandbox,data,latency,74.786,7.187,0.161,102.826,63.575,0
gke-sre-002-00039,2026-02-08,project-03,cloud-run,europe-west1,dev,mlops,quality,41.931,6.121,0.335,139.287,60.996,0
gke-sre-002-00040,2026-02-09,project-10,bigquery,europe-west1,prod,platform,security,68.489,11.386,0.284,104.154,75.668,1
gke-sre-002-00041,2026-02-10,project-12,gke,us-east1,staging,finops,reliability,57.936,3.471,0.611,124.314,67.891,1
gke-sre-002-00042,2026-02-11,project-21,cloud-run,us-central1,dev,backend,latency,43.391,7.86,0.233,150.568,63.64,0
