record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,incident_escalated
gke-sre-052-00001,2026-01-01,project-02,cloud-sql,global,dev,finops,quality,23.529,7.05,0.532,104.15,58.494,0
gke-sre-052-00002,2026-01-02,project-16,compute,asia-south1,prod,data,latency,44.859,4.341,0.848,102.81,70.503,1
gke-sre-052-00003,2026-01-03,project-19,bigquery,europe-west1,dev,mlops,latency,58.787,11.585,1.076,24.696,88.869,1
gke-sre-052-00004,2026-01-04,project-07,compute,global,sandbox,backend,cost,81.76,7.654,0.814,16.396,77.356,1
gke-sre-052-00005,2026-01-05,project-14,bigquery,us-central1,prod,data,security,66.217,12.723,0.471,103.203,84.398,1
gke-sre-052-00006,2026-01-06,project-12,bigquery,us-east1,prod,platform,reliability,56.844,4.811,0.418,99.799,60.305,0
gke-sre-052-00007,2026-01-07,project-09,vertex-ai,us-central1,prod,security,security,102.278,11.856,0.726,58.349,97.381,1
gke-sre-052-00008,2026-01-08,project-24,vertex-ai,us-central1,dev,finops,cost,87.704,10.93,0.902,94.099,100,1
gke-sre-052-00009,2026-01-09,project-03,bigquery,global,prod,backend,latency,32.094,10.729,0.252,66.405,54.771,0
gke-sre-052-00010,2026-01-10,project-24,cloud-run,us-east1,prod,security,quality,62.811,17.436,0.563,95.491,96.299,1
gke-sre-052-00011,2026-01-11,project-21,vertex-ai,global,dev,backend,quality,59.281,8.384,0.623,183.821,88.923,1
gke-sre-052-00012,2026-01-12,project-01,vertex-ai,us-central1,prod,security,cost,58.448,5.293,0.346,86.427,57.521,0
gke-sre-052-00013,2026-01-13,project-20,bigquery,asia-south1,prod,finops,quality,77.431,10.063,0.262,200.412,88.978,1
gke-sre-052-00014,2026-01-14,project-16,cloud-run,europe-west1,dev,mlops,cost,56.62,21.886,0.785,116.123,100,1
gke-sre-052-00015,2026-01-15,project-02,cloud-run,us-central1,prod,mlops,latency,53.172,13.885,0.732,196.759,100,1
gke-sre-052-00016,2026-01-16,project-12,cloud-run,asia-south1,prod,backend,quality,52.581,9.71,0.603,62.002,71.207,1
gke-sre-052-00017,2026-01-17,project-04,bigquery,asia-south1,prod,data,quality,86.236,11.169,0.293,113.781,83.092,1
gke-sre-052-00018,2026-01-18,project-01,pubsub,europe-west1,prod,platform,security,59.277,7.724,0.449,133.442,73.945,1
gke-sre-052-00019,2026-01-19,project-17,compute,global,prod,mlops,reliability,99.068,11.495,0.593,197.656,100,1
gke-sre-052-00020,2026-01-20,project-10,compute,global,dev,mlops,security,64.865,7.009,0.932,124.678,89.859,1
gke-sre-052-00021,2026-01-21,project-10,gke,global,prod,finops,latency,60.127,11.501,0.65,99.621,85.158,1
gke-sre-052-00022,2026-01-22,project-15,cloud-run,us-central1,dev,data,quality,21.399,14.033,0.669,138.286,83.815,1
gke-sre-052-00023,2026-01-23,project-07,compute,asia-south1,dev,finops,quality,67.984,4.507,0.608,97.745,69.845,1
gke-sre-052-00024,2026-01-24,project-17,gke,us-east1,prod,backend,cost,75.719,4.694,0.244,74.528,56.863,0
gke-sre-052-00025,2026-01-25,project-24,cloud-run,europe-west1,prod,mlops,reliability,61.008,4.565,0.528,86.548,63.106,1
gke-sre-052-00026,2026-01-26,project-17,bigquery,europe-west1,prod,backend,reliability,52.011,4.774,0.153,73.374,45.399,0
gke-sre-052-00027,2026-01-27,project-18,compute,global,dev,finops,latency,43.14,4.344,0.715,35.379,55.419,0
gke-sre-052-00028,2026-01-28,project-01,gke,global,prod,data,cost,99.276,2.983,0.467,59.815,66.775,0
gke-sre-052-00029,2026-01-29,project-05,compute,us-central1,dev,platform,reliability,22.674,7.199,0.533,203.622,73.083,1
gke-sre-052-00030,2026-01-30,project-12,cloud-run,us-central1,prod,finops,quality,79.928,20.442,0.894,163.952,100,1
gke-sre-052-00031,2026-01-31,project-16,vertex-ai,us-central1,dev,platform,latency,34.929,11.467,0.684,138.849,83.17,1
gke-sre-052-00032,2026-02-01,project-14,vertex-ai,asia-south1,prod,backend,security,92.031,12.021,0.752,71.236,96.968,1
gke-sre-052-00033,2026-02-02,project-05,gke,europe-west1,staging,security,latency,0.0,6.581,0.734,93.595,54.695,0
gke-sre-052-00034,2026-02-03,project-19,cloud-run,global,prod,platform,reliability,32.511,12.961,0.546,74.994,71.668,0
gke-sre-052-00035,2026-02-04,project-06,bigquery,us-east1,prod,data,security,55.998,7.287,0.338,93.285,62.036,1
gke-sre-052-00036,2026-02-05,project-22,pubsub,us-east1,prod,backend,latency,42.631,10.754,0.347,209.555,82.719,1
gke-sre-052-00037,2026-02-06,project-23,bigquery,europe-west1,prod,security,security,64.385,12.088,0.597,80.706,83.405,1
gke-sre-052-00038,2026-02-07,project-10,vertex-ai,global,dev,finops,quality,62.102,5.983,0.304,0.0,46.336,0
gke-sre-052-00039,2026-02-08,project-08,pubsub,us-central1,staging,security,quality,46.104,4.633,0.598,144.529,68.954,1
gke-sre-052-00040,2026-02-09,project-02,cloud-sql,asia-south1,staging,platform,security,22.931,6.637,0.443,135.28,58.746,0
gke-sre-052-00041,2026-02-10,project-10,bigquery,global,prod,mlops,quality,69.125,9.588,0.478,93.649,76.953,0
gke-sre-052-00042,2026-02-11,project-13,bigquery,europe-west1,dev,mlops,cost,45.349,21.403,0.968,113.366,100,1
gke-sre-052-00043,2026-02-12,project-10,cloud-run,us-central1,sandbox,mlops,cost,52.072,6.804,0.697,22.994,61.849,0
gke-sre-052-00044,2026-02-13,project-04,gke,europe-west1,dev,security,latency,49.196,13.875,0.445,109.788,81.179,1
