record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,incident_escalated
gke-sre-022-00001,2026-01-01,project-15,bigquery,us-central1,staging,backend,quality,41.806,12.671,0.823,145.725,94.254,1
gke-sre-022-00002,2026-01-02,project-16,vertex-ai,asia-south1,staging,security,quality,36.447,16.56,0.684,206.424,100,1
gke-sre-022-00003,2026-01-03,project-21,gke,us-east1,staging,platform,reliability,61.968,6.946,0.379,36.492,56.483,0
gke-sre-022-00004,2026-01-04,project-08,gke,us-east1,sandbox,security,quality,59.058,4.674,0.813,83.076,72.147,1
gke-sre-022-00005,2026-01-05,project-22,compute,us-central1,prod,finops,reliability,63.556,12.696,0.423,149.707,88.506,1
gke-sre-022-00006,2026-01-06,project-18,pubsub,us-central1,dev,data,cost,66.355,7.392,0.304,135.957,70.939,0
gke-sre-022-00007,2026-01-07,project-07,compute,global,dev,platform,latency,40.934,9.542,0.721,168.408,86.386,1
gke-sre-022-00008,2026-01-08,project-15,gke,asia-south1,prod,mlops,reliability,34.328,6.93,0.802,205.843,86.274,1
gke-sre-022-00009,2026-01-09,project-06,cloud-run,global,staging,data,quality,61.154,3.457,0.641,115.387,68.733,1
gke-sre-022-00010,2026-01-10,project-11,cloud-sql,us-east1,prod,backend,reliability,40.863,7.571,0.745,51.637,65.573,1
gke-sre-022-00011,2026-01-11,project-08,gke,us-central1,staging,mlops,cost,41.969,11.164,0.226,119.333,66.051,0
gke-sre-022-00012,2026-01-12,project-05,vertex-ai,us-central1,sandbox,mlops,cost,60.157,4.458,0.687,159.99,78.834,1
gke-sre-022-00013,2026-01-13,project-11,bigquery,europe-west1,staging,data,quality,53.394,5.854,0.242,63.017,50.007,0
gke-sre-022-00014,2026-01-14,project-07,cloud-run,europe-west1,dev,backend,cost,81.632,8.986,0.438,71.429,75.285,1
gke-sre-022-00015,2026-01-15,project-12,bigquery,asia-south1,dev,finops,reliability,31.55,12.113,0.829,84.736,80.678,1
gke-sre-022-00016,2026-01-16,project-02,compute,global,prod,data,reliability,64.079,9.806,0.337,147.434,78.604,1
gke-sre-022-00017,2026-01-17,project-16,cloud-run,us-east1,sandbox,security,security,29.246,5.234,0.727,146.428,69.248,0
gke-sre-022-00018,2026-01-18,project-05,vertex-ai,asia-south1,staging,finops,security,48.226,12.59,0.52,191.531,92.387,1
gke-sre-022-00019,2026-01-19,project-17,bigquery,us-east1,staging,data,latency,49.322,5.887,0.416,179.218,71.695,1
gke-sre-022-00020,2026-01-20,project-09,gke,global,prod,security,cost,70.543,7.356,0.889,176.068,98.646,1
gke-sre-022-00021,2026-01-21,project-22,vertex-ai,asia-south1,dev,finops,cost,69.681,18.475,0.577,97.706,100,1
gke-sre-022-00022,2026-01-22,project-01,vertex-ai,global,prod,finops,quality,47.37,13.985,0.537,188.57,95.506,1
gke-sre-022-00023,2026-01-23,project-02,gke,europe-west1,prod,data,latency,60.575,4.634,0.743,122.042,75.817,1
gke-sre-022-00024,2026-01-24,project-21,vertex-ai,asia-south1,prod,mlops,cost,56.067,7.629,0.735,178.261,89.146,1
gke-sre-022-00025,2026-01-25,project-07,gke,global,prod,finops,cost,80.01,11.795,0.569,144.004,96.441,1
gke-sre-022-00026,2026-01-26,project-14,cloud-run,europe-west1,dev,data,latency,40.033,9.43,0.329,178.701,73.59,1
gke-sre-022-00027,2026-01-27,project-02,compute,europe-west1,dev,data,quality,32.993,7.904,0.72,148.615,76.863,1
gke-sre-022-00028,2026-01-28,project-12,vertex-ai,asia-south1,staging,mlops,quality,60.709,15.38,0.984,126.392,100,1
gke-sre-022-00029,2026-01-29,project-16,pubsub,asia-south1,prod,platform,quality,71.926,8.085,0.594,189.518,92.467,1
gke-sre-022-00030,2026-01-30,project-24,compute,asia-south1,staging,security,cost,41.755,9.544,0.41,2.119,51.543,0
gke-sre-022-00031,2026-01-31,project-08,gke,europe-west1,dev,security,latency,30.026,14.274,0.594,140.07,85.032,1
gke-sre-022-00032,2026-02-01,project-01,cloud-sql,us-central1,prod,finops,quality,76.226,7.982,0.755,178.526,97.764,1
gke-sre-022-00033,2026-02-02,project-19,cloud-run,asia-south1,staging,platform,latency,41.587,8.79,0.605,70.548,66.529,1
gke-sre-022-00034,2026-02-03,project-07,bigquery,us-east1,dev,mlops,security,45.94,8.966,0.689,33.469,65.996,1
gke-sre-022-00035,2026-02-04,project-04,pubsub,global,sandbox,backend,cost,65.261,8.71,0.601,97.4,78.404,1
gke-sre-022-00036,2026-02-05,project-23,gke,us-central1,staging,platform,latency,62.676,2.868,0.703,81.51,65.12,1
gke-sre-022-00037,2026-02-06,project-17,cloud-run,us-east1,sandbox,mlops,latency,26.964,15.096,0.542,206.662,93.77,1
gke-sre-022-00038,2026-02-07,project-24,vertex-ai,europe-west1,staging,backend,latency,44.116,6.357,0.614,103.887,66.914,0
gke-sre-022-00039,2026-02-08,project-05,gke,asia-south1,staging,data,security,47.872,12.719,0.586,70.099,77.166,1
gke-sre-022-00040,2026-02-09,project-06,compute,us-central1,prod,data,quality,83.265,6.171,0.344,177.711,81.498,1
gke-sre-022-00041,2026-02-10,project-23,pubsub,europe-west1,prod,finops,cost,34.064,7.055,0.474,163.361,68.798,0
gke-sre-022-00042,2026-02-11,project-17,bigquery,asia-south1,sandbox,finops,reliability,62.685,3.975,0.716,121.586,74.006,1
gke-sre-022-00043,2026-02-12,project-04,bigquery,asia-south1,prod,platform,cost,81.593,6.976,0.377,249.753,94.452,1
gke-sre-022-00044,2026-02-13,project-16,vertex-ai,us-central1,prod,platform,cost,28.866,3.364,0.78,229.295,78.691,1
gke-sre-022-00045,2026-02-14,project-17,gke,us-central1,staging,security,security,31.847,4.57,0.418,69.868,46.629,0
gke-sre-022-00046,2026-02-15,project-22,pubsub,europe-west1,dev,security,security,74.759,7.117,0.396,117.038,73.7,1
gke-sre-022-00047,2026-02-16,project-23,gke,global,staging,data,quality,68.744,9.449,0.646,167.48,93.142,1
gke-sre-022-00048,2026-02-17,project-13,cloud-run,us-east1,prod,security,cost,56.756,6.312,0.423,11.225,51.035,0
gke-sre-022-00049,2026-02-18,project-15,cloud-sql,us-central1,prod,mlops,cost,76.643,11.44,0.553,198.952,100,1
gke-sre-022-00050,2026-02-19,project-13,vertex-ai,europe-west1,dev,mlops,cost,19.102,13.603,0.583,69.224,68.926,0
gke-sre-022-00051,2026-02-20,project-01,pubsub,us-east1,staging,finops,security,38.405,6.035,0.594,56.815,56.599,0
gke-sre-022-00052,2026-02-21,project-23,cloud-sql,us-central1,staging,security,cost,49.812,4.935,0.473,144.575,66.588,1
gke-sre-022-00053,2026-02-22,project-10,vertex-ai,global,sandbox,finops,cost,31.197,5.861,0.213,141.008,52.613,0
gke-sre-022-00054,2026-02-23,project-03,gke,us-east1,sandbox,data,latency,58.436,8.796,0.803,50.593,76.46,1
gke-sre-022-00055,2026-02-24,project-24,gke,global,prod,data,quality,92.544,11.604,0.324,87.631,83.586,1
gke-sre-022-00056,2026-02-25,project-17,compute,global,dev,mlops,quality,28.739,11.526,0.957,176.918,96.248,1
gke-sre-022-00057,2026-02-26,project-08,vertex-ai,global,staging,mlops,latency,48.738,10.347,0.267,116.447,67.528,0
gke-sre-022-00058,2026-02-27,project-14,compute,global,prod,data,quality,40.617,11.113,0.346,183.291,78.986,1
gke-sre-022-00059,2026-02-28,project-10,compute,us-east1,dev,mlops,reliability,51.346,7.416,0.402,106.982,64.947,0
gke-sre-022-00060,2026-03-01,project-05,bigquery,us-central1,staging,finops,reliability,59.791,9.966,0.439,163.334,83.365,1
gke-sre-022-00061,2026-03-02,project-07,cloud-run,global,dev,platform,security,44.854,12.085,0.534,164.809,86.622,1
gke-sre-022-00062,2026-03-03,project-17,gke,us-central1,sandbox,finops,latency,24.427,10.922,0.545,14.18,55.177,0
gke-sre-022-00063,2026-03-04,project-23,vertex-ai,global,sandbox,platform,latency,52.035,14.061,0.548,87.087,82.901,1
gke-sre-022-00064,2026-03-05,project-13,vertex-ai,asia-south1,prod,platform,security,35.586,7.312,0.631,133.711,71.101,1
gke-sre-022-00065,2026-03-06,project-23,vertex-ai,us-east1,prod,security,latency,87.974,6.736,0.653,117.732,86.532,1
gke-sre-022-00066,2026-03-07,project-09,gke,asia-south1,prod,backend,cost,35.229,6.551,0.507,121.903,63.138,0
gke-sre-022-00067,2026-03-08,project-14,pubsub,us-central1,sandbox,backend,cost,67.783,4.414,0.59,209.483,85.223,1
gke-sre-022-00068,2026-03-09,project-07,cloud-run,asia-south1,dev,finops,latency,32.13,8.143,0.856,80.381,71.928,1
gke-sre-022-00069,2026-03-10,project-16,gke,global,prod,platform,quality,66.21,22.967,0.461,115.14,100,1
gke-sre-022-00070,2026-03-11,project-18,pubsub,global,sandbox,finops,cost,33.097,11.169,0.408,83.845,64.152,0
gke-sre-022-00071,2026-03-12,project-12,cloud-run,us-east1,dev,finops,quality,22.804,10.087,0.633,86.721,66.32,0
gke-sre-022-00072,2026-03-13,project-10,cloud-run,us-central1,sandbox,backend,latency,9.264,7.316,0.245,202.378,58.402,0
gke-sre-022-00073,2026-03-14,project-20,bigquery,us-central1,staging,data,quality,45.242,4.778,0.599,142.929,68.792,1
gke-sre-022-00074,2026-03-15,project-19,compute,asia-south1,dev,finops,reliability,50.14,15.521,0.341,262.597,100,1
gke-sre-022-00075,2026-03-16,project-11,bigquery,global,prod,security,reliability,88.066,5.361,0.54,101.229,76.995,1
gke-sre-022-00076,2026-03-17,project-05,compute,us-central1,sandbox,data,cost,41.181,8.335,0.469,130.708,69.338,0
gke-sre-022-00077,2026-03-18,project-15,gke,us-east1,prod,finops,cost,59.776,7.66,0.476,261.491,93.589,1
gke-sre-022-00078,2026-03-19,project-06,vertex-ai,asia-south1,staging,finops,cost,36.024,11.475,0.68,117.276,80.286,1
gke-sre-022-00079,2026-03-20,project-07,vertex-ai,asia-south1,prod,finops,reliability,92.642,6.725,0.558,116.852,84.687,1
gke-sre-022-00080,2026-03-21,project-11,bigquery,us-central1,prod,mlops,quality,38.581,9.949,0.446,86.275,64.909,1
gke-sre-022-00081,2026-03-22,project-13,compute,us-east1,dev,mlops,reliability,45.9,3.793,0.902,32.963,61.292,0
gke-sre-022-00082,2026-03-23,project-01,bigquery,us-east1,sandbox,mlops,quality,73.665,15.09,0.579,163.844,100,1
gke-sre-022-00083,2026-03-24,project-15,cloud-run,us-central1,sandbox,data,latency,23.008,6.614,0.487,53.504,48.333,0
gke-sre-022-00084,2026-03-25,project-23,bigquery,asia-south1,staging,mlops,latency,45.263,5.029,0.38,107.667,56.578,0
gke-sre-022-00085,2026-03-26,project-23,bigquery,europe-west1,dev,mlops,latency,34.276,11.869,0.795,15.073,69.714,0
gke-sre-022-00086,2026-03-27,project-22,compute,global,sandbox,finops,reliability,59.318,6.859,0.705,216.655,93.036,1
gke-sre-022-00087,2026-03-28,project-20,gke,asia-south1,prod,platform,quality,68.521,14.604,0.335,162.873,93.536,1
gke-sre-022-00088,2026-03-29,project-15,cloud-run,europe-west1,staging,security,quality,50.591,15.557,0.717,141.786,99.779,1
gke-sre-022-00089,2026-03-30,project-08,cloud-sql,us-east1,prod,security,security,93.894,15.152,0.695,88.938,100,1
gke-sre-022-00090,2026-03-31,project-05,gke,global,prod,platform,cost,66.268,4.12,0.576,74.243,63.794,0
gke-sre-022-00091,2026-04-01,project-18,vertex-ai,us-central1,dev,backend,cost,16.404,12.808,0.438,63.897,60.275,0
gke-sre-022-00092,2026-04-02,project-15,pubsub,global,prod,mlops,quality,77.138,8.168,0.649,154.568,91.313,1
gke-sre-022-00093,2026-04-03,project-24,bigquery,europe-west1,staging,data,latency,37.596,9.445,0.534,93.955,67.589,1
gke-sre-022-00094,2026-04-04,project-16,cloud-sql,global,dev,security,quality,33.291,11.005,0.296,35.765,52.906,0
gke-sre-022-00095,2026-04-05,project-17,cloud-sql,europe-west1,prod,finops,latency,56.666,15.749,0.551,196.267,100,1
gke-sre-022-00096,2026-04-06,project-02,cloud-sql,europe-west1,prod,platform,quality,75.764,5.017,0.557,149.791,79.563,1
gke-sre-022-00097,2026-04-07,project-09,cloud-sql,global,dev,finops,cost,52.552,10.697,0.83,82.247,84.397,1
gke-sre-022-00098,2026-04-08,project-12,vertex-ai,us-central1,prod,backend,reliability,49.669,9.017,0.428,41.208,59.413,0
gke-sre-022-00099,2026-04-09,project-19,cloud-run,us-east1,prod,mlops,latency,65.194,14.829,0.735,180.8,100,1
gke-sre-022-00100,2026-04-10,project-16,bigquery,us-east1,sandbox,mlops,cost,48.524,11.893,0.717,214.954,100,1
