record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,quality_issue
data-quality-048-00001,2026-01-01,project-15,vertex-ai,asia-south1,sandbox,backend,reliability,49.8,10.1,0.183,44.669,53.916,0
data-quality-048-00002,2026-01-02,project-17,bigquery,us-east1,prod,platform,reliability,53.057,5.415,0.695,202.482,85.059,1
data-quality-048-00003,2026-01-03,project-22,cloud-sql,us-east1,staging,platform,security,95.488,7.226,0.904,181.127,100,1
data-quality-048-00004,2026-01-04,project-01,cloud-sql,us-central1,prod,platform,quality,64.976,9.999,0.718,192.011,99.204,1
data-quality-048-00005,2026-01-05,project-18,gke,us-central1,sandbox,mlops,reliability,45.623,8.502,0.619,102.795,72.462,1
data-quality-048-00006,2026-01-06,project-07,cloud-run,asia-south1,prod,platform,reliability,45.085,9.416,0.745,148.135,85.428,1
data-quality-048-00007,2026-01-07,project-08,cloud-sql,us-central1,prod,security,security,66.741,10.563,0.622,59.571,78.464,1
data-quality-048-00008,2026-01-08,project-18,vertex-ai,global,dev,finops,quality,46.834,7.009,0.833,24.105,65.417,1
data-quality-048-00009,2026-01-09,project-02,cloud-sql,us-east1,staging,data,cost,39.916,10.499,0.686,121.553,80.205,1
data-quality-048-00010,2026-01-10,project-19,compute,us-central1,dev,data,cost,39.875,20.368,0.62,86.832,95.845,1
data-quality-048-00011,2026-01-11,project-01,cloud-sql,global,staging,platform,security,57.95,7.604,0.552,109.59,73.327,1
data-quality-048-00012,2026-01-12,project-20,pubsub,europe-west1,prod,platform,reliability,67.995,5.376,0.718,162.455,85.164,1
data-quality-048-00013,2026-01-13,project-20,compute,us-central1,prod,security,cost,98.801,8.016,0.369,207.283,96.428,1
data-quality-048-00014,2026-01-14,project-10,cloud-run,asia-south1,dev,security,security,65.317,14.665,0.531,142.002,96.373,1
data-quality-048-00015,2026-01-15,project-21,vertex-ai,global,prod,platform,cost,45.695,13.85,0.456,161.333,87.798,1
data-quality-048-00016,2026-01-16,project-16,vertex-ai,global,prod,data,security,70.89,8.982,0.867,155.351,98.77,1
data-quality-048-00017,2026-01-17,project-24,cloud-run,global,dev,data,reliability,37.853,7.786,0.579,93.64,65.337,0
data-quality-048-00018,2026-01-18,project-18,cloud-run,us-east1,sandbox,security,reliability,16.697,4.943,0.386,103.75,46.018,0
data-quality-048-00019,2026-01-19,project-09,compute,europe-west1,prod,mlops,reliability,74.935,7.559,0.541,42.821,69.045,0
data-quality-048-00020,2026-01-20,project-06,bigquery,us-east1,prod,data,cost,71.371,22.744,0.35,234.791,100,1
data-quality-048-00021,2026-01-21,project-06,pubsub,global,dev,finops,cost,27.575,12.638,0.64,150.964,83.556,1
data-quality-048-00022,2026-01-22,project-17,cloud-run,us-central1,staging,platform,quality,21.176,4.641,0.638,143.504,61.498,0
data-quality-048-00023,2026-01-23,project-23,gke,global,staging,finops,cost,28.521,5.873,0.544,86.467,55.336,0
data-quality-048-00024,2026-01-24,project-14,pubsub,us-east1,prod,finops,latency,83.679,11.884,0.521,66.008,84.878,1
data-quality-048-00025,2026-01-25,project-21,gke,us-central1,prod,security,security,49.155,6.233,0.358,79.312,55.844,0
data-quality-048-00026,2026-01-26,project-19,bigquery,us-central1,dev,security,reliability,58.566,6.477,0.388,85.469,61.655,0
data-quality-048-00027,2026-01-27,project-23,cloud-run,europe-west1,prod,platform,reliability,79.34,6.072,0.466,207.458,88.501,1
data-quality-048-00028,2026-01-28,project-09,cloud-run,global,sandbox,platform,latency,47.399,4.778,0.412,173.536,67.466,0
data-quality-048-00029,2026-01-29,project-04,gke,us-east1,dev,security,latency,54.615,7.369,0.697,15.214,62.923,1
data-quality-048-00030,2026-01-30,project-20,gke,global,prod,platform,security,71.914,9.325,0.664,58.366,78.68,1
data-quality-048-00031,2026-01-31,project-23,compute,us-east1,staging,finops,latency,51.179,9.073,0.4,61.753,62.089,0
data-quality-048-00032,2026-02-01,project-22,vertex-ai,asia-south1,staging,platform,quality,65.267,9.605,0.776,85.802,84.928,1
data-quality-048-00033,2026-02-02,project-17,vertex-ai,global,prod,finops,latency,49.257,4.86,0.776,71.004,66.095,1
data-quality-048-00034,2026-02-03,project-12,cloud-run,europe-west1,sandbox,finops,reliability,18.641,4.882,0.636,104.411,55.402,0
data-quality-048-00035,2026-02-04,project-12,gke,us-east1,staging,backend,latency,58.645,11.375,0.654,161.417,93.497,1
data-quality-048-00036,2026-02-05,project-05,pubsub,global,prod,mlops,security,79.835,6.476,0.582,143.574,84.361,1
data-quality-048-00037,2026-02-06,project-24,gke,us-east1,prod,finops,latency,56.449,8.049,0.459,108.048,70.36,1
data-quality-048-00038,2026-02-07,project-02,vertex-ai,global,sandbox,backend,reliability,51.48,10.08,0.574,17.518,64.183,0
data-quality-048-00039,2026-02-08,project-10,bigquery,us-central1,prod,backend,security,59.629,5.35,0.395,181.631,73.666,0
data-quality-048-00040,2026-02-09,project-11,vertex-ai,us-east1,prod,data,reliability,79.207,9.352,0.305,116.631,77.227,1
data-quality-048-00041,2026-02-10,project-24,cloud-run,us-central1,prod,platform,reliability,79.08,5.044,0.555,100.382,73.511,0
data-quality-048-00042,2026-02-11,project-09,cloud-run,global,staging,backend,latency,62.912,11.749,0.514,245.577,100,1
data-quality-048-00043,2026-02-12,project-06,gke,global,prod,finops,reliability,48.753,9.953,0.562,125.394,78.244,1
data-quality-048-00044,2026-02-13,project-22,vertex-ai,global,prod,finops,cost,69.951,10.192,0.422,208.161,93.391,1
data-quality-048-00045,2026-02-14,project-18,bigquery,us-central1,sandbox,finops,quality,45.484,7.269,0.544,77.212,63.18,1
data-quality-048-00046,2026-02-15,project-24,cloud-run,asia-south1,sandbox,security,quality,47.006,11.026,0.514,0.0,60.169,0
data-quality-048-00047,2026-02-16,project-07,bigquery,us-east1,prod,platform,reliability,51.965,4.364,0.597,160.322,72.646,1
data-quality-048-00048,2026-02-17,project-08,gke,europe-west1,prod,finops,quality,43.769,16.977,0.515,30.728,77.438,1
data-quality-048-00049,2026-02-18,project-17,cloud-sql,global,sandbox,security,reliability,36.062,9.991,0.554,32.987,60.135,0
data-quality-048-00050,2026-02-19,project-14,vertex-ai,us-east1,prod,finops,reliability,59.53,13.696,0.483,94.278,83.447,1
data-quality-048-00051,2026-02-20,project-21,cloud-run,asia-south1,dev,mlops,latency,44.11,5.048,0.43,167.161,66.645,0
data-quality-048-00052,2026-02-21,project-16,vertex-ai,europe-west1,staging,platform,quality,37.615,10.226,0.409,40.192,57.202,0
data-quality-048-00053,2026-02-22,project-20,compute,asia-south1,prod,security,latency,69.055,13.316,0.662,118.741,95.726,1
data-quality-048-00054,2026-02-23,project-21,pubsub,asia-south1,prod,data,cost,47.629,4.705,0.593,0.0,48.403,0
data-quality-048-00055,2026-02-24,project-01,compute,asia-south1,prod,platform,quality,33.219,11.974,0.34,0.0,51.466,0
data-quality-048-00056,2026-02-25,project-12,vertex-ai,asia-south1,sandbox,data,reliability,16.807,6.418,0.67,146.0,65.599,1
data-quality-048-00057,2026-02-26,project-13,compute,global,prod,finops,security,109.825,6.811,0.821,57.313,91.424,1
data-quality-048-00058,2026-02-27,project-14,pubsub,global,staging,platform,security,59.482,12.007,0.545,121.635,85.648,1
data-quality-048-00059,2026-02-28,project-18,cloud-sql,asia-south1,prod,backend,security,58.891,5.737,0.606,86.301,67.794,1
data-quality-048-00060,2026-03-01,project-05,vertex-ai,global,dev,security,security,27.688,26.311,0.548,202.268,100,1
data-quality-048-00061,2026-03-02,project-23,pubsub,us-central1,sandbox,backend,security,33.403,11.654,0.537,103.407,72.759,1
data-quality-048-00062,2026-03-03,project-20,pubsub,us-east1,dev,mlops,quality,32.025,8.774,0.369,77.646,55.92,0
data-quality-048-00063,2026-03-04,project-24,bigquery,europe-west1,prod,mlops,cost,80.892,11.689,0.577,6.025,76.66,1
data-quality-048-00064,2026-03-05,project-12,cloud-sql,us-east1,sandbox,finops,security,64.546,5.39,0.776,108.867,78.204,1
data-quality-048-00065,2026-03-06,project-19,vertex-ai,asia-south1,sandbox,security,quality,44.149,6.51,0.996,77.681,76.831,0
data-quality-048-00066,2026-03-07,project-05,compute,asia-south1,staging,data,latency,72.181,22.302,0.34,124.875,100,1
data-quality-048-00067,2026-03-08,project-24,pubsub,us-central1,prod,mlops,quality,73.578,3.567,0.679,122.186,75.659,1
data-quality-048-00068,2026-03-09,project-18,cloud-sql,us-central1,sandbox,mlops,security,19.815,3.738,0.66,139.806,59.146,0
data-quality-048-00069,2026-03-10,project-07,cloud-sql,europe-west1,prod,security,security,73.648,10.819,0.435,118.148,83.476,1
data-quality-048-00070,2026-03-11,project-15,gke,us-central1,dev,finops,security,58.673,15.647,0.863,183.171,100,1
data-quality-048-00071,2026-03-12,project-10,compute,us-central1,staging,finops,reliability,50.511,14.582,0.899,23.587,86.608,1
data-quality-048-00072,2026-03-13,project-16,bigquery,europe-west1,dev,platform,reliability,15.333,3.48,0.598,77.965,45.786,0
data-quality-048-00073,2026-03-14,project-12,compute,europe-west1,prod,data,reliability,57.393,5.89,0.755,127.785,78.891,1
