record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,cost_anomaly
gcp-cost-051-00001,2026-01-01,project-18,bigquery,asia-south1,dev,data,reliability,55.869,12.258,0.622,134.168,89.492,1
gcp-cost-051-00002,2026-01-02,project-02,cloud-sql,us-east1,sandbox,platform,cost,53.186,13.557,0.387,144.126,84.811,1
gcp-cost-051-00003,2026-01-03,project-16,compute,us-central1,dev,finops,cost,43.623,5.638,0.678,25.635,55.892,0
gcp-cost-051-00004,2026-01-04,project-13,vertex-ai,asia-south1,staging,platform,reliability,0.0,3.055,0.849,217.954,68.628,0
gcp-cost-051-00005,2026-01-05,project-05,pubsub,asia-south1,prod,security,cost,90.968,3.918,0.502,133.705,78.049,1
gcp-cost-051-00006,2026-01-06,project-19,vertex-ai,us-central1,sandbox,mlops,cost,32.911,7.803,0.477,72.097,56.935,0
gcp-cost-051-00007,2026-01-07,project-10,bigquery,europe-west1,prod,backend,quality,52.287,10.906,0.624,128.699,84.356,1
gcp-cost-051-00008,2026-01-08,project-13,compute,europe-west1,staging,mlops,security,28.823,4.873,0.777,96.774,62.766,0
gcp-cost-051-00009,2026-01-09,project-04,bigquery,us-central1,prod,finops,reliability,70.583,4.416,0.508,93.748,66.46,0
gcp-cost-051-00010,2026-01-10,project-05,compute,europe-west1,staging,data,security,20.495,9.683,0.619,84.696,63.783,1
gcp-cost-051-00011,2026-01-11,project-13,compute,europe-west1,sandbox,backend,reliability,18.882,10.867,0.698,102.412,71.33,1
gcp-cost-051-00012,2026-01-12,project-11,gke,us-central1,prod,mlops,reliability,87.713,8.133,0.273,215.88,90.714,1
gcp-cost-051-00013,2026-01-13,project-08,pubsub,global,prod,finops,security,61.472,13.389,0.341,190.319,92.446,1
gcp-cost-051-00014,2026-01-14,project-18,compute,global,prod,platform,latency,60.836,13.584,0.582,122.116,91.167,1
gcp-cost-051-00015,2026-01-15,project-13,cloud-run,asia-south1,staging,backend,reliability,49.739,7.868,0.59,128.287,75.126,0
gcp-cost-051-00016,2026-01-16,project-07,cloud-sql,us-central1,sandbox,security,cost,50.083,8.544,0.275,210.476,77.784,0
gcp-cost-051-00017,2026-01-17,project-20,bigquery,global,prod,data,quality,67.51,9.467,0.876,122.387,94.226,1
gcp-cost-051-00018,2026-01-18,project-01,pubsub,us-central1,sandbox,finops,cost,20.599,6.622,0.858,33.708,57.607,0
gcp-cost-051-00019,2026-01-19,project-14,cloud-sql,us-central1,prod,mlops,quality,60.836,20.835,0.566,132.023,100,1
gcp-cost-051-00020,2026-01-20,project-07,cloud-run,us-central1,staging,security,latency,52.172,7.131,0.93,53.328,75.226,0
gcp-cost-051-00021,2026-01-21,project-02,pubsub,europe-west1,dev,mlops,quality,64.678,4.16,0.401,144.225,67.412,1
gcp-cost-051-00022,2026-01-22,project-11,pubsub,asia-south1,prod,security,reliability,89.673,14.501,0.709,135.841,100,1
gcp-cost-051-00023,2026-01-23,project-11,cloud-run,us-east1,dev,finops,security,23.6,5.18,0.586,144.673,61.955,0
gcp-cost-051-00024,2026-01-24,project-22,gke,global,dev,platform,reliability,69.369,4.378,0.512,133.757,71.921,0
gcp-cost-051-00025,2026-01-25,project-13,bigquery,us-central1,staging,backend,reliability,28.402,14.703,0.297,159.493,77.902,1
gcp-cost-051-00026,2026-01-26,project-19,pubsub,us-central1,prod,security,quality,86.442,5.098,1.003,53.248,85.02,1
gcp-cost-051-00027,2026-01-27,project-22,cloud-sql,us-central1,prod,platform,quality,65.085,12.007,0.838,229.461,100,1
gcp-cost-051-00028,2026-01-28,project-05,compute,us-central1,prod,security,security,55.996,5.048,0.275,5.441,41.796,0
gcp-cost-051-00029,2026-01-29,project-18,pubsub,asia-south1,staging,finops,security,29.731,10.139,0.525,156.132,75.208,1
gcp-cost-051-00030,2026-01-30,project-12,compute,us-central1,prod,platform,cost,75.49,9.669,0.474,41.397,71.61,1
gcp-cost-051-00031,2026-01-31,project-21,gke,us-east1,sandbox,finops,reliability,30.78,11.328,0.417,34.22,56.79,0
gcp-cost-051-00032,2026-02-01,project-08,pubsub,us-central1,dev,finops,reliability,58.393,5.438,0.342,116.848,62.137,0
gcp-cost-051-00033,2026-02-02,project-21,cloud-sql,asia-south1,prod,mlops,cost,84.858,23.476,0.267,170.058,100,1
gcp-cost-051-00034,2026-02-03,project-23,gke,us-central1,prod,finops,reliability,103.962,24.767,0.701,179.578,100,1
gcp-cost-051-00035,2026-02-04,project-17,cloud-sql,us-east1,prod,backend,reliability,69.498,12.792,0.334,114.184,82.514,1
gcp-cost-051-00036,2026-02-05,project-11,compute,us-east1,prod,platform,quality,60.314,7.996,0.511,192.791,85.768,1
gcp-cost-051-00037,2026-02-06,project-11,compute,europe-west1,dev,mlops,latency,30.283,14.013,0.641,58.127,74.208,1
gcp-cost-051-00038,2026-02-07,project-06,vertex-ai,global,prod,platform,quality,42.498,7.385,0.552,94.62,65.225,0
gcp-cost-051-00039,2026-02-08,project-12,vertex-ai,us-central1,dev,mlops,latency,44.53,12.204,0.582,106.609,79.979,1
gcp-cost-051-00040,2026-02-09,project-12,cloud-sql,europe-west1,prod,security,security,60.529,10.279,0.826,111.304,90.311,1
gcp-cost-051-00041,2026-02-10,project-13,pubsub,us-east1,prod,data,security,67.57,17.128,0.397,127.671,96.129,1
gcp-cost-051-00042,2026-02-11,project-01,vertex-ai,global,staging,finops,reliability,47.238,6.695,0.432,103.298,62.339,1
gcp-cost-051-00043,2026-02-12,project-02,compute,europe-west1,staging,finops,latency,42.814,7.569,0.537,139.939,71.849,1
gcp-cost-051-00044,2026-02-13,project-01,cloud-sql,asia-south1,dev,mlops,quality,33.169,10.487,0.59,63.462,65.984,1
gcp-cost-051-00045,2026-02-14,project-08,cloud-sql,us-central1,sandbox,backend,quality,43.409,12.64,0.547,122.312,81.669,1
gcp-cost-051-00046,2026-02-15,project-14,vertex-ai,us-east1,dev,platform,security,48.328,9.326,0.76,118.314,82.53,1
gcp-cost-051-00047,2026-02-16,project-02,pubsub,europe-west1,dev,data,security,25.933,13.424,0.453,133.735,75.757,1
gcp-cost-051-00048,2026-02-17,project-23,vertex-ai,asia-south1,dev,platform,security,61.511,10.581,0.89,166.589,100,1
gcp-cost-051-00049,2026-02-18,project-03,bigquery,global,staging,platform,cost,39.887,10.23,0.823,132.833,86.007,1
gcp-cost-051-00050,2026-02-19,project-22,bigquery,asia-south1,staging,platform,cost,12.912,6.279,0.675,142.344,63.554,0
gcp-cost-051-00051,2026-02-20,project-06,cloud-sql,europe-west1,prod,mlops,cost,34.418,6.055,0.78,94.442,67.247,1
gcp-cost-051-00052,2026-02-21,project-24,cloud-sql,global,dev,platform,cost,79.607,9.375,0.363,106.463,77.968,1
gcp-cost-051-00053,2026-02-22,project-12,cloud-sql,us-east1,prod,finops,cost,47.204,16.634,0.504,74.369,83.82,1
gcp-cost-051-00054,2026-02-23,project-17,gke,global,staging,backend,quality,7.782,11.298,0.513,60.318,55.837,0
gcp-cost-051-00055,2026-02-24,project-23,gke,us-central1,prod,platform,security,78.014,7.438,0.534,168.879,87.978,1
gcp-cost-051-00056,2026-02-25,project-23,pubsub,asia-south1,dev,mlops,quality,56.881,7.84,0.282,124.263,66.193,0
gcp-cost-051-00057,2026-02-26,project-10,bigquery,us-east1,dev,data,reliability,65.346,7.399,0.664,120.926,81.01,1
gcp-cost-051-00058,2026-02-27,project-16,compute,europe-west1,staging,platform,quality,64.489,12.351,0.249,183.67,86.89,1
