record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,quality_issue
data-quality-038-00001,2026-01-01,project-21,vertex-ai,us-central1,sandbox,security,quality,29.035,11.436,0.248,104.52,60.769,0
data-quality-038-00002,2026-01-02,project-18,cloud-run,europe-west1,prod,data,latency,31.526,9.25,0.948,93.461,79.427,1
data-quality-038-00003,2026-01-03,project-11,compute,us-central1,prod,data,quality,23.428,12.555,0.883,112.246,84.769,1
data-quality-038-00004,2026-01-04,project-14,gke,global,dev,backend,security,22.238,8.511,0.784,143.747,76.045,1
data-quality-038-00005,2026-01-05,project-08,compute,asia-south1,prod,platform,security,56.756,11.988,0.637,89.319,83.157,1
data-quality-038-00006,2026-01-06,project-19,vertex-ai,us-east1,dev,finops,quality,70.452,11.283,0.414,33.417,70.349,1
data-quality-038-00007,2026-01-07,project-13,bigquery,asia-south1,dev,backend,quality,59.494,7.369,0.505,227.077,88.808,1
data-quality-038-00008,2026-01-08,project-17,compute,europe-west1,sandbox,backend,cost,40.995,4.973,0.624,280.245,88.661,1
data-quality-038-00009,2026-01-09,project-21,bigquery,us-central1,sandbox,backend,cost,46.095,4.282,0.358,189.298,66.261,0
data-quality-038-00010,2026-01-10,project-18,vertex-ai,global,prod,platform,cost,67.126,8.559,0.594,105.238,79.602,1
data-quality-038-00011,2026-01-11,project-23,vertex-ai,europe-west1,prod,backend,reliability,92.707,13.441,1.089,24.78,100,1
data-quality-038-00012,2026-01-12,project-16,compute,global,dev,data,quality,22.835,7.785,0.709,120.391,68.529,0
data-quality-038-00013,2026-01-13,project-07,pubsub,us-east1,prod,platform,security,65.411,10.191,0.586,63.322,76.417,1
data-quality-038-00014,2026-01-14,project-12,gke,global,dev,backend,latency,31.716,10.056,0.683,42.767,64.706,0
data-quality-038-00015,2026-01-15,project-18,gke,us-east1,prod,mlops,security,62.711,6.302,0.659,91.52,73.065,0
data-quality-038-00016,2026-01-16,project-04,vertex-ai,europe-west1,sandbox,platform,cost,32.763,5.092,0.608,33.826,49.561,0
data-quality-038-00017,2026-01-17,project-12,bigquery,europe-west1,prod,platform,reliability,11.926,11.413,0.532,138.04,69.555,1
data-quality-038-00018,2026-01-18,project-13,cloud-run,asia-south1,dev,mlops,latency,39.478,13.923,0.711,63.943,80.514,1
data-quality-038-00019,2026-01-19,project-24,bigquery,europe-west1,prod,platform,quality,40.666,12.064,0.438,156.931,80.598,1
data-quality-038-00020,2026-01-20,project-09,compute,global,sandbox,platform,latency,70.034,9.888,0.605,142.628,89.559,1
data-quality-038-00021,2026-01-21,project-24,cloud-run,us-east1,dev,platform,reliability,64.297,7.139,0.425,157.89,77.062,1
data-quality-038-00022,2026-01-22,project-13,cloud-sql,us-east1,prod,mlops,security,65.429,14.275,0.77,95.937,97.149,1
data-quality-038-00023,2026-01-23,project-21,cloud-run,europe-west1,staging,finops,latency,54.96,8.703,0.675,97.055,77.322,1
