record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,pipeline_failed
devops-ci-046-00001,2026-01-01,project-06,compute,asia-south1,dev,data,cost,36.954,6.969,0.761,160.084,79.175,1
devops-ci-046-00002,2026-01-02,project-22,bigquery,asia-south1,prod,security,latency,51.291,5.466,0.441,132.007,65.392,0
devops-ci-046-00003,2026-01-03,project-12,pubsub,us-central1,prod,finops,latency,66.713,6.171,0.498,150.856,77.178,0
devops-ci-046-00004,2026-01-04,project-13,cloud-sql,europe-west1,prod,data,cost,37.64,5.284,0.71,74.262,61.183,0
devops-ci-046-00005,2026-01-05,project-23,pubsub,asia-south1,sandbox,security,security,31.956,13.587,0.581,99.266,77.699,1
devops-ci-046-00006,2026-01-06,project-22,cloud-run,europe-west1,sandbox,finops,reliability,54.613,16.594,0.256,132.188,86.071,1
devops-ci-046-00007,2026-01-07,project-12,compute,us-east1,staging,platform,security,78.59,4.854,0.44,130.3,73.235,1
devops-ci-046-00008,2026-01-08,project-06,bigquery,us-central1,prod,security,reliability,58.296,10.109,0.459,22.241,63.3,0
devops-ci-046-00009,2026-01-09,project-16,gke,europe-west1,sandbox,security,latency,38.678,3.945,0.866,170.521,77.92,1
devops-ci-046-00010,2026-01-10,project-20,pubsub,us-central1,staging,platform,cost,24.996,13.639,0.545,100.019,74.234,1
devops-ci-046-00011,2026-01-11,project-11,pubsub,asia-south1,staging,mlops,reliability,76.061,8.161,0.3,259.73,94.041,1
devops-ci-046-00012,2026-01-12,project-01,cloud-sql,us-east1,prod,finops,reliability,50.042,12.258,0.588,79.046,78.224,1
devops-ci-046-00013,2026-01-13,project-16,gke,us-central1,prod,backend,reliability,50.81,14.705,0.385,148.823,87.274,1
devops-ci-046-00014,2026-01-14,project-02,cloud-run,us-central1,staging,security,cost,51.574,6.104,0.426,133.282,66.641,0
devops-ci-046-00015,2026-01-15,project-14,vertex-ai,us-central1,sandbox,finops,security,49.249,10.487,0.412,113.372,72.66,1
devops-ci-046-00016,2026-01-16,project-24,cloud-run,global,staging,finops,reliability,36.778,6.0,0.417,203.967,71.212,1
devops-ci-046-00017,2026-01-17,project-24,pubsub,asia-south1,prod,mlops,cost,91.186,29.706,0.831,152.744,100,1
devops-ci-046-00018,2026-01-18,project-06,gke,us-east1,prod,platform,quality,33.771,3.602,0.49,68.217,47.323,0
devops-ci-046-00019,2026-01-19,project-23,bigquery,us-central1,prod,platform,reliability,75.308,4.313,0.962,69.413,80.214,1
devops-ci-046-00020,2026-01-20,project-09,gke,global,prod,security,quality,71.286,5.812,0.584,173.097,84.195,1
devops-ci-046-00021,2026-01-21,project-04,bigquery,us-east1,staging,platform,quality,59.27,16.493,0.529,111.246,93.967,1
devops-ci-046-00022,2026-01-22,project-01,bigquery,us-east1,prod,backend,cost,70.352,3.166,0.676,171.79,80.723,1
devops-ci-046-00023,2026-01-23,project-07,pubsub,global,prod,finops,quality,80.394,12.041,0.451,171.009,96.957,1
devops-ci-046-00024,2026-01-24,project-01,vertex-ai,global,dev,finops,latency,33.025,6.149,0.629,110.957,64.103,1
devops-ci-046-00025,2026-01-25,project-02,compute,europe-west1,prod,mlops,cost,75.181,12.109,0.624,97.063,90.563,1
devops-ci-046-00026,2026-01-26,project-14,cloud-sql,us-east1,staging,data,cost,46.789,12.372,0.275,148.372,76.507,1
devops-ci-046-00027,2026-01-27,project-04,vertex-ai,us-central1,dev,security,quality,29.431,17.635,0.76,17.553,80.609,1
devops-ci-046-00028,2026-01-28,project-20,cloud-run,asia-south1,sandbox,finops,latency,34.57,16.706,0.495,225.415,100,1
devops-ci-046-00029,2026-01-29,project-11,gke,global,prod,data,cost,63.48,9.716,0.717,150.284,91.9,1
devops-ci-046-00030,2026-01-30,project-10,bigquery,europe-west1,sandbox,backend,reliability,52.782,5.894,0.415,97.534,60.975,0
devops-ci-046-00031,2026-01-31,project-11,vertex-ai,us-central1,dev,platform,cost,39.084,4.647,0.594,154.108,67.786,1
devops-ci-046-00032,2026-02-01,project-02,compute,europe-west1,sandbox,backend,reliability,59.596,7.891,0.524,49.003,64.757,1
devops-ci-046-00033,2026-02-02,project-15,cloud-run,europe-west1,staging,data,security,0.0,7.834,0.678,136.233,61.877,0
devops-ci-046-00034,2026-02-03,project-03,bigquery,asia-south1,dev,security,cost,45.817,10.699,0.554,174.344,85.815,1
devops-ci-046-00035,2026-02-04,project-22,gke,global,staging,platform,quality,41.604,7.653,0.565,81.699,64.108,0
devops-ci-046-00036,2026-02-05,project-12,cloud-sql,global,dev,data,latency,26.807,12.158,0.565,185.212,84.536,1
devops-ci-046-00037,2026-02-06,project-19,compute,europe-west1,prod,finops,quality,64.422,8.792,0.555,208.155,92.843,1
devops-ci-046-00038,2026-02-07,project-17,bigquery,us-east1,prod,mlops,quality,65.951,9.363,0.382,163.836,82.193,1
devops-ci-046-00039,2026-02-08,project-06,compute,asia-south1,prod,security,latency,65.861,28.905,0.222,94.123,100,1
devops-ci-046-00040,2026-02-09,project-14,vertex-ai,us-central1,prod,platform,cost,62.969,6.226,0.579,156.904,79.713,1
devops-ci-046-00041,2026-02-10,project-12,cloud-run,asia-south1,staging,security,latency,65.563,12.017,0.302,130.947,80.653,1
devops-ci-046-00042,2026-02-11,project-17,vertex-ai,us-east1,sandbox,finops,quality,46.148,8.478,0.755,114.128,79.002,1
devops-ci-046-00043,2026-02-12,project-02,vertex-ai,us-east1,dev,backend,latency,31.478,5.404,0.377,148.43,58.468,0
devops-ci-046-00044,2026-02-13,project-14,gke,asia-south1,dev,data,reliability,61.064,12.675,0.295,97.562,75.5,0
devops-ci-046-00045,2026-02-14,project-22,cloud-sql,asia-south1,dev,finops,latency,14.855,4.819,0.701,42.31,47.149,0
devops-ci-046-00046,2026-02-15,project-05,cloud-run,us-east1,sandbox,data,security,52.19,11.204,0.599,7.552,66.475,0
devops-ci-046-00047,2026-02-16,project-13,vertex-ai,asia-south1,prod,platform,reliability,65.208,8.614,0.398,97.475,71.067,1
devops-ci-046-00048,2026-02-17,project-21,pubsub,global,sandbox,mlops,latency,45.726,9.014,0.757,29.883,67.89,1
devops-ci-046-00049,2026-02-18,project-03,cloud-sql,asia-south1,prod,platform,cost,59.946,18.816,0.393,267.58,100,1
devops-ci-046-00050,2026-02-19,project-07,pubsub,asia-south1,prod,data,quality,45.709,12.536,0.676,119.281,86.304,1
devops-ci-046-00051,2026-02-20,project-09,compute,us-central1,prod,finops,cost,53.176,10.135,0.242,180.745,77.089,1
devops-ci-046-00052,2026-02-21,project-05,cloud-sql,asia-south1,dev,security,security,74.775,9.389,0.348,123.748,78.306,1
devops-ci-046-00053,2026-02-22,project-04,cloud-sql,us-central1,sandbox,finops,latency,40.411,8.088,0.789,113.172,77.135,0
devops-ci-046-00054,2026-02-23,project-21,pubsub,asia-south1,staging,finops,latency,70.409,8.454,0.461,132.809,79.872,1
devops-ci-046-00055,2026-02-24,project-05,pubsub,asia-south1,staging,platform,latency,10.168,5.16,0.548,249.34,71.141,1
devops-ci-046-00056,2026-02-25,project-10,compute,europe-west1,dev,backend,reliability,72.745,6.72,0.624,203.049,92.592,1
devops-ci-046-00057,2026-02-26,project-23,cloud-sql,us-central1,staging,backend,cost,65.784,10.063,0.694,185.883,97.903,1
devops-ci-046-00058,2026-02-27,project-10,gke,us-central1,prod,mlops,quality,63.228,6.846,0.592,115.314,75.64,1
devops-ci-046-00059,2026-02-28,project-21,pubsub,us-central1,prod,data,cost,60.1,14.147,0.509,130.241,90.853,1
devops-ci-046-00060,2026-03-01,project-15,cloud-sql,global,staging,security,quality,42.208,15.732,0.666,123.206,92.758,1
devops-ci-046-00061,2026-03-02,project-10,vertex-ai,us-east1,prod,platform,quality,58.353,9.581,1.058,184.624,100,1
devops-ci-046-00062,2026-03-03,project-08,gke,asia-south1,staging,backend,latency,71.392,14.549,0.532,0.0,77.555,1
devops-ci-046-00063,2026-03-04,project-16,gke,global,dev,security,cost,31.873,7.032,0.739,46.177,60.163,1
devops-ci-046-00064,2026-03-05,project-03,bigquery,us-east1,prod,platform,cost,68.06,12.634,0.561,70.509,83.218,1
devops-ci-046-00065,2026-03-06,project-21,vertex-ai,us-central1,sandbox,security,latency,59.812,5.618,0.738,144.162,80.896,1
devops-ci-046-00066,2026-03-07,project-20,vertex-ai,asia-south1,prod,platform,latency,60.512,7.798,0.685,77.916,74.712,0
devops-ci-046-00067,2026-03-08,project-19,cloud-run,us-east1,dev,security,security,48.752,6.833,0.34,163.812,68.796,0
devops-ci-046-00068,2026-03-09,project-19,pubsub,us-central1,prod,platform,reliability,40.434,8.323,0.357,136.261,65.939,1
devops-ci-046-00069,2026-03-10,project-17,cloud-run,asia-south1,dev,security,security,46.863,16.352,0.352,130.397,85.893,1
devops-ci-046-00070,2026-03-11,project-19,bigquery,global,prod,finops,security,43.815,5.877,0.386,113.112,59.054,0
devops-ci-046-00071,2026-03-12,project-18,vertex-ai,asia-south1,dev,backend,reliability,27.058,18.16,0.464,129.326,86.944,1
devops-ci-046-00072,2026-03-13,project-22,cloud-sql,asia-south1,prod,backend,security,87.842,3.147,0.462,137.775,74.35,1
devops-ci-046-00073,2026-03-14,project-08,pubsub,europe-west1,prod,mlops,latency,63.217,11.198,0.499,106.136,81.198,1
devops-ci-046-00074,2026-03-15,project-05,pubsub,asia-south1,dev,data,cost,34.073,16.962,0.277,90.8,74.44,1
devops-ci-046-00075,2026-03-16,project-03,gke,us-central1,prod,finops,cost,54.642,11.52,0.22,182.049,80.254,1
devops-ci-046-00076,2026-03-17,project-07,bigquery,us-east1,dev,data,latency,58.86,3.715,0.878,183.527,86.764,1
devops-ci-046-00077,2026-03-18,project-23,gke,global,prod,finops,cost,69.88,8.334,0.611,65.464,74.836,1
devops-ci-046-00078,2026-03-19,project-23,gke,us-east1,sandbox,data,cost,65.409,6.211,0.503,130.73,74.055,1
devops-ci-046-00079,2026-03-20,project-12,pubsub,us-east1,sandbox,backend,latency,60.912,3.498,0.289,118.346,56.855,0
devops-ci-046-00080,2026-03-21,project-17,cloud-sql,europe-west1,dev,backend,reliability,36.827,9.782,0.614,55.996,65.37,1
devops-ci-046-00081,2026-03-22,project-22,compute,us-central1,dev,backend,quality,34.25,9.664,0.72,98.206,74.059,1
devops-ci-046-00082,2026-03-23,project-18,cloud-sql,global,dev,mlops,reliability,23.088,5.336,0.712,210.792,76.192,1
devops-ci-046-00083,2026-03-24,project-03,vertex-ai,us-central1,dev,platform,quality,55.157,4.376,0.512,162.408,71.12,0
devops-ci-046-00084,2026-03-25,project-08,cloud-sql,asia-south1,prod,platform,quality,41.055,4.911,0.725,104.253,66.407,0
devops-ci-046-00085,2026-03-26,project-12,cloud-run,us-east1,dev,backend,reliability,61.201,6.415,0.417,109.499,66.952,1
devops-ci-046-00086,2026-03-27,project-12,vertex-ai,us-central1,prod,data,security,95.001,8.886,0.82,119.146,100,1
devops-ci-046-00087,2026-03-28,project-02,pubsub,us-east1,dev,backend,reliability,70.708,5.273,0.706,103.174,76.808,1
devops-ci-046-00088,2026-03-29,project-01,vertex-ai,us-central1,staging,platform,cost,45.857,6.024,0.742,138.404,76.26,1
devops-ci-046-00089,2026-03-30,project-06,gke,asia-south1,sandbox,backend,quality,39.368,11.069,0.515,59.622,66.326,1
devops-ci-046-00090,2026-03-31,project-03,cloud-sql,asia-south1,prod,security,security,47.345,3.106,0.509,0.0,41.633,0
devops-ci-046-00091,2026-04-01,project-20,bigquery,us-east1,prod,finops,cost,61.784,5.731,0.625,129.479,75.754,1
devops-ci-046-00092,2026-04-02,project-01,bigquery,us-central1,dev,data,quality,62.63,5.116,0.829,124.612,81.045,1
devops-ci-046-00093,2026-04-03,project-10,cloud-sql,us-east1,dev,backend,quality,48.816,10.51,0.645,137.177,84.189,1
