record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,cost_anomaly
gcp-cost-061-00001,2026-01-01,project-03,pubsub,us-central1,prod,data,cost,65.653,5.486,0.929,161.818,91.893,1
gcp-cost-061-00002,2026-01-02,project-19,compute,us-east1,sandbox,finops,reliability,44.183,12.208,0.556,135.222,83.129,1
gcp-cost-061-00003,2026-01-03,project-22,bigquery,global,prod,mlops,latency,82.338,6.534,0.309,85.441,67.339,1
gcp-cost-061-00004,2026-01-04,project-11,gke,us-east1,prod,platform,security,65.682,4.132,0.596,170.71,78.385,1
gcp-cost-061-00005,2026-01-05,project-09,pubsub,global,prod,mlops,quality,76.361,9.359,0.658,112.996,88.073,1
gcp-cost-061-00006,2026-01-06,project-24,vertex-ai,global,prod,backend,cost,67.48,10.147,0.35,57.639,67.95,0
gcp-cost-061-00007,2026-01-07,project-19,compute,global,prod,platform,reliability,32.957,7.621,0.383,122.161,60.537,1
gcp-cost-061-00008,2026-01-08,project-15,pubsub,us-east1,prod,backend,reliability,83.464,13.339,0.34,129.473,91.118,1
gcp-cost-061-00009,2026-01-09,project-05,vertex-ai,europe-west1,sandbox,security,reliability,16.926,12.517,0.236,101.84,58.242,0
gcp-cost-061-00010,2026-01-10,project-08,cloud-run,europe-west1,prod,security,quality,86.017,8.297,0.448,128.551,83.893,1
gcp-cost-061-00011,2026-01-11,project-14,cloud-sql,europe-west1,prod,security,latency,77.675,6.579,0.299,105.238,68.349,1
gcp-cost-061-00012,2026-01-12,project-11,pubsub,us-central1,staging,security,security,69.126,8.228,0.414,176.406,83.609,1
gcp-cost-061-00013,2026-01-13,project-01,cloud-sql,europe-west1,prod,platform,security,58.373,13.734,0.327,119.997,81.421,1
gcp-cost-061-00014,2026-01-14,project-19,vertex-ai,global,prod,platform,latency,50.816,6.999,0.865,207.438,94.643,1
gcp-cost-061-00015,2026-01-15,project-20,pubsub,us-central1,prod,data,latency,53.5,13.317,0.626,67.365,81.532,1
gcp-cost-061-00016,2026-01-16,project-10,bigquery,us-central1,staging,backend,latency,32.328,3.44,0.332,136.994,50.94,0
gcp-cost-061-00017,2026-01-17,project-14,cloud-run,global,sandbox,platform,reliability,71.654,16.594,0.639,147.003,100,1
gcp-cost-061-00018,2026-01-18,project-11,cloud-sql,europe-west1,prod,security,security,53.135,6.011,0.576,69.27,62.885,1
gcp-cost-061-00019,2026-01-19,project-11,gke,europe-west1,sandbox,security,quality,77.601,12.818,0.234,79.78,76.894,1
