record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,budget_breach
finops-budget-099-00001,2026-01-01,project-19,compute,asia-south1,prod,mlops,security,71.146,33.013,0.563,157.474,100,1
finops-budget-099-00002,2026-01-02,project-09,vertex-ai,europe-west1,sandbox,backend,security,44.045,5.816,0.397,75.87,53.946,0
finops-budget-099-00003,2026-01-03,project-22,compute,global,sandbox,backend,reliability,43.421,8.328,0.664,161.902,81.48,1
finops-budget-099-00004,2026-01-04,project-02,cloud-run,asia-south1,prod,finops,quality,71.544,30.987,0.737,124.97,100,1
finops-budget-099-00005,2026-01-05,project-11,pubsub,global,staging,data,reliability,73.943,7.431,0.804,186.916,98.618,1
finops-budget-099-00006,2026-01-06,project-18,bigquery,asia-south1,staging,data,security,31.221,8.454,0.37,66.815,53.347,0
finops-budget-099-00007,2026-01-07,project-21,vertex-ai,us-central1,sandbox,backend,latency,7.252,7.039,0.618,135.96,60.42,1
finops-budget-099-00008,2026-01-08,project-04,vertex-ai,asia-south1,staging,mlops,latency,43.314,14.76,0.327,155.963,83.79,1
finops-budget-099-00009,2026-01-09,project-17,vertex-ai,us-central1,prod,finops,cost,92.541,21.363,0.523,39.083,100,1
finops-budget-099-00010,2026-01-10,project-20,bigquery,global,prod,finops,reliability,101.105,10.447,0.545,110.2,94.909,1
finops-budget-099-00011,2026-01-11,project-22,vertex-ai,us-east1,sandbox,security,latency,40.563,8.498,0.621,137.312,75.785,1
finops-budget-099-00012,2026-01-12,project-15,cloud-run,europe-west1,staging,mlops,cost,52.221,14.126,0.492,68.895,78.505,1
finops-budget-099-00013,2026-01-13,project-18,gke,europe-west1,dev,data,cost,18.718,7.683,0.583,163.704,68.757,1
finops-budget-099-00014,2026-01-14,project-16,cloud-sql,us-east1,prod,backend,cost,65.715,5.524,0.598,80.968,68.627,1
finops-budget-099-00015,2026-01-15,project-13,cloud-sql,us-central1,prod,backend,reliability,84.231,5.498,0.575,126.9,80.941,1
finops-budget-099-00016,2026-01-16,project-08,vertex-ai,us-east1,dev,mlops,quality,75.607,8.879,0.735,76.772,84.101,1
finops-budget-099-00017,2026-01-17,project-01,pubsub,europe-west1,dev,platform,reliability,46.473,12.1,0.613,90.025,79.083,1
