record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,cost_anomaly
gcp-cost-031-00001,2026-01-01,project-08,vertex-ai,us-east1,staging,data,quality,92.113,8.665,0.804,173.345,100,1
gcp-cost-031-00002,2026-01-02,project-24,vertex-ai,europe-west1,sandbox,security,cost,37.899,7.462,0.673,120.195,71.759,0
gcp-cost-031-00003,2026-01-03,project-11,bigquery,us-east1,dev,data,latency,29.968,8.47,0.811,26.923,62.563,0
gcp-cost-031-00004,2026-01-04,project-08,cloud-run,global,dev,security,cost,63.738,16.815,0.697,69.664,96.098,1
gcp-cost-031-00005,2026-01-05,project-05,vertex-ai,asia-south1,sandbox,data,reliability,50.288,10.85,0.502,143.756,81.452,1
gcp-cost-031-00006,2026-01-06,project-21,cloud-run,europe-west1,prod,finops,latency,41.318,10.686,0.538,85.6,70.709,1
gcp-cost-031-00007,2026-01-07,project-08,compute,asia-south1,prod,finops,reliability,87.386,6.12,0.562,126.185,82.937,1
gcp-cost-031-00008,2026-01-08,project-21,gke,us-central1,dev,platform,reliability,49.02,13.054,0.112,175.38,77.113,1
gcp-cost-031-00009,2026-01-09,project-22,gke,global,prod,finops,security,65.4,5.249,0.613,89.91,69.705,1
gcp-cost-031-00010,2026-01-10,project-11,compute,asia-south1,prod,data,security,75.093,7.475,0.497,76.439,72.267,1
gcp-cost-031-00011,2026-01-11,project-21,compute,global,sandbox,security,reliability,28.862,17.179,0.355,107.635,78.308,1
gcp-cost-031-00012,2026-01-12,project-13,pubsub,asia-south1,sandbox,finops,cost,60.043,4.525,0.695,136.829,75.853,1
gcp-cost-031-00013,2026-01-13,project-11,compute,us-east1,dev,mlops,cost,50.417,7.879,0.671,116.208,76.462,1
gcp-cost-031-00014,2026-01-14,project-09,compute,us-east1,staging,mlops,cost,73.266,12.186,0.559,35.047,78.753,1
gcp-cost-031-00015,2026-01-15,project-07,gke,us-central1,prod,platform,security,69.366,7.922,0.784,94.275,83.951,1
gcp-cost-031-00016,2026-01-16,project-07,vertex-ai,us-east1,prod,mlops,security,79.89,3.309,0.742,38.841,67.317,1
gcp-cost-031-00017,2026-01-17,project-07,cloud-run,asia-south1,dev,data,reliability,31.655,7.298,0.669,0.0,51.523,0
gcp-cost-031-00018,2026-01-18,project-23,pubsub,europe-west1,prod,security,quality,61.539,9.97,0.678,156.914,91.415,1
gcp-cost-031-00019,2026-01-19,project-11,cloud-run,europe-west1,staging,backend,quality,68.557,2.86,0.365,127.282,62.005,0
gcp-cost-031-00020,2026-01-20,project-17,cloud-sql,europe-west1,staging,backend,security,52.18,17.236,0.615,98.8,94.414,1
gcp-cost-031-00021,2026-01-21,project-22,gke,asia-south1,prod,finops,latency,41.464,18.236,0.582,139.211,97.735,1
gcp-cost-031-00022,2026-01-22,project-14,pubsub,us-east1,staging,security,reliability,20.33,10.466,0.186,105.395,53.416,0
gcp-cost-031-00023,2026-01-23,project-23,cloud-sql,europe-west1,dev,security,quality,41.659,5.881,0.496,190.067,73.381,1
gcp-cost-031-00024,2026-01-24,project-23,cloud-sql,asia-south1,prod,security,latency,39.513,7.179,0.495,163.3,71.72,1
gcp-cost-031-00025,2026-01-25,project-22,bigquery,us-east1,staging,backend,quality,19.025,3.732,0.59,144.483,57.087,0
gcp-cost-031-00026,2026-01-26,project-24,pubsub,us-east1,prod,security,quality,91.951,7.949,0.369,169.502,88.365,1
gcp-cost-031-00027,2026-01-27,project-17,compute,us-east1,staging,finops,cost,46.483,9.784,0.471,19.464,58.422,0
gcp-cost-031-00028,2026-01-28,project-03,cloud-run,us-central1,prod,finops,cost,78.795,9.19,0.567,144.245,89.902,1
gcp-cost-031-00029,2026-01-29,project-15,gke,us-central1,prod,security,quality,88.018,3.17,0.393,67.286,61.771,1
gcp-cost-031-00030,2026-01-30,project-12,gke,us-central1,staging,backend,security,46.588,7.8,0.774,84.695,73.947,0
gcp-cost-031-00031,2026-01-31,project-13,vertex-ai,europe-west1,dev,security,latency,25.656,3.837,0.197,1.411,25.033,0
gcp-cost-031-00032,2026-02-01,project-12,bigquery,europe-west1,prod,mlops,quality,73.65,9.96,0.603,110.275,86.204,1
gcp-cost-031-00033,2026-02-02,project-24,cloud-sql,global,prod,platform,quality,48.942,22.366,0.391,22.682,86.31,1
gcp-cost-031-00034,2026-02-03,project-24,gke,europe-west1,staging,finops,cost,53.999,5.231,0.551,74.72,61.287,1
gcp-cost-031-00035,2026-02-04,project-22,cloud-run,europe-west1,dev,platform,quality,53.764,8.885,0.555,216.699,90.576,1
gcp-cost-031-00036,2026-02-05,project-22,compute,europe-west1,staging,finops,cost,26.426,18.146,0.276,96.787,75.365,1
gcp-cost-031-00037,2026-02-06,project-09,compute,global,sandbox,backend,latency,42.053,9.109,0.595,81.615,68.7,1
