record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,pipeline_failed
devops-ci-006-00001,2026-01-01,project-11,cloud-run,asia-south1,prod,data,quality,72.848,5.464,0.387,143.081,72.657,0
devops-ci-006-00002,2026-01-02,project-07,pubsub,europe-west1,sandbox,platform,quality,55.002,12.814,0.502,100.727,81.409,1
devops-ci-006-00003,2026-01-03,project-12,compute,global,staging,platform,quality,67.894,14.826,0.51,95.447,90.126,1
devops-ci-006-00004,2026-01-04,project-04,cloud-sql,europe-west1,dev,backend,cost,60.327,5.637,0.575,92.329,67.857,0
devops-ci-006-00005,2026-01-05,project-12,gke,asia-south1,dev,platform,security,66.116,7.234,0.326,95.702,65.386,0
devops-ci-006-00006,2026-01-06,project-08,cloud-run,europe-west1,dev,platform,security,67.291,20.162,0.356,108.133,98.826,1
devops-ci-006-00007,2026-01-07,project-24,cloud-run,us-east1,dev,backend,security,61.908,11.583,0.626,86.692,83.247,1
devops-ci-006-00008,2026-01-08,project-12,pubsub,us-central1,sandbox,mlops,security,60.112,6.0,0.583,7.294,56.508,0
devops-ci-006-00009,2026-01-09,project-24,cloud-sql,us-central1,prod,backend,cost,64.57,22.943,0.536,47.742,100,1
devops-ci-006-00010,2026-01-10,project-18,gke,us-central1,prod,finops,cost,77.028,8.164,0.621,0.0,67.744,0
devops-ci-006-00011,2026-01-11,project-12,pubsub,us-east1,sandbox,mlops,latency,4.852,2.995,0.705,33.568,38.257,0
devops-ci-006-00012,2026-01-12,project-09,cloud-run,us-central1,dev,mlops,security,33.06,16.38,0.505,107.702,83.173,1
devops-ci-006-00013,2026-01-13,project-07,bigquery,global,dev,data,latency,54.828,7.361,0.867,94.535,80.497,1
devops-ci-006-00014,2026-01-14,project-14,vertex-ai,europe-west1,dev,platform,quality,10.375,17.618,0.488,110.159,77.885,1
devops-ci-006-00015,2026-01-15,project-07,gke,us-east1,prod,platform,reliability,71.889,15.896,0.481,96.043,93.093,1
devops-ci-006-00016,2026-01-16,project-06,cloud-sql,asia-south1,prod,backend,cost,33.756,8.438,0.389,114.448,61.809,0
devops-ci-006-00017,2026-01-17,project-10,cloud-sql,europe-west1,prod,mlops,cost,55.295,5.753,0.516,145.407,72.042,1
devops-ci-006-00018,2026-01-18,project-15,cloud-run,asia-south1,prod,backend,quality,66.071,12.119,0.487,130.665,87.503,1
devops-ci-006-00019,2026-01-19,project-05,vertex-ai,asia-south1,prod,finops,cost,38.845,14.367,0.62,49.686,76.065,1
devops-ci-006-00020,2026-01-20,project-22,vertex-ai,asia-south1,dev,security,latency,32.683,23.831,0.386,126.884,99.059,1
devops-ci-006-00021,2026-01-21,project-05,cloud-sql,europe-west1,prod,platform,latency,61.371,8.9,0.763,83.338,81.105,1
devops-ci-006-00022,2026-01-22,project-20,pubsub,us-east1,prod,data,security,69.111,8.498,0.667,50.303,74.698,1
devops-ci-006-00023,2026-01-23,project-18,bigquery,europe-west1,staging,backend,cost,18.988,8.69,0.866,137.243,77.247,1
devops-ci-006-00024,2026-01-24,project-05,cloud-sql,europe-west1,prod,data,reliability,61.203,10.706,0.417,96.531,75.074,0
devops-ci-006-00025,2026-01-25,project-15,gke,global,staging,finops,reliability,21.095,8.801,0.506,80.994,57.441,0
devops-ci-006-00026,2026-01-26,project-09,cloud-run,us-central1,prod,data,latency,92.457,9.03,0.364,206.506,96.285,1
devops-ci-006-00027,2026-01-27,project-16,pubsub,us-central1,sandbox,backend,quality,32.139,19.086,0.356,112.312,84.621,1
devops-ci-006-00028,2026-01-28,project-01,cloud-run,us-central1,prod,data,quality,75.588,12.494,0.467,103.418,87.035,1
devops-ci-006-00029,2026-01-29,project-18,bigquery,us-east1,dev,backend,reliability,50.52,8.546,0.472,128.508,72.883,1
devops-ci-006-00030,2026-01-30,project-20,gke,global,prod,mlops,cost,75.877,6.786,0.54,69.884,71.482,0
devops-ci-006-00031,2026-01-31,project-14,gke,asia-south1,prod,finops,quality,72.125,6.121,0.421,145.86,75.532,1
devops-ci-006-00032,2026-02-01,project-19,gke,global,dev,finops,quality,28.944,2.958,0.329,144.889,49.677,0
devops-ci-006-00033,2026-02-02,project-10,vertex-ai,europe-west1,staging,backend,cost,12.43,5.772,0.554,104.051,52.383,0
devops-ci-006-00034,2026-02-03,project-04,bigquery,asia-south1,prod,data,quality,58.192,6.825,0.342,78.797,59.753,0
devops-ci-006-00035,2026-02-04,project-03,bigquery,asia-south1,staging,security,quality,45.884,8.506,0.199,252.569,79.705,1
devops-ci-006-00036,2026-02-05,project-13,vertex-ai,us-east1,dev,data,security,18.509,10.762,0.477,59.165,56.913,0
devops-ci-006-00037,2026-02-06,project-22,gke,us-east1,dev,backend,security,54.75,8.801,0.826,89.13,81.606,1
devops-ci-006-00038,2026-02-07,project-23,cloud-sql,us-east1,dev,backend,cost,59.32,10.453,0.426,162.89,83.817,1
devops-ci-006-00039,2026-02-08,project-04,cloud-run,europe-west1,prod,security,latency,68.924,4.378,0.378,193.376,75.769,1
devops-ci-006-00040,2026-02-09,project-15,pubsub,us-east1,staging,data,reliability,64.729,14.053,0.199,71.04,72.77,1
devops-ci-006-00041,2026-02-10,project-02,bigquery,europe-west1,dev,mlops,reliability,59.974,8.849,0.615,199.409,92.244,1
devops-ci-006-00042,2026-02-11,project-19,pubsub,us-east1,dev,security,cost,58.264,4.089,0.478,110.818,62.824,0
devops-ci-006-00043,2026-02-12,project-16,pubsub,us-central1,prod,platform,security,62.194,9.065,0.548,52.191,69.711,0
devops-ci-006-00044,2026-02-13,project-21,pubsub,asia-south1,sandbox,backend,security,68.766,6.977,0.273,111.147,66.112,1
devops-ci-006-00045,2026-02-14,project-23,compute,us-east1,prod,backend,reliability,59.387,5.946,0.424,179.464,75.671,0
devops-ci-006-00046,2026-02-15,project-21,vertex-ai,europe-west1,sandbox,platform,latency,33.174,9.803,0.609,137.186,75.806,1
devops-ci-006-00047,2026-02-16,project-22,cloud-sql,global,sandbox,mlops,latency,12.887,7.216,0.394,186.126,62.281,1
devops-ci-006-00048,2026-02-17,project-21,gke,us-east1,prod,backend,reliability,85.094,8.233,0.645,114.491,88.265,1
