record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,quality_issue
data-quality-058-00001,2026-01-01,project-03,vertex-ai,asia-south1,dev,mlops,reliability,21.75,13.075,0.52,169.645,81.061,1
data-quality-058-00002,2026-01-02,project-21,bigquery,global,staging,security,reliability,34.09,14.439,0.819,134.6,93.917,1
data-quality-058-00003,2026-01-03,project-03,cloud-run,us-east1,sandbox,security,latency,0.0,7.401,0.619,30.522,43.385,0
data-quality-058-00004,2026-01-04,project-02,pubsub,europe-west1,prod,data,reliability,76.8,8.507,0.374,245.97,95.69,1
data-quality-058-00005,2026-01-05,project-12,compute,global,sandbox,data,quality,42.705,6.316,0.636,107.629,67.64,0
data-quality-058-00006,2026-01-06,project-10,gke,us-east1,prod,platform,quality,41.881,4.337,0.142,88.111,42.598,0
data-quality-058-00007,2026-01-07,project-19,cloud-run,us-central1,sandbox,backend,reliability,69.172,14.92,0.591,67.79,89.595,1
data-quality-058-00008,2026-01-08,project-10,vertex-ai,us-central1,prod,platform,latency,40.727,10.218,0.446,43.525,60.054,0
data-quality-058-00009,2026-01-09,project-07,pubsub,us-east1,prod,backend,reliability,47.957,10.409,0.233,16.816,51.68,0
data-quality-058-00010,2026-01-10,project-10,bigquery,europe-west1,staging,platform,cost,27.376,12.006,0.864,109.064,83.741,1
data-quality-058-00011,2026-01-11,project-20,cloud-run,europe-west1,sandbox,security,security,68.675,9.445,0.5,194.856,91.991,1
data-quality-058-00012,2026-01-12,project-04,vertex-ai,europe-west1,prod,security,latency,83.596,8.448,0.177,239.404,90.079,1
data-quality-058-00013,2026-01-13,project-19,cloud-run,global,prod,security,security,78.34,14.986,0.584,82.723,94.89,1
data-quality-058-00014,2026-01-14,project-19,pubsub,global,staging,platform,cost,17.014,7.836,0.584,130.622,63.728,0
data-quality-058-00015,2026-01-15,project-16,gke,global,prod,platform,latency,73.933,6.008,0.737,139.052,85.969,1
data-quality-058-00016,2026-01-16,project-16,gke,europe-west1,prod,mlops,security,90.22,6.426,0.592,154.477,89.819,1
data-quality-058-00017,2026-01-17,project-18,vertex-ai,asia-south1,sandbox,data,quality,3.652,8.515,0.545,105.436,55.598,0
data-quality-058-00018,2026-01-18,project-07,compute,asia-south1,sandbox,mlops,quality,40.573,13.486,0.325,49.33,64.237,0
data-quality-058-00019,2026-01-19,project-14,pubsub,asia-south1,prod,backend,reliability,64.208,5.779,0.439,122.547,69.194,1
data-quality-058-00020,2026-01-20,project-06,gke,europe-west1,prod,security,latency,75.177,5.188,0.621,148.592,81.822,1
data-quality-058-00021,2026-01-21,project-14,pubsub,europe-west1,sandbox,platform,security,40.465,5.395,0.614,106.113,63.716,1
data-quality-058-00022,2026-01-22,project-02,cloud-sql,global,dev,mlops,quality,79.026,5.816,0.646,124.097,81.937,1
data-quality-058-00023,2026-01-23,project-23,cloud-run,us-east1,dev,security,quality,52.327,10.961,0.63,52.838,73.646,1
data-quality-058-00024,2026-01-24,project-01,vertex-ai,global,dev,finops,quality,55.133,10.682,0.283,112.223,70.492,1
data-quality-058-00025,2026-01-25,project-23,pubsub,us-central1,sandbox,mlops,cost,38.442,8.361,0.728,146.213,79.766,1
data-quality-058-00026,2026-01-26,project-14,gke,europe-west1,prod,security,security,79.903,7.083,0.751,143.074,91.643,1
data-quality-058-00027,2026-01-27,project-21,vertex-ai,asia-south1,sandbox,security,latency,57.892,5.614,0.56,103.37,68.036,0
data-quality-058-00028,2026-01-28,project-24,bigquery,global,prod,data,quality,71.441,7.156,0.445,105.178,72.615,1
data-quality-058-00029,2026-01-29,project-22,cloud-run,us-east1,staging,mlops,reliability,15.525,13.046,0.481,150.297,74.628,0
data-quality-058-00030,2026-01-30,project-06,cloud-run,global,sandbox,backend,security,60.897,5.495,0.39,100.418,62.43,1
